Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
263582, truthful, baseline, 2.937149, 3.052902
263590, truthful, baseline, 2.896454, 2.956039
263599, truthful, baseline, 2.854965, 3.033066
263615, truthful, baseline, 2.857193, 2.937988
263624, truthful, baseline, 2.85173, 2.949707
263632, truthful, baseline, 2.859039, 2.943604
263649, truthful, baseline, 2.878159, 2.959869
263657, truthful, baseline, 2.878693, 2.96907
263665, truthful, baseline, 2.879196, 2.970032
263682, truthful, baseline, 2.905457, 2.999512
263690, truthful, baseline, 2.892914, 2.97847
263699, truthful, baseline, 2.906342, 3.003616
263715, truthful, baseline, 2.914017, 3.033188
263724, truthful, baseline, 2.917984, 3.038315
263732, truthful, baseline, 2.919586, 3.054016
263749, truthful, baseline, 2.920914, 3.056549
263757, truthful, baseline, 2.921646, 3.055679
263765, truthful, baseline, 2.921783, 3.056442
263782, truthful, baseline, 2.92276, 3.050995
263790, truthful, baseline, 2.923843, 3.061615
263799, truthful, baseline, 2.925156, 3.061584
263815, truthful, baseline, 2.927155, 3.060593
263824, truthful, baseline, 2.927521, 3.049881
263832, truthful, baseline, 2.927124, 3.042404
263849, truthful, baseline, 2.927261, 3.030197
263857, truthful, baseline, 2.92691, 3.030304
263865, truthful, baseline, 2.927094, 3.030304
263882, truthful, baseline, 2.927002, 3.030121
263890, truthful, baseline, 2.92746, 3.036407
263899, truthful, baseline, 2.937485, 3.030869
263915, truthful, baseline, 2.927139, 3.03125
263924, truthful, baseline, 2.927551, 3.031311
263932, truthful, baseline, 2.927246, 3.032288
263949, truthful, baseline, 2.921356, 3.04921
263957, truthful, baseline, 2.928009, 3.06958
263965, truthful, baseline, 2.92186, 3.049667
263982, truthful, baseline, 2.922958, 3.050186
263990, truthful, baseline, 2.937149, 3.111954
263999, truthful, baseline, 2.928055, 3.100021
264015, truthful, baseline, 2.916855, 3.185928
264024, truthful, baseline, 2.989395, 3.136993
264032, truthful, baseline, 2.995255, 3.091782
264049, truthful, baseline, 2.963776, 3.091873
264057, truthful, baseline, 2.945526, 3.128006
264065, truthful, baseline, 2.958145, 3.091995
264082, truthful, baseline, 2.987122, 3.000549
264090, truthful, baseline, 2.900711, 3.032654
264099, truthful, baseline, 2.969742, 2.952225
264115, truthful, baseline, 2.88121, -1
264124, truthful, baseline, 2.958344, -1
264132, truthful, baseline, 2.773941, -1
264149, truthful, baseline, 2.453552, -1
264157, truthful, baseline, -1, -1
264165, truthful, baseline, -1, -1
264182, truthful, baseline, -1, -1
264190, truthful, baseline, -1, -1
264199, truthful, baseline, 2.760529, -1
264215, truthful, baseline, 2.788437, -1
264224, truthful, baseline, 2.931305, -1
264232, truthful, baseline, 2.846512, -1
264248, truthful, baseline, 2.79155, -1
264257, truthful, baseline, 2.726227, -1
264265, truthful, baseline, 2.820251, 2.870468
264282, truthful, baseline, 2.9095, 2.930328
264290, truthful, baseline, 2.910355, 3.008469
264298, truthful, baseline, 2.806046, 2.907776
264315, truthful, baseline, 2.948166, 2.944504
264323, truthful, baseline, 2.899872, 3.129608
264332, truthful, baseline, 2.944016, 3.140945
264348, truthful, baseline, 2.934723, 2.938553
264357, truthful, baseline, 2.967621, 3.003174
264365, truthful, baseline, 2.957077, 2.966705
264382, truthful, baseline, 2.889618, 2.878235
264390, truthful, baseline, 2.89743, 2.91391
264398, truthful, baseline, 2.874374, 2.982162
264415, truthful, baseline, 2.889252, 3.140213
264423, truthful, baseline, 2.899063, 2.935287
264432, truthful, baseline, 2.938675, 3.058762
264448, truthful, baseline, 2.949387, 3.062302
264457, truthful, baseline, 2.975281, 3.124451
264465, truthful, baseline, 2.980942, 3.096024
264482, truthful, baseline, 2.979874, 3.070694
264490, truthful, baseline, 2.985733, 3.13176
264498, truthful, baseline, 2.985611, 3.109528
264515, truthful, baseline, 2.955948, 3.070038
264523, truthful, baseline, 2.956711, 3.118515
264532, truthful, baseline, 2.957672, 3.021713
264548, truthful, baseline, 2.90451, 3.073975
264557, truthful, baseline, 2.983582, 3.233902
264565, truthful, baseline, 3.002518, 3.068359
264582, truthful, baseline, 2.945801, 3.123932
264590, truthful, baseline, 2.973434, 3.181122
264598, truthful, baseline, 3.000549, 3.215744
264615, truthful, baseline, 3.003036, 3.182999
264623, truthful, baseline, 3.019318, 3.183533
264632, truthful, baseline, 3.035278, 3.189697
264648, truthful, baseline, 3.030746, 3.190155
264657, truthful, baseline, 3.033249, 3.195709
264665, truthful, baseline, 3.031296, 3.19696
264682, truthful, baseline, 3.03447, 3.202347
264690, truthful, baseline, 3.034424, 3.172485
264698, truthful, baseline, 3.03595, 3.166718
264715, truthful, baseline, 3.021179, 3.034744
264723, truthful, baseline, 2.942383, 2.99968
264732, truthful, baseline, 2.959045, 2.915741
264748, truthful, baseline, 2.908112, 3.071121
264757, truthful, baseline, 2.98381, 2.917175
264765, truthful, baseline, 2.840393, -1
264782, truthful, baseline, 2.537628, -1
264790, truthful, baseline, 2.291824, -1
264798, truthful, baseline, 1.9552, -1
264815, truthful, baseline, 2.443085, -1
264823, truthful, baseline, 2.485382, -1
264832, truthful, baseline, 2.568649, -1
264848, truthful, baseline, 1.926254, -1
264857, truthful, baseline, 2.418503, -1
264865, truthful, baseline, 2.377579, -1
264882, truthful, baseline, 2.420151, -1
264890, truthful, baseline, 2.438858, -1
264898, truthful, baseline, 1.961365, 3.350082
264915, truthful, baseline, 2.186234, 3.970383
264923, truthful, baseline, 3.012589, 2.212891
264932, truthful, baseline, 2.953232, 2.460693
264948, truthful, baseline, 2.892044, 3.278748
264957, truthful, baseline, 3.033691, 3.476471
264982, truthful, baseline, 2.629684, 2.949493
264982, truthful, baseline, 2.629684, 2.949493
