Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
291451, 74180, truthful, baseline, 33.71008, 1.387512, -34.11089, 0.02656555, -0.5609741, 0.8273926, 3.092804, 0.4362773, -31.37898, -2.258636, -33.52872, 0.1449432, -0.5654297, 0.8119507, 3.66156, 0.7367503
291451, 74180, truthful, baseline, 33.71008, 1.387512, -34.11089, 0.02656555, -0.5609741, 0.8273926, 3.092804, 0.4362773, -31.37898, -2.258636, -33.52872, 0.1449432, -0.5654297, 0.8119507, 3.66156, 0.7367503
291459, 74181, truthful, baseline, 33.70795, 1.390244, -34.11061, 0.02697754, -0.5613556, 0.8271332, 3.093018, 0.4362773, -31.37883, -2.254837, -33.52678, 0.144928, -0.5653229, 0.812027, 3.662323, 0.7367503
291476, 74183, truthful, baseline, 33.70346, 1.392136, -34.11041, 0.02632141, -0.5617371, 0.826889, 3.088959, 0.4473537, -31.37759, -2.24762, -33.52495, 0.1444244, -0.5675812, 0.8105469, 3.661865, 0.7364389
291484, 74184, truthful, baseline, 33.70346, 1.392136, -34.11041, 0.02536011, -0.5619354, 0.8267822, 3.089783, 0.4172564, -31.37759, -2.244705, -33.52287, 0.1443634, -0.5679932, 0.810257, 3.651718, 0.737931
291492, 74185, truthful, baseline, 33.70346, 1.392136, -34.11041, 0.02462769, -0.5619202, 0.8268127, 3.088715, 0.4172564, -31.37703, -2.244705, -33.52171, 0.1445007, -0.5680695, 0.8101807, 3.651794, 0.737931
291509, 74187, truthful, baseline, 33.70346, 1.392136, -34.11041, 0.02671814, -0.561676, 0.8269196, 3.088974, 0.4217228, -31.37689, -2.244705, -33.52135, 0.1444702, -0.5680847, 0.8101807, 3.651779, 0.7419228
291517, 74188, truthful, baseline, 33.73767, 1.389603, -34.11769, 0.02536011, -0.5643158, 0.8251495, 3.128815, 0.4188814, -31.33855, -2.254868, -33.54044, 0.1488342, -0.587677, 0.7952728, 3.537979, 0.7307207
291526, 74189, truthful, baseline, 33.8145, 1.363129, -34.13277, 0.03555298, -0.5613251, 0.826828, 3.078659, 0.4188814, -31.23569, -2.263397, -33.53227, 0.1649475, -0.5717773, 0.8036499, 3.584473, 0.7307207
291542, 74191, truthful, baseline, 33.92371, 1.352539, -34.16125, 0.06513977, -0.555191, 0.8291626, 3.143448, 0.4179519, -31.08698, -2.262222, -33.5652, 0.178894, -0.599884, 0.7798157, 3.599701, 0.7347678
291551, 74192, truthful, baseline, 33.92628, 1.346939, -34.16963, 0.06190491, -0.5623627, 0.8245544, 3.116806, 0.3958098, -31.08302, -2.257278, -33.56482, 0.1880493, -0.6003571, 0.777298, 3.603424, 0.7190747
291559, 74193, truthful, baseline, 33.92326, 1.347946, -34.16888, 0.05982971, -0.5637054, 0.8237915, 3.122818, 0.3958098, -31.08421, -2.259018, -33.56494, 0.185318, -0.5999603, 0.7782593, 3.584595, 0.7190747
291576, 74195, truthful, baseline, 33.92075, 1.347076, -34.16902, 0.06030273, -0.5635376, 0.8238831, 3.129272, 0.4058935, -31.08421, -2.261154, -33.56502, 0.1825256, -0.5983582, 0.7801514, 3.584808, 0.7281197
291584, 74196, truthful, baseline, 33.92125, 1.346939, -34.16841, 0.05760193, -0.5626678, 0.8246613, 3.128952, 0.3905392, -31.08302, -2.260742, -33.56506, 0.1823578, -0.5996552, 0.7791901, 3.603699, 0.7272425
291592, 74197, truthful, baseline, 33.92104, 1.344971, -34.16832, 0.05757141, -0.5622559, 0.8249359, 3.133347, 0.3905392, -31.08276, -2.260513, -33.56506, 0.1822815, -0.5984344, 0.7801514, 3.590942, 0.7272425
291609, 74199, truthful, baseline, 33.92133, 1.341858, -34.16873, 0.05889893, -0.5616608, 0.8252563, 3.133087, 0.3883432, -31.0818, -2.260513, -33.56506, 0.1821289, -0.5968781, 0.7813721, 3.587616, 0.732464
291617, 74200, truthful, baseline, 33.9214, 1.340698, -34.16905, 0.05758667, -0.5614319, 0.8255005, 3.128693, 0.3912475, -31.08107, -2.260483, -33.56505, 0.1819458, -0.5965271, 0.7816925, 3.57843, 0.7296826
291626, 74201, truthful, baseline, 33.9218, 1.340042, -34.16934, 0.05880737, -0.5613556, 0.82547, 3.133163, 0.3912475, -31.08104, -2.260376, -33.565, 0.1810608, -0.5969238, 0.7815857, 3.583755, 0.7296826
291642, 74203, truthful, baseline, 33.92255, 1.337326, -34.16971, 0.05726624, -0.56073, 0.826004, 3.142105, 0.4195234, -31.08101, -2.260147, -33.5649, 0.1811066, -0.5972748, 0.781311, 3.592667, 0.73488
291651, 74204, truthful, baseline, 33.9229, 1.335281, -34.16968, 0.05723572, -0.5603485, 0.8262634, 3.146973, 0.4131519, -31.08101, -2.260269, -33.56496, 0.181778, -0.5972595, 0.7811584, 3.596664, 0.732528
291659, 74205, truthful, baseline, 33.92313, 1.333969, -34.16966, 0.05712891, -0.5601959, 0.8263855, 3.15036, 0.4131519, -31.08101, -2.260376, -33.565, 0.1818542, -0.598465, 0.7802124, 3.598541, 0.732528
291676, 74207, truthful, baseline, 33.92337, 1.332672, -34.16949, 0.05702209, -0.5594482, 0.826889, 3.153763, 0.3887887, -31.08101, -2.260742, -33.56506, 0.1819458, -0.5996399, 0.7792969, 3.60025, 0.7237686
291684, 74208, truthful, baseline, 33.92371, 1.332672, -34.16949, 0.0566864, -0.559494, 0.826889, 3.169449, 0.4010511, -31.08101, -2.261581, -33.56506, 0.1816864, -0.5998535, 0.7791901, 3.600235, 0.7229757
291692, 74209, truthful, baseline, 33.92383, 1.332672, -34.16949, 0.05665588, -0.5594025, 0.8269501, 3.16925, 0.4010511, -31.08101, -2.261581, -33.56544, 0.1820068, -0.6001129, 0.7789154, 3.613983, 0.7229757
291709, 74211, truthful, baseline, 33.92488, 1.332672, -34.16905, 0.05638123, -0.5595245, 0.8268738, 3.186432, 0.4100601, -31.08107, -2.262894, -33.56676, 0.1817169, -0.6010284, 0.7782745, 3.613251, 0.7384648
291717, 74212, truthful, baseline, 33.92569, 1.332672, -34.16905, 0.05619812, -0.559494, 0.8269043, 3.193405, 0.4103948, -31.08131, -2.263077, -33.56799, 0.1803589, -0.6009674, 0.7786407, 3.63208, 0.7285929
291726, 74213, truthful, baseline, 33.92628, 1.332672, -34.16895, 0.05609131, -0.5594177, 0.8269806, 3.193771, 0.4103948, -31.0816, -2.263336, -33.56821, 0.1804199, -0.6010895, 0.7785339, 3.631927, 0.7285929
291742, 74215, truthful, baseline, 33.92673, 1.332382, -34.16843, 0.05593872, -0.5594788, 0.8269348, 3.209488, 0.410923, -31.08281, -2.264999, -33.56839, 0.179718, -0.6009827, 0.7787781, 3.637161, 0.7393088
291751, 74216, truthful, baseline, 33.92673, 1.332382, -34.16843, 0.05593872, -0.5594788, 0.8269348, 3.209488, 0.411352, -31.08342, -2.266754, -33.56866, 0.1799774, -0.6006775, 0.7789612, 3.640991, 0.7369899
291759, 74217, truthful, baseline, 33.92673, 1.332382, -34.16843, 0.05580139, -0.5586243, 0.8275299, 3.209473, 0.411352, -31.08525, -2.267288, -33.56908, 0.1802368, -0.6005707, 0.7789764, 3.642227, 0.7369899
291767, 74218, truthful, baseline, 33.92673, 1.332382, -34.16843, 0.05577087, -0.5586395, 0.8275146, 3.219177, 0.4216217, -31.08577, -2.267517, -33.56999, 0.17836, -0.6002197, 0.7796783, 3.649796, 0.7323006
291784, 74220, truthful, baseline, 33.92673, 1.332382, -34.16843, 0.05551147, -0.5592041, 0.8271484, 3.225845, 0.4240695, -31.08928, -2.270966, -33.57059, 0.1780853, -0.5999603, 0.7799377, 3.658615, 0.7289924
291792, 74221, truthful, baseline, 33.92656, 1.330505, -34.16792, 0.05476379, -0.5593567, 0.8271027, 3.232361, 0.4240695, -31.09155, -2.270966, -33.57059, 0.1776276, -0.5996399, 0.7802887, 3.66658, 0.7289924
291809, 74223, truthful, baseline, 33.9257, 1.330505, -34.16792, 0.05369568, -0.559021, 0.8274078, 3.232361, 0.4132928, -31.09581, -2.270966, -33.57059, 0.1776581, -0.6010132, 0.7792206, 3.676178, 0.7427887
291817, 74224, truthful, baseline, 33.92548, 1.330505, -34.16792, 0.05314636, -0.5594635, 0.8271332, 3.24939, 0.408568, -31.09802, -2.270966, -33.57059, 0.1772461, -0.5996399, 0.7803802, 3.677429, 0.7460744
291826, 74225, truthful, baseline, 33.92525, 1.330505, -34.16792, 0.05279541, -0.5607147, 0.8263092, 3.249466, 0.408568, -31.10002, -2.270966, -33.57059, 0.1773071, -0.5991669, 0.7807312, 3.693802, 0.7460744
291842, 74227, truthful, baseline, 33.9248, 1.330505, -34.16792, 0.0528717, -0.5606995, 0.8263245, 3.254211, 0.3990092, -31.10315, -2.270966, -33.57059, 0.1771851, -0.5991821, 0.7807312, 3.705292, 0.7405688
291851, 74228, truthful, baseline, 33.92473, 1.330505, -34.16792, 0.05097961, -0.5607758, 0.8263855, 3.253876, 0.4077201, -31.10399, -2.265594, -33.5688, 0.1760101, -0.6001587, 0.7802582, 3.705826, 0.7363075
291859, 74229, truthful, baseline, 33.92387, 1.334427, -34.16539, 0.05006409, -0.5618591, 0.8256989, 3.254211, 0.4077201, -31.10503, -2.260941, -33.56723, 0.173233, -0.5942383, 0.7854004, 3.713409, 0.7363075
291876, 74231, truthful, baseline, 33.92354, 1.345352, -34.16121, 0.04975891, -0.5628357, 0.825058, 3.255676, 0.3960635, -31.10535, -2.251358, -33.56422, 0.1725311, -0.5959778, 0.7842407, 3.737778, 0.7294654
291884, 74232, truthful, baseline, 33.92294, 1.349747, -34.16113, 0.04911804, -0.5635529, 0.8246002, 3.255981, 0.4047244, -31.10654, -2.247253, -33.56276, 0.1719208, -0.5966949, 0.7838135, 3.720993, 0.7322784
291892, 74233, truthful, baseline, 33.92247, 1.351013, -34.15959, 0.04920959, -0.5638275, 0.8244171, 3.256119, 0.4047244, -31.10695, -2.241776, -33.56165, 0.17099, -0.5947571, 0.7854919, 3.722565, 0.7322784
291909, 74235, truthful, baseline, 33.91805, 1.351471, -34.15823, 0.04882813, -0.5628662, 0.8250885, 3.257797, 0.4142357, -31.11282, -2.23494, -33.55836, 0.1721649, -0.5956268, 0.7845764, 3.723083, 0.745076
291917, 74236, truthful, baseline, 33.91754, 1.352432, -34.15787, 0.04800415, -0.5630798, 0.8249969, 3.257416, 0.4043148, -31.11465, -2.232819, -33.55118, 0.1723022, -0.5963593, 0.7839813, 3.723419, 0.729201
291934, 74238, truthful, baseline, 33.91615, 1.354691, -34.15775, 0.04719543, -0.5628662, 0.8251801, 3.257919, 0.3935013, -31.11664, -2.231598, -33.55005, 0.1714325, -0.5895233, 0.7893372, 3.721313, 0.7308438
291942, 74239, truthful, baseline, 33.91446, 1.355042, -34.15736, 0.04489136, -0.5628357, 0.8253326, 3.257141, 0.3935013, -31.11899, -2.231461, -33.55002, 0.1719055, -0.5893097, 0.7893829, 3.721695, 0.7308438
291951, 74240, truthful, baseline, 33.91299, 1.355804, -34.15718, 0.04518127, -0.562973, 0.8252258, 3.255844, 0.4203795, -31.12099, -2.229645, -33.5491, 0.1716766, -0.5892487, 0.7894897, 3.719482, 0.7273225
291967, 74242, truthful, baseline, 33.90991, 1.356216, -34.15611, 0.04579163, -0.5623474, 0.8256073, 3.255722, 0.4131071, -31.12672, -2.229233, -33.54848, 0.171814, -0.5873413, 0.7908783, 3.719208, 0.7489213
291976, 74243, truthful, baseline, 33.90642, 1.357422, -34.1552, 0.04650879, -0.5611267, 0.8264008, 3.255524, 0.4131071, -31.13072, -2.229233, -33.54744, 0.171936, -0.5863647, 0.7915802, 3.719757, 0.7489213
291984, 74244, truthful, baseline, 33.90361, 1.357422, -34.15358, 0.04708862, -0.5606079, 0.8267212, 3.25177, 0.410496, -31.13298, -2.229233, -33.54256, 0.1692657, -0.5866394, 0.7919464, 3.690414, 0.745418
292001, 74246, truthful, baseline, 33.89804, 1.35994, -34.15115, 0.04792786, -0.5610657, 0.8263702, 3.238937, 0.3988571, -31.13637, -2.229538, -33.53964, 0.1687317, -0.5867615, 0.7919769, 3.679535, 0.7291444
292009, 74247, truthful, baseline, 33.89587, 1.360748, -34.14935, 0.04814148, -0.5618896, 0.8257904, 3.236511, 0.3988571, -31.13681, -2.229538, -33.53853, 0.1678314, -0.586792, 0.7921448, 3.666458, 0.7291444
292017, 74248, truthful, baseline, 33.89494, 1.360748, -34.14827, 0.04673767, -0.5620117, 0.8257904, 3.236496, 0.4050653, -31.13857, -2.229538, -33.53835, 0.1681519, -0.586792, 0.7920685, 3.662537, 0.7434279
292034, 74250, truthful, baseline, 33.89323, 1.360748, -34.14798, 0.04315186, -0.561554, 0.8262939, 3.229568, 0.424452, -31.13936, -2.229538, -33.53813, 0.1659698, -0.5855255, 0.7934723, 3.663467, 0.7443181
292042, 74251, truthful, baseline, 33.88986, 1.360748, -34.14734, 0.04382324, -0.561142, 0.8265381, 3.228333, 0.424452, -31.14273, -2.230637, -33.53798, 0.1676941, -0.5853577, 0.7932281, 3.662277, 0.7443181
292051, 74252, truthful, baseline, 33.85298, 1.355179, -34.14668, 0.05075073, -0.5608368, 0.826355, 3.164719, 0.4038246, -31.16711, -2.237442, -33.53311, 0.1716461, -0.5781097, 0.7976837, 3.627869, 0.7461036
292067, 74254, truthful, baseline, 33.73689, 1.368454, -34.12206, 0.01960754, -0.5655212, 0.8244781, 3.114288, 0.4152738, -31.29813, -2.241943, -33.51862, 0.1322021, -0.5654602, 0.8141022, 3.664673, 0.7360258
292076, 74255, truthful, baseline, 33.72771, 1.388123, -34.11919, 0.0295105, -0.5668335, 0.823288, 2.997589, 0.4152738, -31.30423, -2.227768, -33.51398, 0.1387329, -0.566925, 0.8119812, 3.617538, 0.7360258
292092, 74257, truthful, baseline, 33.74783, 1.387299, -34.11226, 0.02705383, -0.5607147, 0.8275452, 3.184464, 0.4088998, -31.29976, -2.223251, -33.51352, 0.142395, -0.5719604, 0.8078156, 3.625595, 0.7379805
292101, 74258, truthful, baseline, 33.74785, 1.387848, -34.11383, 0.01852417, -0.5665894, 0.8237762, 3.139481, 0.3989509, -31.29892, -2.222412, -33.51515, 0.1428986, -0.5735931, 0.8065643, 3.576187, 0.7359519
