Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
235438, 67457, truthful, baseline, 34.18958, 5.208878, -32.21051, -0.0344696, 0.1002808, 0.9943542, 3.188065, 1, -32.54491, 1.988449, -32.07365, -0.01159668, 0.105896, 0.9943085, 3.463821, 1
235446, 67458, truthful, baseline, 34.1851, 5.207642, -32.20538, -0.03399658, 0.09797668, 0.9945984, 3.187912, 1, -32.54973, 1.98613, -32.07036, -0.01074219, 0.1058502, 0.9943085, 3.461594, 1
235455, 67459, truthful, baseline, 34.18245, 5.20665, -32.20337, -0.03460693, 0.09809875, 0.9945679, 3.188019, 1, -32.55348, 1.985336, -32.06683, -0.009994507, 0.1054077, 0.9943695, 3.461334, 1
235471, 67461, truthful, baseline, 34.17918, 5.19722, -32.20016, -0.03361511, 0.1000366, 0.9944, 3.1978, 1, -32.56071, 1.98027, -32.06346, -0.009475708, 0.1044617, 0.9944763, 3.477753, 1
235480, 67462, truthful, baseline, 34.1787, 5.192886, -32.19974, -0.03352356, 0.1009674, 0.9943085, 3.198868, 1, -32.56474, 1.978378, -32.06346, -0.01356506, 0.1051178, 0.9943542, 3.492401, 1
235488, 67463, truthful, baseline, 34.1783, 5.192825, -32.1953, -0.03344727, 0.100708, 0.994339, 3.199295, 1, -32.56578, 1.977829, -32.06346, -0.01435852, 0.1052704, 0.994339, 3.492737, 1
235505, 67465, truthful, baseline, 34.1783, 5.189713, -32.1924, -0.03343201, 0.1010895, 0.9943085, 3.212173, 1, -32.56578, 1.975266, -32.06346, -0.01437378, 0.1047058, 0.9943848, 3.492386, 1
235513, 67466, truthful, baseline, 34.1783, 5.189713, -32.1924, -0.03343201, 0.1010895, 0.9943085, 3.212173, 1, -32.56578, 1.974625, -32.06346, -0.01443481, 0.1044464, 0.9944153, 3.478302, 1
235521, 67467, truthful, baseline, 34.1783, 5.189407, -32.18898, -0.03277588, 0.1009979, 0.994339, 3.21225, 1, -32.56578, 1.974609, -32.06346, -0.01445007, 0.1044006, 0.9944153, 3.472733, 1
235538, 67469, truthful, baseline, 34.1783, 5.187622, -32.18898, -0.03274536, 0.1007996, 0.9943542, 3.205933, 1, -32.56578, 1.973145, -32.0636, -0.01403809, 0.1043396, 0.9944305, 3.470932, 1
235546, 67470, truthful, baseline, 34.1783, 5.187546, -32.18898, -0.03269958, 0.1013031, 0.9943085, 3.199951, 1, -32.56578, 1.972992, -32.06381, -0.01402283, 0.1043854, 0.9944305, 3.470963, 1
