Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
207811, truthful, baseline, 3.110733, 3.610809
207819, truthful, baseline, 3.112106, 3.622498
207819, truthful, baseline, 3.112106, 3.622498
207836, truthful, baseline, -1, -1
207844, truthful, baseline, -1, -1
207861, truthful, baseline, -1, -1
207869, truthful, baseline, -1, -1
207878, truthful, baseline, -1, -1
207894, truthful, baseline, -1, -1
207903, truthful, baseline, -1, -1
207911, truthful, baseline, -1, -1
207919, truthful, baseline, -1, -1
207936, truthful, baseline, -1, -1
207944, truthful, baseline, -1, -1
207953, truthful, baseline, -1, -1
207969, truthful, baseline, 3.219009, 3.59436
207978, truthful, baseline, 3.273956, 3.542221
207986, truthful, baseline, 3.317459, 3.547882
208002, truthful, baseline, 3.257584, 3.617737
208011, truthful, baseline, 3.340866, 3.607391
208019, truthful, baseline, 3.185791, 3.626846
208036, truthful, baseline, 3.191406, 3.6492
208044, truthful, baseline, 3.342896, 3.669342
208052, truthful, baseline, 3.271545, 3.664368
208069, truthful, baseline, 3.221405, 3.723801
208077, truthful, baseline, 3.285416, 3.689331
208086, truthful, baseline, 3.270416, 3.648239
208102, truthful, baseline, 3.242554, 3.692947
208111, truthful, baseline, 3.267899, 3.710449
208119, truthful, baseline, 3.303757, 3.719284
208136, truthful, baseline, 3.276138, 3.724319
208144, truthful, baseline, 3.418564, 3.726471
208152, truthful, baseline, 3.389755, 3.738876
208169, truthful, baseline, 3.328796, 3.797165
208177, truthful, baseline, 3.355057, 3.784973
208186, truthful, baseline, 3.366348, 3.85022
208202, truthful, baseline, 3.375961, 3.78743
208211, truthful, baseline, 3.429733, 3.845901
208219, truthful, baseline, 3.377396, 3.888718
208236, truthful, baseline, 3.438507, 3.879715
208244, truthful, baseline, 3.378464, 3.828247
208252, truthful, baseline, 3.375397, 3.887207
208269, truthful, baseline, 3.440674, 3.869873
208277, truthful, baseline, 3.470947, 3.914124
208294, truthful, baseline, 3.439362, 3.810104
208302, truthful, baseline, 3.388397, 3.671646
208311, truthful, baseline, 3.375137, 3.678604
208327, truthful, baseline, 3.450882, 3.733765
208336, truthful, baseline, 3.416016, 3.757507
208344, truthful, baseline, 3.330673, 3.77536
208361, truthful, baseline, 3.386917, 3.845276
208369, truthful, baseline, 3.397629, 3.78537
208377, truthful, baseline, 3.430283, 3.783615
208394, truthful, baseline, 3.390427, 3.879898
208402, truthful, baseline, 3.453842, 3.83757
208419, truthful, baseline, 3.458939, 3.707123
208427, truthful, baseline, 3.372345, 3.702881
208436, truthful, baseline, 3.439743, 3.850769
208452, truthful, baseline, 3.472244, 3.737473
208461, truthful, baseline, 3.464294, 3.76149
208469, truthful, baseline, 3.484039, 3.830093
208486, truthful, baseline, 3.497559, 3.703979
208494, truthful, baseline, 3.516083, 3.674194
208502, truthful, baseline, 3.420853, 3.799698
208519, truthful, baseline, 3.473618, 3.801819
208527, truthful, baseline, 3.402863, 3.887177
208536, truthful, baseline, 3.461365, 3.772964
208552, truthful, baseline, 3.481308, 3.729492
208561, truthful, baseline, 3.477448, 3.770874
208569, truthful, baseline, 3.526978, 3.727142
208586, truthful, baseline, 3.420319, 3.802322
208594, truthful, baseline, 3.399048, 3.713898
