Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1043264, 196471, truthful, baseline, 36.44135, 0.8411407, -33.03653, 0.05505371, 0.1576691, 0.9859467, 2.687302, 0.979165, -31.5583, 2.761032, -29.52815, 0.08970642, 0.155304, 0.9837799, 2.630035, 1
1043264, 196471, truthful, baseline, 36.44135, 0.8411407, -33.03653, 0.05505371, 0.1576691, 0.9859467, 2.687302, 0.979165, -31.5583, 2.761032, -29.52815, 0.08970642, 0.155304, 0.9837799, 2.630035, 1
1043273, 196472, truthful, baseline, 36.44208, 0.8406525, -33.03687, 0.05490112, 0.1578064, 0.9859314, 2.687363, 0.979165, -31.55806, 2.765671, -29.54974, 0.08978271, 0.1561737, 0.9836273, 2.61528, 1
1043281, 196473, truthful, baseline, 36.44208, 0.8405762, -33.03653, 0.05490112, 0.157608, 0.9859619, 2.687378, 0.9809471, -31.55766, 2.766663, -29.54974, 0.08973694, 0.1559753, 0.9836731, 2.614166, 1
1043298, 196475, truthful, baseline, 36.44208, 0.8405762, -33.03687, 0.05491638, 0.1578369, 0.9859314, 2.687454, 0.9872583, -31.55766, 2.766663, -29.54974, 0.09011841, 0.1531372, 0.9840698, 2.612595, 1
1043306, 196476, truthful, baseline, 36.44208, 0.8405762, -33.03653, 0.0549469, 0.1576691, 0.9859467, 2.681534, 0.9872583, -31.55766, 2.766663, -29.54974, 0.09011841, 0.1531372, 0.9840851, 2.611786, 1
1043314, 196477, truthful, baseline, 36.44208, 0.8405762, -33.03687, 0.05493164, 0.1575317, 0.9859772, 2.681198, 0.9780071, -31.55766, 2.766663, -29.54974, 0.0896759, 0.1531067, 0.9841156, 2.611893, 1
1043331, 196479, truthful, baseline, 36.44208, 0.8404846, -33.03726, 0.05496216, 0.1560364, 0.9862061, 2.672333, 0.9668313, -31.55766, 2.766663, -29.54907, 0.0896759, 0.1533661, 0.9840851, 2.613037, 1
1043339, 196480, truthful, baseline, 36.44147, 0.8404846, -33.03726, 0.05503845, 0.1560516, 0.9862061, 2.672424, 0.9668313, -31.55766, 2.766663, -29.54907, 0.08946228, 0.1538239, 0.984024, 2.614548, 1
1043348, 196481, truthful, baseline, 36.43886, 0.8404846, -33.03726, 0.05456543, 0.1576691, 0.9859772, 2.673248, 0.9762891, -31.55884, 2.766327, -29.5473, 0.08853149, 0.1538544, 0.9841156, 2.616455, 1
1043364, 196483, truthful, baseline, 36.43576, 0.8404846, -33.03653, 0.05395508, 0.1558228, 0.9862976, 2.680252, 0.9867768, -31.56471, 2.755341, -29.5177, 0.08886719, 0.1560516, 0.9837341, 2.61795, 1
