Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
932488, truthful, baseline, 2.92337, 2.900085
932497, truthful, baseline, 2.913544, 2.90863
932505, truthful, baseline, 2.922913, 2.900406
932513, truthful, baseline, 2.922913, 2.899612
932530, truthful, baseline, 2.922562, 2.899429
932538, truthful, baseline, 2.93074, 2.899612
932547, truthful, baseline, 2.922714, 2.899643
932563, truthful, baseline, 2.922363, 2.900574
932572, truthful, baseline, 2.89682, 2.900558
932580, truthful, baseline, 2.909775, 2.900787
932597, truthful, baseline, 2.91008, 2.910583
932605, truthful, baseline, 2.912231, 2.912735
932613, truthful, baseline, 2.910049, 2.933105
932630, truthful, baseline, 2.909927, 2.933029
932638, truthful, baseline, 2.909775, 2.932938
932647, truthful, baseline, 2.912384, 2.927017
932663, truthful, baseline, 2.912491, 2.933044
932672, truthful, baseline, 2.927643, 2.933105
932680, truthful, baseline, 2.929169, 2.927795
932697, truthful, baseline, 2.934113, 2.927689
932705, truthful, baseline, 2.934021, 2.944946
932713, truthful, baseline, 2.934158, 2.930008
932730, truthful, baseline, 2.94545, 2.930099
932738, truthful, baseline, 2.963333, 2.929855
932746, truthful, baseline, 2.963074, 2.929871
932763, truthful, baseline, 2.990631, 2.941727
932771, truthful, baseline, 2.990692, 2.941376
932780, truthful, baseline, 2.977554, 2.941513
932796, truthful, baseline, 2.990448, 2.944641
932805, truthful, baseline, 2.990448, 2.957138
932813, truthful, baseline, 2.977676, 2.957245
932830, truthful, baseline, 2.977539, 2.948914
932838, truthful, baseline, 2.977188, 2.958038
932846, truthful, baseline, 2.948593, 2.958435
932863, truthful, baseline, 2.945801, 2.950638
932871, truthful, baseline, 2.937164, 2.943985
932880, truthful, baseline, 2.935959, 2.943756
932896, truthful, baseline, 2.926971, 2.9505
932905, truthful, baseline, 2.927124, 2.944214
932913, truthful, baseline, 2.926819, 2.934372
932930, truthful, baseline, 2.916672, 2.918808
932938, truthful, baseline, 2.916763, 2.918716
932946, truthful, baseline, 2.915573, 2.909622
932963, truthful, baseline, 2.916718, 2.909592
932971, truthful, baseline, 2.916016, 2.901566
932988, truthful, baseline, 2.914856, 2.895386
932996, truthful, baseline, 2.914673, 2.882095
933005, truthful, baseline, 2.906708, 2.881058
933021, truthful, baseline, 2.904312, 2.880722
933030, truthful, baseline, 2.900101, 2.878098
933038, truthful, baseline, 2.889694, 2.877747
933055, truthful, baseline, 2.888519, 2.875671
933063, truthful, baseline, 2.862991, 2.875107
933071, truthful, baseline, 2.863312, 2.875046
933088, truthful, baseline, 2.849869, 2.874146
933096, truthful, baseline, 2.855225, 2.879135
933105, truthful, baseline, 2.85498, 2.878876
933121, truthful, baseline, 2.849319, 2.875351
933130, truthful, baseline, 2.849243, 2.886459
933138, truthful, baseline, 2.854813, 2.875366
933155, truthful, baseline, 2.875473, 2.863083
933163, truthful, baseline, 2.880234, 2.862961
933171, truthful, baseline, 2.880524, 2.872986
933188, truthful, baseline, 2.884171, 2.852676
933196, truthful, baseline, 2.884247, 2.853043
933205, truthful, baseline, 2.884354, 2.853607
933221, truthful, baseline, 2.888367, 2.848969
933230, truthful, baseline, 2.888397, 2.848984
933238, truthful, baseline, 2.889954, 2.853775
933255, truthful, baseline, 2.889923, 2.853668
933263, truthful, baseline, 2.88327, 2.848984
933271, truthful, baseline, 2.888977, 2.855392
933288, truthful, baseline, 2.878036, 2.858734
933296, truthful, baseline, 2.888855, 2.858917
933305, truthful, baseline, 2.877838, 2.858597
933321, truthful, baseline, 2.86821, 2.873398
933330, truthful, baseline, 2.878067, 2.858109
933338, truthful, baseline, 2.868774, 2.873215
933355, truthful, baseline, 2.878555, 2.873169
933363, truthful, baseline, 2.863876, 2.873169
933371, truthful, baseline, 2.863846, 2.873444
933388, truthful, baseline, 2.863754, 2.87323
933396, truthful, baseline, 2.863449, 2.862396
933405, truthful, baseline, 2.863068, 2.8647
933421, truthful, baseline, 2.858566, 2.861069
933430, truthful, baseline, 2.860458, 2.86322
933438, truthful, baseline, 2.863098, 2.861206
933455, truthful, baseline, 2.859985, 2.861069
933463, truthful, baseline, 2.855026, 2.80043
933471, truthful, baseline, 2.946716, 2.884888
933488, truthful, baseline, 2.945679, 2.890945
933496, truthful, baseline, 2.963974, 2.989899
933505, truthful, baseline, 2.940063, 2.940674
933521, truthful, baseline, 2.946045, 2.894287
933530, truthful, baseline, 2.928436, 2.897415
933538, truthful, baseline, 2.946259, 2.911682
933555, truthful, baseline, 2.928162, 2.91156
933563, truthful, baseline, 2.928116, 2.925369
933571, truthful, baseline, 2.928177, 2.911285
933588, truthful, baseline, 2.928314, 2.902893
933596, truthful, baseline, 2.928329, 2.908707
933605, truthful, baseline, 2.927429, 2.908737
933621, truthful, baseline, 2.927795, 2.901642
933630, truthful, baseline, 2.926849, 2.908173
933638, truthful, baseline, 2.925735, 2.908142
933655, truthful, baseline, 2.925613, 2.908279
933663, truthful, baseline, 2.899323, 2.908279
933671, truthful, baseline, 2.890808, 2.908295
933688, truthful, baseline, 2.90976, 2.901611
933696, truthful, baseline, 2.891174, 2.901398
933705, truthful, baseline, 2.891174, 2.901962
933721, truthful, baseline, 2.88768, 2.902191
933730, truthful, baseline, 2.886566, 2.902084
933738, truthful, baseline, 2.886551, 2.902191
933755, truthful, baseline, 2.88533, 2.902023
933763, truthful, baseline, 2.885208, 2.902161
933771, truthful, baseline, 2.871323, 2.902069
933788, truthful, baseline, 2.857376, 2.876282
933796, truthful, baseline, 2.844025, 2.876099
933805, truthful, baseline, 2.844086, 2.876282
933821, truthful, baseline, 2.844513, 2.8647
933830, truthful, baseline, 2.835205, 2.853836
933838, truthful, baseline, 2.811295, 2.844131
933855, truthful, baseline, 2.79834, 2.844467
933863, truthful, baseline, 2.799026, 2.830063
933871, truthful, baseline, 2.79245, 2.829895
933888, truthful, baseline, 2.781509, 2.827866
933896, truthful, baseline, 2.781631, 2.827332
933905, truthful, baseline, 2.789413, 2.826477
933921, truthful, baseline, 2.776779, 2.824524
933930, truthful, baseline, 2.766129, 2.824493
933938, truthful, baseline, 2.730331, 2.808441
933955, truthful, baseline, 2.754883, 2.791916
933963, truthful, baseline, 2.74353, 2.800415
933971, truthful, baseline, 2.743729, 2.800781
933988, truthful, baseline, 2.740585, 2.736588
933996, truthful, baseline, 2.717926, 2.786621
934005, truthful, baseline, 2.819031, 2.837463
934021, truthful, baseline, 2.848114, 2.841461
934030, truthful, baseline, 2.734512, 2.656784
934038, truthful, baseline, 2.762665, -1
934055, truthful, baseline, -1, -1
934063, truthful, baseline, -1, -1
934071, truthful, baseline, -1, -1
934088, truthful, baseline, -1, -1
934096, truthful, baseline, -1, -1
934113, truthful, baseline, -1, -1
934121, truthful, baseline, -1, -1
934130, truthful, baseline, -1, -1
934138, truthful, baseline, -1, -1
934155, truthful, baseline, -1, -1
934163, truthful, baseline, -1, -1
934171, truthful, baseline, -1, -1
934188, truthful, baseline, -1, -1
934196, truthful, baseline, 2.679672, 2.629944
934205, truthful, baseline, 2.77858, 2.631287
934221, truthful, baseline, 2.740921, 2.536774
934230, truthful, baseline, 2.658112, 2.592987
934238, truthful, baseline, 2.666489, 2.643951
934254, truthful, baseline, 2.680344, 2.645508
934263, truthful, baseline, 2.806229, 2.585861
934271, truthful, baseline, 2.78093, 2.601593
934288, truthful, baseline, 2.715195, 2.601257
934296, truthful, baseline, 2.750916, 2.590866
934304, truthful, baseline, 2.641068, 2.589935
934313, truthful, baseline, 2.664825, 2.595413
934329, truthful, baseline, 2.739807, 2.596069
934338, truthful, baseline, 2.681, 2.602051
934354, truthful, baseline, 2.776154, 2.60556
934363, truthful, baseline, 2.758621, 2.604279
934371, truthful, baseline, 2.753647, 2.606552
934388, truthful, baseline, 2.747299, 2.614258
934396, truthful, baseline, 2.716354, 2.625763
934404, truthful, baseline, 2.672073, 2.626099
934421, truthful, baseline, 2.737305, 2.65274
934429, truthful, baseline, 2.796753, 2.660034
934438, truthful, baseline, 2.729202, 2.662781
934454, truthful, baseline, 2.775146, 2.665543
934463, truthful, baseline, 2.786606, 2.685074
934471, truthful, baseline, 2.797531, 2.697739
934488, truthful, baseline, 2.774796, 2.708069
934496, truthful, baseline, 2.772293, 2.726959
934504, truthful, baseline, 2.777649, 2.733032
934521, truthful, baseline, 2.777496, 2.74144
934529, truthful, baseline, 2.826874, 2.742142
934538, truthful, baseline, 2.789063, 2.749237
934554, truthful, baseline, 2.769073, 2.760895
934563, truthful, baseline, 2.739471, 2.806931
934571, truthful, baseline, 2.75351, 2.849533
934588, truthful, baseline, 2.739578, 2.846786
934596, truthful, baseline, 2.747025, 2.829681
934604, truthful, baseline, 2.769943, 2.807053
934613, truthful, baseline, 2.722809, 2.766342
934629, truthful, baseline, 2.724289, 2.837143
934638, truthful, baseline, 2.759903, 2.825424
934654, truthful, baseline, 2.745163, 2.782486
934663, truthful, baseline, 2.725739, 2.801086
934671, truthful, baseline, 2.702484, 2.815048
934688, truthful, baseline, 2.726273, 2.814789
934696, truthful, baseline, 2.727188, 2.798645
934704, truthful, baseline, 2.746384, 2.782257
934713, truthful, baseline, 2.753189, 2.795914
934729, truthful, baseline, 2.751724, 2.81218
934738, truthful, baseline, 2.751724, 2.814514
934746, truthful, baseline, 2.752274, 2.809525
934763, truthful, baseline, 2.752365, 2.800598
934771, truthful, baseline, 2.731659, 2.810532
934779, truthful, baseline, 2.751221, 2.811478
934796, truthful, baseline, 2.761414, 2.801239
934804, truthful, baseline, 2.752609, 2.81073
934813, truthful, baseline, 2.760422, 2.810944
934829, truthful, baseline, 2.760193, 2.811584
934838, truthful, baseline, 2.770706, 2.821686
934846, truthful, baseline, 2.800339, 2.819717
934863, truthful, baseline, 2.801315, 2.800568
934871, truthful, baseline, 2.809006, 2.817612
934888, truthful, baseline, 2.809433, 2.818329
934896, truthful, baseline, 2.812866, 2.818359
934904, truthful, baseline, 2.812973, 2.820648
934921, truthful, baseline, 2.889587, 2.869064
934929, truthful, baseline, 2.890625, 2.820862
934938, truthful, baseline, 2.934586, 2.877731
934946, truthful, baseline, 2.824509, 2.865921
934963, truthful, baseline, 2.870483, 2.856384
934971, truthful, baseline, 2.876434, 2.848587
934988, truthful, baseline, 2.877563, 2.840897
934996, truthful, baseline, 2.877182, 2.825378
935004, truthful, baseline, 2.875824, 2.833649
935021, truthful, baseline, 2.876022, 2.843445
935029, truthful, baseline, 2.875916, 2.844818
935038, truthful, baseline, 2.87619, 2.848373
935054, truthful, baseline, 2.882126, 2.856461
935063, truthful, baseline, 2.89006, 2.866837
935071, truthful, baseline, 2.898422, 2.860672
935088, truthful, baseline, 2.88176, 2.875702
935096, truthful, baseline, 2.898285, 2.877167
935104, truthful, baseline, 2.903778, 2.905151
935121, truthful, baseline, 2.920685, 2.933823
935129, truthful, baseline, 2.921127, 2.934631
935138, truthful, baseline, 2.921021, 2.920166
935154, truthful, baseline, 2.924881, 2.920639
935163, truthful, baseline, 2.923752, 2.920624
935171, truthful, baseline, 2.925232, 2.937317
935188, truthful, baseline, 2.929749, 2.937103
935196, truthful, baseline, 2.924957, 2.937134
935204, truthful, baseline, 2.925827, 2.944107
935221, truthful, baseline, 2.929306, 2.94368
935229, truthful, baseline, 2.929504, 2.943161
935238, truthful, baseline, 2.932205, 2.942749
935246, truthful, baseline, 2.956833, 2.942627
935263, truthful, baseline, 2.962585, 2.942657
935271, truthful, baseline, 2.962662, 2.942734
935288, truthful, baseline, 2.973877, 2.968582
935296, truthful, baseline, 2.975372, 2.972763
935304, truthful, baseline, 2.973694, 2.990051
935313, truthful, baseline, 2.973145, 2.996033
935329, truthful, baseline, 2.974121, 3.015167
935338, truthful, baseline, 2.973557, 3.015625
935346, truthful, baseline, 2.973694, 3.015656
935363, truthful, baseline, 2.979782, 3.018448
935371, truthful, baseline, 2.979919, 3.029495
935379, truthful, baseline, 2.973236, 3.029449
935396, truthful, baseline, 2.973114, 3.031998
935404, truthful, baseline, 2.980225, 3.029053
935421, truthful, baseline, 3.033997, 3.028915
935429, truthful, baseline, 3.125168, 2.993362
935438, truthful, baseline, 3.055862, 2.954056
935446, truthful, baseline, 3.076965, 2.989258
935463, truthful, baseline, 3.083862, 3.046524
935471, truthful, baseline, 3.087723, 3.0047
935479, truthful, baseline, 3.090179, 2.99855
935496, truthful, baseline, 3.090363, 2.999588
935504, truthful, baseline, 3.088013, 3.004623
935513, truthful, baseline, 3.090912, 3.008194
935529, truthful, baseline, 3.083862, 3.043503
935538, truthful, baseline, 3.079498, 3.059616
935546, truthful, baseline, 3.078171, 3.051071
935563, truthful, baseline, 3.078125, 3.050995
935571, truthful, baseline, 3.076859, 3.059738
935579, truthful, baseline, 3.076233, 3.042938
935596, truthful, baseline, 3.071701, 3.043015
935604, truthful, baseline, 3.071945, 3.042923
935621, truthful, baseline, 3.065933, 3.046524
935629, truthful, baseline, 3.071701, 3.045685
935638, truthful, baseline, 3.065765, 3.059616
935646, truthful, baseline, 3.057159, 3.058975
935663, truthful, baseline, 3.055679, 3.044769
935671, truthful, baseline, 3.055725, 3.061722
935679, truthful, baseline, 3.055878, 3.044128
935696, truthful, baseline, 3.062195, 3.043045
935704, truthful, baseline, 3.062363, 3.050568
935713, truthful, baseline, 3.064667, 3.050461
935729, truthful, baseline, 3.061569, 3.060104
935738, truthful, baseline, 3.061951, 3.060226
935746, truthful, baseline, 3.062515, 3.050217
935763, truthful, baseline, 3.062363, 3.037781
935771, truthful, baseline, 3.065674, 3.037903
935779, truthful, baseline, 3.065704, 3.036957
935796, truthful, baseline, 3.065857, 3.028091
935804, truthful, baseline, 3.061096, 3.038193
935812, truthful, baseline, 3.049713, 3.045349
935829, truthful, baseline, 3.050049, 3.037369
935837, truthful, baseline, 3.050079, 3.036652
935846, truthful, baseline, 3.062164, 3.044098
935862, truthful, baseline, 3.051727, 3.043411
935871, truthful, baseline, 3.052246, 3.04303
935879, truthful, baseline, 3.053131, 3.043137
935896, truthful, baseline, 3.049088, 3.038071
935904, truthful, baseline, 3.049515, 3.030655
935912, truthful, baseline, 3.057465, 3.032547
935929, truthful, baseline, 3.033051, 3.038757
935937, truthful, baseline, 3.032364, 3.046738
935946, truthful, baseline, 3.084991, 3.042603
935962, truthful, baseline, 3.078201, 2.986664
935971, truthful, baseline, 3.068619, 3.009506
935979, truthful, baseline, 3.073074, 3.031525
935996, truthful, baseline, 3.061951, 3.028946
936004, truthful, baseline, 3.055145, 3.012604
936012, truthful, baseline, 3.050964, 2.996521
936029, truthful, baseline, 3.062332, 2.997223
936037, truthful, baseline, 3.069839, 2.993896
936046, truthful, baseline, 3.073715, 2.997208
936062, truthful, baseline, 3.07338, 3.029556
936071, truthful, baseline, 3.077133, 3.029678
936079, truthful, baseline, 3.077164, 3.029541
936096, truthful, baseline, 3.076904, 3.007996
936104, truthful, baseline, 3.082794, 3.007751
936112, truthful, baseline, 3.082657, 3.028275
936129, truthful, baseline, 3.080261, 3.02919
936137, truthful, baseline, 3.07991, 3.03447
936146, truthful, baseline, 3.059601, 3.033356
936162, truthful, baseline, 3.047028, 3.030014
936171, truthful, baseline, 3.046951, 3.029633
936179, truthful, baseline, 3.050003, 3.026245
936196, truthful, baseline, 3.047165, 3.003693
936204, truthful, baseline, 3.050858, 3.008118
936212, truthful, baseline, 3.051361, 3.013809
936229, truthful, baseline, 3.051361, 3.01828
936237, truthful, baseline, 3.051727, 3.01825
936246, truthful, baseline, 3.051743, 3.018402
936262, truthful, baseline, 3.065781, 3.018753
936271, truthful, baseline, 3.07077, 3.019348
936279, truthful, baseline, 3.070694, 3.029617
936296, truthful, baseline, 3.07048, 3.018341
936304, truthful, baseline, 3.069916, 3.018265
936312, truthful, baseline, 3.065033, 3.037277
936329, truthful, baseline, 3.064911, 3.036102
936337, truthful, baseline, 3.043564, 3.035645
936346, truthful, baseline, 3.040741, 3.020004
936362, truthful, baseline, 3.043839, 3.014069
936371, truthful, baseline, 3.040985, 3.013107
936379, truthful, baseline, 3.040787, 3.012512
936396, truthful, baseline, 3.039474, 3.008026
936404, truthful, baseline, 3.040527, 3.007874
936412, truthful, baseline, 3.04039, 3.007721
936429, truthful, baseline, 3.061951, 3.014725
