Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
3850334, truthful, baseline, 3.470795, 3.401947
3850342, truthful, baseline, 3.406738, 3.423965
3850359, truthful, baseline, 3.387619, 3.414169
3850367, truthful, baseline, 3.402847, 3.410614
3850376, truthful, baseline, 3.416733, 3.415024
3850392, truthful, baseline, 3.410004, 3.415115
3850401, truthful, baseline, 3.402084, 3.420319
3850409, truthful, baseline, 3.44426, 3.394135
3850426, truthful, baseline, 3.332291, 3.307007
3850434, truthful, baseline, 3.287033, 3.328995
3850442, truthful, baseline, 3.403183, 3.297882
3850459, truthful, baseline, 3.256882, 3.271622
3850467, truthful, baseline, 3.395081, 3.328323
3850476, truthful, baseline, 3.353058, 3.300323
3850492, truthful, baseline, 3.310394, 3.321411
3850501, truthful, baseline, 3.389908, 3.297546
3850509, truthful, baseline, 3.380478, 3.182663
3850526, truthful, baseline, 3.401794, 3.26239
3850534, truthful, baseline, 3.379898, 3.278244
3850542, truthful, baseline, 3.416611, 3.251404
3850559, truthful, baseline, 3.31134, 3.219009
3850567, truthful, baseline, 3.35466, 3.253555
3850576, truthful, baseline, 3.282806, 3.187775
3850592, truthful, baseline, 3.363235, 3.307388
3850601, truthful, baseline, 3.343536, 3.321426
3850609, truthful, baseline, 3.24118, 3.350952
3850626, truthful, baseline, 3.40831, 3.270737
3850634, truthful, baseline, 3.36261, 3.210922
3850642, truthful, baseline, 3.374374, 3.202805
3850659, truthful, baseline, 3.258453, 3.147415
3850667, truthful, baseline, 3.286697, 3.141617
3850676, truthful, baseline, 3.328064, 3.258118
3850692, truthful, baseline, 3.292648, 3.321304
3850701, truthful, baseline, 3.225693, 3.210617
3850709, truthful, baseline, 3.348007, 3.140701
3850726, truthful, baseline, 3.256668, 3.144791
3850734, truthful, baseline, 3.241165, 3.283218
3850742, truthful, baseline, 3.231766, 3.27359
3850759, truthful, baseline, 3.304642, 3.292542
3850767, truthful, baseline, 3.292557, 3.298141
3850776, truthful, baseline, 3.301422, 3.293488
3850792, truthful, baseline, 3.328369, 3.279114
3850801, truthful, baseline, 3.277939, 3.269257
3850809, truthful, baseline, 3.293594, 3.26767
3850826, truthful, baseline, 3.251266, 3.249649
3850834, truthful, baseline, 3.246552, 3.143204
3850842, truthful, baseline, 3.172943, 3.247925
3850859, truthful, baseline, 3.289795, 3.228577
3850867, truthful, baseline, 3.270386, 3.235519
3850876, truthful, baseline, 3.30304, 3.257889
3850892, truthful, baseline, 3.311325, 3.291214
3850901, truthful, baseline, 3.330673, 3.323166
3850909, truthful, baseline, 3.355774, 3.277374
3850926, truthful, baseline, 3.26059, 3.253113
3850934, truthful, baseline, 3.373062, 3.142471
3850942, truthful, baseline, 3.329056, 3.275177
3850959, truthful, baseline, 3.362671, 3.304382
3850967, truthful, baseline, 3.350464, 3.333115
3850976, truthful, baseline, 3.387085, 3.284348
3850992, truthful, baseline, 3.408859, 3.280716
3851001, truthful, baseline, 3.478607, 3.266113
3851009, truthful, baseline, 3.388168, 3.2742
3851026, truthful, baseline, 3.404297, 3.306168
3851034, truthful, baseline, 3.380234, 3.265259
3851042, truthful, baseline, 3.430466, 3.336319
3851059, truthful, baseline, 3.447891, 3.339218
3851067, truthful, baseline, 3.467529, 3.302505
3851076, truthful, baseline, 3.452393, 3.283035
3851092, truthful, baseline, 3.454086, 3.300751
3851101, truthful, baseline, 3.4487, 3.334549
3851109, truthful, baseline, 3.381821, 3.328171
3851126, truthful, baseline, 3.436737, 3.257065
3851134, truthful, baseline, 3.463699, 3.281876
3851142, truthful, baseline, 3.428436, 3.281235
3851159, truthful, baseline, 3.453369, 3.323257
3851167, truthful, baseline, 3.506561, 3.244034
3851176, truthful, baseline, 3.490189, 3.30014
