Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
3947255, truthful, baseline, 3.395111, 3.319214
3947263, truthful, baseline, 3.434387, 3.287613
3947280, truthful, baseline, 3.376587, 3.289047
3947288, truthful, baseline, 3.369461, 3.309021
3947296, truthful, baseline, 3.362137, 3.324265
3947313, truthful, baseline, 3.301315, 3.325104
3947321, truthful, baseline, 3.235611, 3.371719
3947330, truthful, baseline, 3.356308, 3.305511
3947346, truthful, baseline, 3.366348, 3.301483
3947355, truthful, baseline, 3.286011, 3.313065
3947363, truthful, baseline, 3.2677, 3.261978
3947380, truthful, baseline, 3.319763, 3.268539
3947388, truthful, baseline, 3.385117, 3.247284
3947396, truthful, baseline, 3.33812, 3.262894
3947413, truthful, baseline, 3.330658, 3.261185
3947421, truthful, baseline, 3.246597, 3.24649
3947438, truthful, baseline, 3.308105, 3.251205
3947446, truthful, baseline, 3.248856, 3.283615
3947455, truthful, baseline, 3.293182, 3.314789
3947463, truthful, baseline, 3.300018, 3.282852
3947480, truthful, baseline, 3.29895, 3.281967
3947488, truthful, baseline, 3.305008, 3.268524
3947496, truthful, baseline, 3.244156, 3.259735
3947513, truthful, baseline, 3.272263, 3.217743
3947521, truthful, baseline, 3.218216, 3.333893
3947530, truthful, baseline, 3.137711, 3.313065
3947546, truthful, baseline, 3.228546, 3.201477
3947555, truthful, baseline, 3.185638, 3.245041
3947563, truthful, baseline, 3.196777, 3.239487
3947580, truthful, baseline, 3.181244, 3.240997
3947588, truthful, baseline, 3.176132, 3.248627
3947596, truthful, baseline, 3.17337, 3.25827
3947613, truthful, baseline, 3.088074, 3.211121
3947621, truthful, baseline, 3.109299, 3.20665
3947630, truthful, baseline, 3.043427, 3.188416
3947646, truthful, baseline, 3.082748, 3.144592
3947655, truthful, baseline, 3.081146, 3.162201
3947663, truthful, baseline, 3.074493, 3.185913
3947680, truthful, baseline, 3.071228, 3.059296
3947688, truthful, baseline, 3.066956, 3.200058
3947696, truthful, baseline, 3.065018, 3.067535
3947713, truthful, baseline, 3.064178, 3.105072
3947721, truthful, baseline, 3.065002, 3.086716
3947730, truthful, baseline, 3.063965, 3.105942
3947746, truthful, baseline, 3.058624, 3.130585
3947755, truthful, baseline, 3.054092, 3.118988
3947763, truthful, baseline, 3.032822, 3.107498
3947780, truthful, baseline, 3.014236, 3.071655
3947788, truthful, baseline, 2.984329, 2.993912
3947796, truthful, baseline, 2.954834, 3.060776
3947813, truthful, baseline, 2.954834, 3.062363
3947821, truthful, baseline, 2.954712, 3.059158
3947830, truthful, baseline, 2.954224, 3.055695
3947846, truthful, baseline, 2.940491, 2.908859
3947855, truthful, baseline, 2.945221, 3.015549
3947863, truthful, baseline, 2.967285, 2.946045
3947880, truthful, baseline, 2.960205, 2.958939
3947888, truthful, baseline, 3.023346, 2.959488
3947896, truthful, baseline, 3.075378, 3.086716
3947913, truthful, baseline, -1, -1
3947921, truthful, baseline, -1, -1
3947938, truthful, baseline, -1, -1
3947946, truthful, baseline, -1, -1
3947955, truthful, baseline, -1, -1
3947971, truthful, baseline, -1, -1
3947980, truthful, baseline, -1, -1
3947988, truthful, baseline, -1, -1
3948005, truthful, baseline, -1, -1
3948013, truthful, baseline, -1, -1
3948021, truthful, baseline, -1, -1
3948030, truthful, baseline, -1, -1
3948046, truthful, baseline, 2.758118, 2.834137
3948055, truthful, baseline, 3.008438, 2.961044
3948063, truthful, baseline, 2.910522, 3.056213
3948080, truthful, baseline, 2.951889, 3.007629
3948088, truthful, baseline, 3.015213, 2.965622
3948096, truthful, baseline, 2.942917, 3.029022
3948113, truthful, baseline, 2.814651, 2.920883
3948121, truthful, baseline, 2.873581, 2.901382
3948130, truthful, baseline, 2.779861, 2.876816
3948146, truthful, baseline, 2.804306, 2.746216
3948155, truthful, baseline, 2.809067, 2.809662
3948163, truthful, baseline, 2.844971, 2.853897
3948180, truthful, baseline, 2.840652, 2.878113
3948188, truthful, baseline, 2.838318, 2.924927
3948196, truthful, baseline, 2.838242, 2.906113
3948213, truthful, baseline, 2.953156, 2.838821
3948221, truthful, baseline, 2.812546, 2.850479
3948230, truthful, baseline, 3.021957, 2.943192
3948246, truthful, baseline, 3.018219, 2.975601
3948255, truthful, baseline, 3.021774, 2.863388
3948263, truthful, baseline, 3.025604, 2.952866
3948280, truthful, baseline, 3.025452, 2.990204
3948288, truthful, baseline, 3.035904, 3.061111
3948296, truthful, baseline, 3.03392, 3.000717
3948313, truthful, baseline, 3.05809, 3.019669
3948321, truthful, baseline, 3.07338, 2.987732
3948330, truthful, baseline, 3.060501, 2.957092
3948346, truthful, baseline, 3.061066, 2.967438
3948355, truthful, baseline, 3.074875, 2.980316
