Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
3850334, 126372, truthful, baseline, 30.18573, 5.753677, -38.73839, 0.04737854, -0.01820374, 0.998703, 3.470795, 0.9192485, -29.24873, 4.659958, -37.418, 0.05793762, -0.02050781, 0.9981079, 3.401947, 0.8968723
3850342, 126373, truthful, baseline, 30.18466, 5.759689, -38.71428, 0.04530334, -0.02549744, 0.998642, 3.406738, 0.9334808, -29.24857, 4.664688, -37.3925, 0.05877686, -0.02238464, 0.9980164, 3.423965, 0.902254
3850359, 126375, truthful, baseline, 30.18236, 5.761185, -38.64972, 0.04335022, -0.01754761, 0.9989014, 3.387619, 0.9266267, -29.24857, 4.667618, -37.44231, 0.06002808, -0.01960754, 0.9980011, 3.414169, 0.8842165
3850367, 126376, truthful, baseline, 30.1814, 5.762772, -38.63945, 0.04603577, -0.01426697, 0.9988251, 3.402847, 0.9266267, -29.24817, 4.67543, -37.44243, 0.05926514, -0.01875305, 0.9980621, 3.410614, 0.8842165
3850376, 126377, truthful, baseline, 30.18044, 5.764359, -38.62918, 0.04873657, -0.01446533, 0.998703, 3.416733, 0.9247354, -29.24815, 4.683243, -37.44257, 0.05995178, -0.01786804, 0.9980316, 3.415024, 0.8884662
3850392, 126379, truthful, baseline, 30.17973, 5.766937, -38.62918, 0.04924011, -0.01516724, 0.9986572, 3.410004, 0.9139892, -29.24815, 4.683243, -37.44257, 0.05995178, -0.01753235, 0.9980316, 3.415115, 0.8948531
3850401, 126380, truthful, baseline, 30.17975, 5.766647, -38.63405, 0.0491333, -0.01501465, 0.9986725, 3.402084, 0.9139892, -29.24835, 4.67543, -37.44243, 0.06047058, -0.01530457, 0.9980469, 3.420319, 0.8948531
3850409, 126381, truthful, baseline, 30.17931, 5.758102, -38.64725, 0.04934692, -0.01602173, 0.998642, 3.44426, 0.9250693, -29.24759, 4.716049, -37.55711, 0.05786133, -0.01513672, 0.9981995, 3.394135, 0.8849348
3850426, 126383, truthful, baseline, 30.17493, 5.729996, -38.61093, 0.04655457, -0.0124054, 0.9988251, 3.332291, 0.9250114, -29.25946, 4.686127, -37.48735, 0.06465149, -0.0252533, 0.9975739, 3.307007, 0.9035733
3850434, 126384, truthful, baseline, 30.16837, 5.717468, -38.57626, 0.04351807, -0.01557922, 0.9989166, 3.287033, 0.9250114, -29.26534, 4.678299, -37.46596, 0.06480408, -0.02377319, 0.9976044, 3.328995, 0.9035733
3850442, 126385, truthful, baseline, 30.16287, 5.722687, -38.59453, 0.03466797, -0.01942444, 0.9992065, 3.403183, 0.9264571, -29.29065, 4.646042, -37.36089, 0.06315613, -0.009963989, 0.9979401, 3.297882, 0.9216539
3850459, 126387, truthful, baseline, 30.15475, 5.737732, -38.57809, 0.04116821, -0.01849365, 0.9989777, 3.256882, 0.9269342, -29.30649, 4.662201, -37.37532, 0.05738831, -0.02862549, 0.9979401, 3.271622, 0.8978041
3850467, 126388, truthful, baseline, 30.15286, 5.752701, -38.62254, 0.02865601, -0.01847839, 0.9994049, 3.395081, 0.9274057, -29.31177, 4.66391, -37.34724, 0.05223083, -0.03173828, 0.9981232, 3.328323, 0.8984431
3850476, 126389, truthful, baseline, 30.15163, 5.744629, -38.60489, 0.03387451, -0.0196991, 0.9992218, 3.353058, 0.9196553, -29.31332, 4.661438, -37.33455, 0.05662537, -0.03082275, 0.9979095, 3.300323, 0.9101259
3850492, 126391, truthful, baseline, 30.13876, 5.672729, -38.46756, 0.03713989, -0.01716614, 0.9991608, 3.310394, 0.9149053, -29.31557, 4.660889, -37.33455, 0.05690002, -0.0305481, 0.9979095, 3.321411, 0.9010068
3850501, 126392, truthful, baseline, 30.13675, 5.645187, -38.43109, 0.04045105, -0.02482605, 0.9988708, 3.389908, 0.9149053, -29.32109, 4.623474, -37.31097, 0.05503845, -0.03819275, 0.9977417, 3.297546, 0.9010068
3850509, 126393, truthful, baseline, 30.13869, 5.621765, -38.41956, 0.03462219, -0.02629089, 0.9990387, 3.380478, 0.9240748, -29.32153, 4.614243, -37.33281, 0.05323792, -0.03974915, 0.9977875, 3.182663, 0.9026873
3850526, 126395, truthful, baseline, 30.12947, 5.535889, -38.18974, 0.03283691, -0.02035522, 0.9992523, 3.401794, 0.9267061, -29.32466, 4.595535, -37.34276, 0.04434204, -0.05168152, 0.9976654, 3.26239, 0.918205
