Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
235438, truthful, baseline, 3.188065, 3.463821
235446, truthful, baseline, 3.187912, 3.461594
235455, truthful, baseline, 3.188019, 3.461334
235471, truthful, baseline, 3.1978, 3.477753
235480, truthful, baseline, 3.198868, 3.492401
235488, truthful, baseline, 3.199295, 3.492737
235505, truthful, baseline, 3.212173, 3.492386
235513, truthful, baseline, 3.212173, 3.478302
235521, truthful, baseline, 3.21225, 3.472733
235538, truthful, baseline, 3.205933, 3.470932
235546, truthful, baseline, 3.199951, 3.470963
235555, truthful, baseline, 3.199814, 3.470459
235571, truthful, baseline, 3.194229, 3.470184
235580, truthful, baseline, 3.205948, 3.470001
235588, truthful, baseline, 3.202225, 3.469437
235605, truthful, baseline, 3.185806, 3.43396
235613, truthful, baseline, 3.185791, 3.43367
235621, truthful, baseline, 3.173019, 3.427856
235638, truthful, baseline, 3.169067, 3.404617
235646, truthful, baseline, 3.169189, 3.402527
235655, truthful, baseline, 3.17334, 3.393295
235671, truthful, baseline, 3.185028, 3.393524
235680, truthful, baseline, 3.184814, 3.393616
235688, truthful, baseline, 3.176773, 3.393784
235705, truthful, baseline, 3.176865, 3.385895
235713, truthful, baseline, 3.172424, 3.385727
235721, truthful, baseline, 3.176056, 3.383636
235738, truthful, baseline, 3.17659, 3.383621
235746, truthful, baseline, 3.176651, 3.383621
235755, truthful, baseline, 3.175201, 3.383438
235771, truthful, baseline, 3.174423, 3.38092
235780, truthful, baseline, 3.192978, 3.375366
235788, truthful, baseline, 3.178314, 3.38266
235805, truthful, baseline, 3.181091, 3.356476
235813, truthful, baseline, 3.162643, 3.262466
235821, truthful, baseline, 3.217941, 3.173279
235838, truthful, baseline, -1, -1
235846, truthful, baseline, -1, -1
235863, truthful, baseline, -1, -1
235871, truthful, baseline, -1, -1
235880, truthful, baseline, -1, -1
235896, truthful, baseline, -1, -1
235905, truthful, baseline, -1, -1
235913, truthful, baseline, -1, -1
235930, truthful, baseline, -1, -1
235938, truthful, baseline, -1, -1
235946, truthful, baseline, -1, -1
235955, truthful, baseline, -1, -1
235980, truthful, baseline, 3.086121, -1
235980, truthful, baseline, 3.086121, -1
235988, truthful, baseline, 3.076889, -1
236005, truthful, baseline, 3.142868, 3.260254
236013, truthful, baseline, 3.023026, 3.263397
236021, truthful, baseline, 3.049026, 3.386642
236038, truthful, baseline, 3.006393, 3.328201
236046, truthful, baseline, 3.039764, 3.323624
236055, truthful, baseline, 3.024002, 3.270782
236071, truthful, baseline, 3.039993, 3.166367
236080, truthful, baseline, 3.030441, 3.27504
236088, truthful, baseline, 3.003891, 3.267944
236105, truthful, baseline, 3.001083, 3.248672
236113, truthful, baseline, 3.087433, 3.272278
236121, truthful, baseline, 2.952576, 3.25737
236138, truthful, baseline, 3.066681, 3.304688
236146, truthful, baseline, 3.05809, 3.310608
236155, truthful, baseline, 3.027618, 3.284454
236171, truthful, baseline, 3.115234, 3.343903
236180, truthful, baseline, 3.084061, 3.337708
236188, truthful, baseline, 3.085892, 3.330292
236205, truthful, baseline, 3.066864, 3.326187
236213, truthful, baseline, 3.042648, 3.315796
236221, truthful, baseline, 2.994385, 3.267059
236238, truthful, baseline, 3.039902, 3.366547
236246, truthful, baseline, 3.043518, 3.275314
236254, truthful, baseline, 3.04245, 3.296875
236271, truthful, baseline, 3.045685, 3.228394
236279, truthful, baseline, 3.045975, 3.294632
236288, truthful, baseline, 3.046616, 3.275742
236304, truthful, baseline, 3.045929, 3.322922
236313, truthful, baseline, 3.062241, 3.325912
236321, truthful, baseline, 3.045914, 3.31662
236338, truthful, baseline, 3.060715, 3.394241
236346, truthful, baseline, 3.068588, 3.33551
236354, truthful, baseline, 3.06871, 3.315125
236371, truthful, baseline, 3.078217, 3.338211
236379, truthful, baseline, 3.078049, 3.349365
236388, truthful, baseline, 3.078094, 3.359909
236404, truthful, baseline, 3.072479, 3.345169
236413, truthful, baseline, 3.07222, 3.342651
236421, truthful, baseline, 3.067902, 3.345581
236438, truthful, baseline, 3.068314, 3.339355
236446, truthful, baseline, 3.068008, 3.338028
236454, truthful, baseline, 3.060104, 3.336655
236471, truthful, baseline, 3.025009, 3.277542
236479, truthful, baseline, 3.032913, 3.301514
236488, truthful, baseline, 3.160202, 3.372375
236504, truthful, baseline, 2.943146, 3.235703
236513, truthful, baseline, 3.028198, 3.233383
236521, truthful, baseline, 3.143509, 3.240768
236538, truthful, baseline, 3.097626, 3.240585
236546, truthful, baseline, 3.102966, 3.237488
236554, truthful, baseline, 3.099716, 3.235519
236571, truthful, baseline, 3.098373, 3.235382
236579, truthful, baseline, 3.083969, 3.237167
236588, truthful, baseline, 3.06987, 3.240051
236604, truthful, baseline, 3.069519, 3.23999
236613, truthful, baseline, 3.065628, 3.237137
236621, truthful, baseline, 3.061707, 3.23732
236638, truthful, baseline, 3.068451, 3.232941
236646, truthful, baseline, 3.068344, 3.200302
236654, truthful, baseline, 3.068283, 3.186432
236671, truthful, baseline, 3.0681, 3.186523
236679, truthful, baseline, 3.068375, 3.186325
236688, truthful, baseline, 3.068344, 3.186707
236704, truthful, baseline, 3.068359, 3.146194
236713, truthful, baseline, 3.068436, 3.141968
236721, truthful, baseline, 3.062775, 3.146759
236738, truthful, baseline, 3.068588, 3.14682
236746, truthful, baseline, 3.068954, 3.160004
236754, truthful, baseline, 3.068741, 3.146729
236771, truthful, baseline, 3.061783, 3.1474
236779, truthful, baseline, 3.061676, 3.138535
236788, truthful, baseline, 3.041748, 3.161041
236804, truthful, baseline, 3.040329, 3.16098
236813, truthful, baseline, 3.040207, 3.138748
236821, truthful, baseline, 3.040436, 3.138794
236838, truthful, baseline, 3.040329, 3.1642
236846, truthful, baseline, 3.04039, 3.167084
236854, truthful, baseline, 3.043427, 3.163788
236871, truthful, baseline, 3.040359, 3.148148
236879, truthful, baseline, 3.038849, 3.148224
236896, truthful, baseline, 3.033737, 3.14769
236904, truthful, baseline, 3.033295, 3.148056
236913, truthful, baseline, 3.029816, 3.147766
236921, truthful, baseline, 3.029648, 3.125565
236938, truthful, baseline, 3.0298, 3.125565
236946, truthful, baseline, 3.03302, 3.147919
236954, truthful, baseline, 3.03299, 3.14769
236971, truthful, baseline, 3.039658, 3.125305
236979, truthful, baseline, 3.039597, 3.12561
236988, truthful, baseline, 3.039642, 3.124313
237004, truthful, baseline, 3.046249, 3.145172
237013, truthful, baseline, 3.046295, 3.147766
237021, truthful, baseline, 3.041061, 3.145081
237038, truthful, baseline, 3.039612, 3.16301
237046, truthful, baseline, 3.040955, 3.171509
237054, truthful, baseline, 3.040955, 3.171448
237071, truthful, baseline, 3.041031, 3.145355
237079, truthful, baseline, 3.039551, 3.145355
237088, truthful, baseline, 3.041153, 3.145065
237104, truthful, baseline, 3.07811, 3.204102
237113, truthful, baseline, 3.036758, 3.201538
237121, truthful, baseline, 2.961349, 3.105194
237138, truthful, baseline, 3.032837, 3.20134
237146, truthful, baseline, 3.028214, 3.10817
237154, truthful, baseline, 3.023941, 3.12973
237171, truthful, baseline, 3.023148, 3.176987
237179, truthful, baseline, 3.025116, 3.196564
237188, truthful, baseline, 3.023453, 3.208923
237204, truthful, baseline, 3.024017, 3.208481
237213, truthful, baseline, 3.025757, 3.211975
237221, truthful, baseline, 3.024078, 3.215652
237238, truthful, baseline, 3.018158, 3.208084
237246, truthful, baseline, 3.01564, 3.211823
