Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
588156, truthful, baseline, 2.886826, 3.030243
588164, truthful, baseline, 2.936859, 3.046356
588173, truthful, baseline, 2.927429, 3.030792
588189, truthful, baseline, 2.587708, 2.736633
588198, truthful, baseline, -1, 3.193588
588214, truthful, baseline, -1, -1
588223, truthful, baseline, -1, -1
588231, truthful, baseline, -1, -1
588247, truthful, baseline, -1, -1
588256, truthful, baseline, -1, -1
588264, truthful, baseline, -1, -1
588281, truthful, baseline, -1, -1
588289, truthful, baseline, -1, 3.885635
588297, truthful, baseline, -1, 3.076401
588306, truthful, baseline, -1, 1.881897
588322, truthful, baseline, -1, 2.913269
588331, truthful, baseline, -1, 2.792618
588339, truthful, baseline, 2.735123, 2.759125
588356, truthful, baseline, 2.723297, 2.824478
588364, truthful, baseline, 2.812057, 2.869476
588372, truthful, baseline, 2.714111, 2.807999
588389, truthful, baseline, 2.785309, 2.870193
588397, truthful, baseline, 2.821091, 2.903717
588406, truthful, baseline, 2.832382, 2.912094
588422, truthful, baseline, 2.822998, 2.927719
588431, truthful, baseline, 2.811295, 2.909775
588439, truthful, baseline, 2.759552, 2.890656
588456, truthful, baseline, 2.775162, 2.903656
588464, truthful, baseline, 2.788208, 2.838257
588472, truthful, baseline, 2.840683, 2.873184
588489, truthful, baseline, 2.919754, 2.863403
588497, truthful, baseline, 2.783905, 2.821426
588506, truthful, baseline, 2.857529, 2.83931
588522, truthful, baseline, 2.789078, 3.044403
588531, truthful, baseline, 2.821625, 2.978012
588539, truthful, baseline, 2.790878, 2.964691
588556, truthful, baseline, 2.812973, 2.959641
588564, truthful, baseline, 2.803101, 2.960938
588572, truthful, baseline, 2.812805, 2.973175
588589, truthful, baseline, 2.813232, 2.995163
588597, truthful, baseline, 2.805084, 3.016739
588606, truthful, baseline, 2.814316, 2.997055
588622, truthful, baseline, 2.814407, 2.969757
588631, truthful, baseline, 2.823135, 2.97496
588639, truthful, baseline, 2.823975, 2.980652
588656, truthful, baseline, 2.829056, 2.994934
588664, truthful, baseline, 2.830795, 2.995789
588672, truthful, baseline, 2.8367, 2.994904
588689, truthful, baseline, 2.830643, 2.994949
588697, truthful, baseline, 2.907715, 2.987839
588706, truthful, baseline, 2.905838, 2.994247
588722, truthful, baseline, 2.91217, 2.993805
588731, truthful, baseline, 2.91571, 2.990952
588739, truthful, baseline, 2.915741, 2.992401
588756, truthful, baseline, 2.914093, 2.989349
588764, truthful, baseline, 2.911911, 2.9888
588772, truthful, baseline, 2.90332, 2.997391
588789, truthful, baseline, 2.878098, 2.985764
588797, truthful, baseline, 2.877975, 2.98703
588806, truthful, baseline, 2.856461, 2.997223
588822, truthful, baseline, 2.85553, 2.996887
588831, truthful, baseline, 2.786469, 2.996735
588839, truthful, baseline, 2.887085, 2.884415
588856, truthful, baseline, 2.742538, 2.916901
588864, truthful, baseline, 2.696915, 2.833923
588872, truthful, baseline, 2.842407, 2.883728
588889, truthful, baseline, 2.854187, 3.05159
588897, truthful, baseline, 2.808151, 2.958862
588906, truthful, baseline, 2.785645, 2.917084
588922, truthful, baseline, 2.771606, 2.914917
588931, truthful, baseline, 2.76355, 2.916016
588939, truthful, baseline, 2.755432, 2.915573
588956, truthful, baseline, 2.754486, 2.908081
588964, truthful, baseline, 2.76149, 2.898331
588972, truthful, baseline, 2.75444, 2.888397
588989, truthful, baseline, 2.754257, 2.873047
588997, truthful, baseline, 2.761215, 2.869705
589006, truthful, baseline, 2.761475, 2.874847
589022, truthful, baseline, 2.758774, 2.878937
589031, truthful, baseline, 2.759079, 2.879257
589039, truthful, baseline, 2.758835, 2.885635
589056, truthful, baseline, 2.759262, 2.887253
589064, truthful, baseline, 2.759109, 2.876022
589072, truthful, baseline, 2.759369, 2.869293
589089, truthful, baseline, 2.758606, 2.870987
589097, truthful, baseline, 2.75856, 2.867676
589106, truthful, baseline, 2.74826, 2.87706
589122, truthful, baseline, 2.725189, 2.873703
589131, truthful, baseline, 2.722855, 2.885651
589139, truthful, baseline, 2.722321, 2.889908
589156, truthful, baseline, 2.722473, 2.870941
589164, truthful, baseline, 2.722549, 2.870926
589172, truthful, baseline, 2.722519, 2.871674
589189, truthful, baseline, 2.714096, 2.873718
589197, truthful, baseline, 2.703537, 2.891083
589206, truthful, baseline, 2.703476, 2.894852
589222, truthful, baseline, 2.702728, 2.901733
589231, truthful, baseline, 2.702499, 2.90181
589239, truthful, baseline, 2.702682, 2.902115
589256, truthful, baseline, 2.700882, 2.902328
589264, truthful, baseline, 2.6922, 2.911728
589272, truthful, baseline, 2.689911, 2.915695
589289, truthful, baseline, 2.661591, 2.855545
589297, truthful, baseline, 2.638199, 2.764175
589306, truthful, baseline, 2.677963, 2.739212
589322, truthful, baseline, 2.671295, 2.772827
589331, truthful, baseline, 2.643967, 2.724487
589339, truthful, baseline, 2.688675, 2.726883
589356, truthful, baseline, 2.642441, 2.758972
589364, truthful, baseline, 2.623108, 2.744629
