Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
864610, 75617, 32.59872, -0.1552277, -29.02666, -0.01107788, -0.0405426, 0.999115, 2.514557, 1, -32.22829, -1.881622, -30.80144, 0.005325317, -0.03933716, 0.9992065, 2.625015, 1
864619, 75618, 32.60025, -0.1552277, -29.02867, -0.01052856, -0.04156494, 0.9990692, 2.508652, 1, -32.22813, -1.882492, -30.80144, 0.005508423, -0.03945923, 0.9991913, 2.629944, 1
864627, 75619, 32.60153, -0.1552277, -29.02867, -0.01081848, -0.04154968, 0.9990692, 2.514221, 1, -32.22798, -1.882553, -30.79713, 0.005249023, -0.0402832, 0.9991608, 2.629959, 1
864644, 75621, 32.60371, -0.1555176, -29.02924, -0.01094055, -0.04191589, 0.999054, 2.508606, 1, -32.22777, -1.882675, -30.80144, 0.005249023, -0.03901672, 0.9992218, 2.632263, 1
864652, 75622, 32.60374, -0.1557159, -29.02924, -0.01126099, -0.0428009, 0.9990082, 2.513824, 1, -32.22762, -1.882935, -30.80467, 0.005233765, -0.03874207, 0.9992218, 2.632294, 1
864660, 75623, 32.60472, -0.1562347, -29.02924, -0.01148987, -0.04377747, 0.9989624, 2.522583, 1, -32.22745, -1.884583, -30.80785, 0.005249023, -0.03855896, 0.9992371, 2.644028, 1
864677, 75625, 32.60545, -0.1590271, -29.02924, -0.01165771, -0.04322815, 0.9989929, 2.524551, 1, -32.22733, -1.887238, -30.80815, 0.005233765, -0.0380249, 0.9992523, 2.644104, 1
864685, 75626, 32.60641, -0.1645508, -29.02867, -0.01277161, -0.04324341, 0.9989777, 2.524292, 1, -32.2271, -1.887238, -30.80867, 0.005187988, -0.03797913, 0.9992523, 2.64418, 1
864694, 75627, 32.60641, -0.167038, -29.021, -0.01318359, -0.04327393, 0.9989624, 2.524796, 1, -32.22691, -1.887238, -30.80931, 0.005157471, -0.0375824, 0.9992676, 2.644379, 1
864710, 75629, 32.60863, -0.1687469, -29.01122, -0.0123291, -0.04467773, 0.9989166, 2.52655, 1, -32.22665, -1.887238, -30.82104, 0.004638672, -0.03709412, 0.9992981, 2.665939, 1
864719, 75630, 32.60912, -0.1689148, -29.00984, -0.01333618, -0.04640198, 0.9988251, 2.526184, 1, -32.22636, -1.889038, -30.81818, 0.003204346, -0.03790283, 0.9992676, 2.665588, 1
864727, 75631, 32.60912, -0.1689148, -29.00984, -0.01335144, -0.04656982, 0.9988251, 2.529449, 1, -32.22636, -1.89122, -30.81818, 0.003204346, -0.03749084, 0.9992828, 2.665833, 1
864744, 75633, 32.64832, -0.1928406, -28.94368, 0.006256104, -0.05307007, 0.9985657, 2.621048, 1, -32.15538, -1.863495, -30.86221, 0.01768494, -0.03930664, 0.9990692, 2.711899, 1
864752, 75634, 32.66719, -0.179718, -28.99332, 0.005233765, -0.03921509, 0.9992065, 2.628174, 1, -32.13869, -1.882843, -30.78589, 0.01367188, -0.03919983, 0.9991302, 2.561752, 1
864760, 75635, 32.66035, -0.2049561, -28.93359, 0.007400513, -0.05235291, 0.9985962, 2.553009, 1, -32.14969, -1.876297, -30.80757, 0.01292419, -0.0398407, 0.999115, 2.575226, 1
864777, 75637, 32.66035, -0.2091675, -28.93195, 0.007339478, -0.05059814, 0.9986877, 2.563614, 1, -32.15646, -1.875931, -30.83792, 0.01045227, -0.0390625, 0.999176, 2.574539, 1
864785, 75638, 32.66331, -0.2070618, -28.93277, 0.005905151, -0.0508728, 0.9986725, 2.562973, 1, -32.1561, -1.876114, -30.82274, 0.01031494, -0.03927612, 0.9991608, 2.583832, 1
864794, 75639, 32.66628, -0.2049561, -28.93359, 0.004455566, -0.0511322, 0.9986725, 2.563324, 1, -32.15646, -1.876297, -30.80757, 0.01040649, -0.03952026, 0.9991608, 2.592987, 1
864810, 75641, 32.6694, -0.2030029, -28.95201, 0.004653931, -0.05075073, 0.9986877, 2.584427, 1, -32.15646, -1.885696, -30.80444, 0.01037598, -0.03897095, 0.999176, 2.593048, 1
864819, 75642, 32.67021, -0.2015686, -28.95551, 0.004089355, -0.05075073, 0.9986877, 2.573456, 1, -32.1564, -1.885712, -30.80437, 0.01078796, -0.03944397, 0.9991608, 2.609055, 1
864827, 75643, 32.67102, -0.2001343, -28.959, 0.004257202, -0.05072021, 0.998703, 2.563004, 1, -32.15646, -1.885742, -30.80429, 0.01119995, -0.03988647, 0.9991302, 2.624741, 1
864844, 75645, 32.6743, -0.1992035, -28.9619, 0.003692627, -0.04641724, 0.9989014, 2.572754, 1, -32.15646, -1.885742, -30.79102, 0.01124573, -0.04069519, 0.9990997, 2.624954, 1
864852, 75646, 32.68321, -0.1815796, -29.02283, 0.001815796, -0.04872131, 0.9988098, 2.577316, 1, -32.1564, -1.88588, -30.78935, 0.01161194, -0.04013062, 0.999115, 2.636642, 1
864860, 75647, 32.69214, -0.1639557, -29.08376, 0.0001373291, -0.04676819, 0.9989014, 2.570374, 1, -32.15782, -1.887222, -30.76875, 0.01646423, -0.037323, 0.9991608, 2.748276, 1
