Timestamp, Left pupil_Diameter_mm, Right pupil_diameter_mm
866402, 2.689957, 2.808151
866410, 2.683914, 2.845901
866426, 2.752945, 2.860168
866435, 2.739578, 2.917007
866443, 2.708328, 2.910782
866460, 2.705078, 2.907669
866468, 2.733002, 2.901505
866476, 2.718704, 2.886978
866493, 2.736893, 2.899017
866501, 2.734039, 2.897125
866510, 2.737305, 2.896454
866526, 2.737747, 2.897079
866535, 2.741364, 2.894974
866543, 2.735031, 2.896973
866560, 2.735489, 2.898666
866568, 2.736801, 2.848419
866576, 2.744385, 2.953003
866593, 2.798737, 2.874695
866601, 2.844177, 3.00766
866610, 2.749802, 2.937164
866626, 2.725113, 3.028992
866635, 2.712296, 2.908401
866643, 2.735641, 3.040405
866660, 2.675034, 3.036453
866668, 2.690186, 2.969574
866676, 2.706955, 3.045578
866693, 2.710373, 2.997955
866701, 2.69487, 2.90831
866710, 2.811172, 2.931305
866726, 2.895309, 2.788055
866735, 2.818314, 3.011536
866743, 2.797409, 2.847015
866760, -1, 2.65947
866768, -1, -1
866776, -1, -1
866793, -1, -1
866801, -1, -1
866810, -1, -1
866826, -1, -1
866835, -1, -1
866843, -1, -1
866860, -1, -1
866868, -1, -1
866876, -1, 3.009766
866893, 2.972855, 3.100342
866901, 2.917404, 3.183029
866910, 2.993591, 3.036896
866926, 2.85228, 3.045059
866935, 2.879944, 3.006851
866943, 2.838104, 3.0233
866960, 2.843399, 3.008408
866968, 2.843109, 3.053467
866976, 2.796463, 2.979858
866993, 2.863647, 2.953293
867001, 2.924774, 2.838547
867010, 2.917526, 2.906479
867026, 2.814896, 2.933258
867035, 2.747452, 3.026138
867043, 2.743332, 2.950623
867060, 2.800186, 2.844452
867068, 2.709793, 2.81517
867076, 2.740646, 2.85965
867093, 2.840912, 3.061813
867101, 2.812408, 2.993057
867110, 2.839035, 2.919449
867126, 2.941483, 2.953476
867135, 2.913361, 3.024979
867143, 2.936478, 2.954041
867160, 2.888184, 3.02832
867168, 2.770752, 2.959244
867176, 2.737335, 2.869095
867193, 2.712021, 2.88205
867201, 2.750046, 2.716843
867210, 2.742249, 2.905518
867226, 2.707474, 2.872787
867235, 2.693817, 2.806915
867243, 2.611008, 2.772797
867260, 2.640503, 2.711716
867268, 2.634171, 2.756104
867276, 2.777405, 2.745758
867293, 2.705399, 2.710602
867301, 2.650894, 2.669846
867310, 2.754303, 2.709946
867326, 2.693893, 2.739395
867335, 2.742462, 2.765518
867343, 2.737396, 2.790558
867360, 2.735901, 2.821533
867368, 2.79985, 2.759674
867376, 2.779846, 2.834625
867393, 2.746841, 2.653885
867401, 2.81015, 2.658356
867410, 2.728622, 2.766373
867426, 2.710861, 2.752762
867435, 2.721191, 2.746338
867443, 2.648865, 2.756927
867460, 2.776901, 2.610184
867468, 2.686096, 2.738937
867476, 2.632019, 2.703857
867493, 2.768234, 2.74823
867501, 2.665527, 2.834076
867510, 2.712524, 2.751282
867526, 2.755539, 2.738815
867535, 2.596191, 2.729156
867543, 2.621048, 2.655899
867560, 2.656265, 2.659668
867568, 2.628082, 2.654877
867576, 2.573044, 2.621841
867593, 2.607208, 2.65538
867601, 2.641739, 2.674622
867610, 2.662125, 2.643906
867626, 2.644791, 2.871887
867635, 2.701996, 2.708633
867643, 2.591782, 2.684128
867660, 2.734924, 2.71196
867668, 2.702774, 2.70256
867676, 2.671127, 2.711929
867693, 2.677643, 2.72522
867701, 2.674408, 2.728714
867710, 2.673187, 2.738312
867726, 2.732071, 2.70079
867734, 2.618088, 2.734451
