Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
2050492, 67086, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -26.29041, 6.766464, -39.94597, 0, 0, 0, -1, 0
2050501, 67087, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -26.29041, 6.766464, -39.94597, 0, 0, 0, -1, 0
2050517, 67089, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -26.29041, 6.766464, -39.94597, 0, 0, 0, -1, 0
2050526, 67090, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -26.29041, 6.766464, -39.94597, 0, 0, 0, -1, 0.1420668
2050534, 67091, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -26.29041, 6.766464, -39.94597, 0, 0, 0, -1, 0.1420668
2050542, 67092, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0, -31.49615, 7.34816, -36.56892, 0, 0, 0, -1, 0.3647871
2050559, 67094, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0.09572817, -31.47661, 7.352402, -36.57664, 0, 0, 0, -1, 0.687056
2050567, 67095, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0.09572817, -31.54784, 7.289749, -36.59663, 0, 0, 0, -1, 0.687056
2050576, 67096, truthful, baseline, 34.15292, 5.632828, -38.38599, 0, 0, 0, -1, 0.2748416, -31.51863, 7.317551, -36.59409, 0, 0, 0, -1, 0.820295
2050592, 67098, truthful, baseline, 34.42906, 6.951157, -37.96315, 0, 0, 0, -1, 0.44611, -31.53668, 7.299057, -36.59554, 0, 0, 0, -1, 0.9252685
