Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1370163, 146707, lying, baseline, 33.82738, 0.6110077, -37.96001, -0.004211426, -0.0612793, 0.9981079, 2.634293, 1, -30.38918, -0.6404877, -35.87674, 0.01583862, -0.05604553, 0.998291, 2.743423, 1
1370171, 146708, lying, baseline, 33.82892, 0.6135406, -37.96098, -0.003250122, -0.06170654, 0.9980774, 2.634216, 1, -30.38904, -0.6404877, -35.87674, 0.01580811, -0.05639648, 0.9982758, 2.743347, 1
1370180, 146709, lying, baseline, 33.82922, 0.6191254, -37.96417, -0.003372192, -0.06260681, 0.9980164, 2.645691, 1, -30.38904, -0.6403351, -35.8856, 0.01628113, -0.05587769, 0.998291, 2.743103, 1
1370196, 146711, lying, baseline, 33.83195, 0.6302795, -38.0041, -0.003982544, -0.06254578, 0.9980316, 2.633148, 1, -30.38866, -0.6403351, -35.8857, 0.0168457, -0.05584717, 0.998291, 2.743835, 1
1370205, 146712, lying, baseline, 33.83197, 0.6321564, -38.01997, -0.003967285, -0.0620575, 0.9980621, 2.622849, 1, -30.38826, -0.6388855, -35.8867, 0.01675415, -0.05659485, 0.9982452, 2.743454, 1
1370213, 146713, lying, baseline, 33.81749, 0.6535492, -38.0323, -0.004653931, -0.07116699, 0.9974518, 2.561066, 1, -30.40341, -0.7089081, -35.70694, 0.01708984, -0.05717468, 0.9982147, 2.714706, 1
1370230, 146715, lying, baseline, 33.62637, 0.7184601, -38.15971, -0.03198242, -0.06959534, 0.9970551, 2.613602, 1, -30.56369, -0.6961517, -35.76111, -0.0173645, -0.05473328, 0.9983368, 2.713181, 1
1370238, 146716, lying, baseline, 33.58305, 0.7630615, -38.25024, -0.01930237, -0.07539368, 0.9969635, 2.660385, 1, -30.58913, -0.7490997, -35.60313, -0.01435852, -0.06053162, 0.9980621, 2.772583, 1
1370246, 146717, lying, baseline, 33.59396, 0.7385559, -38.18991, -0.02444458, -0.0718689, 0.9971008, 2.682724, 1, -30.58319, -0.687851, -35.83672, -0.01660156, -0.05532837, 0.9983215, 2.666565, 1
1370263, 146719, lying, baseline, 33.60338, 0.7266998, -38.18538, -0.0274353, -0.07305908, 0.9969482, 2.621948, 1, -30.58862, -0.7754974, -35.54135, -0.01281738, -0.05647278, 0.9983063, 2.766754, 1
1370271, 146720, lying, baseline, 33.60381, 0.7280273, -38.19283, -0.02682495, -0.07286072, 0.9969788, 2.655289, 1, -30.58914, -0.7874603, -35.5088, -0.01411438, -0.05702209, 0.9982605, 2.756912, 1
1370280, 146721, lying, baseline, 33.60425, 0.7266998, -38.18538, -0.02592468, -0.07287598, 0.996994, 2.652634, 1, -30.58966, -0.799408, -35.47624, -0.01530457, -0.05737305, 0.99823, 2.767838, 1
1370296, 146723, lying, baseline, 33.60873, 0.7266998, -38.18538, -0.02763367, -0.07080078, 0.9971008, 2.658157, 1, -30.58966, -0.799408, -35.47624, -0.01577759, -0.05818176, 0.9981689, 2.747589, 1
1370305, 146724, lying, baseline, 33.6091, 0.7280273, -38.19283, -0.02734375, -0.07165527, 0.9970398, 2.655273, 1, -30.58997, -0.7874603, -35.5088, -0.01596069, -0.059021, 0.9981232, 2.744751, 1
1370313, 146725, lying, baseline, 33.60947, 0.7293549, -38.20026, -0.02780151, -0.07157898, 0.9970398, 2.652847, 1, -30.59029, -0.7754974, -35.54135, -0.01568604, -0.05990601, 0.9980774, 2.74234, 1
1370330, 146727, lying, baseline, 33.61046, 0.733078, -38.20181, -0.02801514, -0.07270813, 0.9969482, 2.652573, 1, -30.59126, -0.7733154, -35.5946, -0.01538086, -0.05718994, 0.99823, 2.744751, 1
1370338, 146728, lying, baseline, 33.61092, 0.7336426, -38.20811, -0.02844238, -0.07272339, 0.996933, 2.650208, 1, -30.59183, -0.7730255, -35.59723, -0.01530457, -0.05703735, 0.9982452, 2.743256, 1
1370346, 146729, lying, baseline, 33.61136, 0.7341919, -38.20956, -0.02822876, -0.07247925, 0.9969635, 2.652466, 1, -30.59238, -0.7727203, -35.5946, -0.01522827, -0.05714417, 0.9982452, 2.741669, 1
1370363, 146731, lying, baseline, 33.61429, 0.7380524, -38.2144, -0.02882385, -0.07296753, 0.9969025, 2.647812, 1, -30.59251, -0.7702484, -35.5946, -0.01512146, -0.05708313, 0.9982452, 2.741821, 1
1370371, 146732, lying, baseline, 33.61487, 0.7380981, -38.21478, -0.02859497, -0.07270813, 0.996933, 2.650085, 1, -30.59268, -0.7702484, -35.58273, -0.0151062, -0.05838013, 0.9981689, 2.744659, 1
1370380, 146733, lying, baseline, 33.61546, 0.7381439, -38.21516, -0.02835083, -0.07293701, 0.9969177, 2.652237, 1, -30.59294, -0.7685852, -35.5946, -0.01509094, -0.05818176, 0.9981842, 2.744583, 1
