Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1271468, 134861, truthful, baseline, 33.66901, 0.5314636, -37.91243, -0.02497864, -0.08822632, 0.9957733, 2.956375, 0.9223588, -30.61081, -0.8664703, -35.69975, -0.01051331, -0.08218384, 0.9965515, 2.987259, 0.8172627
1271476, 134862, truthful, baseline, 33.66997, 0.5358276, -37.91768, -0.02516174, -0.08880615, 0.9957275, 2.952591, 0.9228574, -30.61119, -0.8677368, -35.69608, -0.01036072, -0.08174133, 0.9965973, 2.987427, 0.8183034
1271485, 134863, truthful, baseline, 33.66997, 0.5415955, -37.93443, -0.02520752, -0.088974, 0.9957123, 2.951889, 0.9295843, -30.61128, -0.8678284, -35.69221, -0.01031494, -0.08230591, 0.9965515, 3.007172, 0.7952663
1271502, 134865, truthful, baseline, 33.67001, 0.5450745, -37.94409, -0.02470398, -0.08891296, 0.9957275, 2.951691, 0.9273226, -30.61128, -0.8757324, -35.68034, -0.01049805, -0.08181763, 0.996582, 2.976959, 0.7866254
1271510, 134866, truthful, baseline, 33.67001, 0.5470734, -37.94621, -0.02470398, -0.08920288, 0.995697, 2.951569, 0.9273226, -30.61128, -0.8774109, -35.67842, -0.01051331, -0.0816803, 0.9965973, 2.977036, 0.7866254
1271518, 134867, truthful, baseline, 33.67001, 0.5470734, -37.95303, -0.02471924, -0.0891571, 0.995697, 2.951385, 0.9094875, -30.61128, -0.878067, -35.66748, -0.01043701, -0.08215332, 0.9965515, 2.992477, 0.7627146
1271535, 134869, truthful, baseline, 33.67001, 0.5492249, -37.96814, -0.02528381, -0.08970642, 0.995636, 2.949036, 0.9171464, -30.61345, -0.8866119, -35.66385, -0.01078796, -0.08163452, 0.9965973, 2.992523, 0.7413554
1271543, 134870, truthful, baseline, 33.67039, 0.5488281, -37.96854, -0.02536011, -0.08959961, 0.9956512, 2.949051, 0.9171464, -30.61414, -0.8924103, -35.65459, -0.01065063, -0.08100891, 0.9966431, 2.993042, 0.7413554
1271552, 134871, truthful, baseline, 33.67039, 0.5488281, -37.96854, -0.02531433, -0.08964539, 0.9956512, 2.941254, 0.9118292, -30.61481, -0.8947449, -35.65459, -0.009780884, -0.08059692, 0.9966888, 2.983093, 0.7649348
1271568, 134873, truthful, baseline, 33.67046, 0.5470734, -37.96814, -0.02529907, -0.08998108, 0.9956207, 2.936966, 0.9337718, -30.6252, -0.9087067, -35.65021, -0.006500244, -0.07867432, 0.9968719, 2.978058, 0.7705744
1271576, 134874, truthful, baseline, 33.67046, 0.5450897, -37.96814, -0.02542114, -0.08966064, 0.995636, 2.937027, 0.9337718, -30.6252, -0.9161224, -35.64148, -0.005142212, -0.07818604, 0.9969177, 2.983704, 0.7705744
1271585, 134875, truthful, baseline, 33.67046, 0.5450897, -37.96814, -0.02519226, -0.09005737, 0.9956055, 2.921265, 0.9158561, -30.6252, -0.9170227, -35.64148, -0.005126953, -0.07797241, 0.996933, 2.983704, 0.7562492
1271601, 134877, truthful, baseline, 33.67058, 0.5425415, -37.94785, -0.02398682, -0.09092712, 0.9955597, 2.911758, 0.9267109, -30.62553, -0.9173737, -35.64148, -0.003356934, -0.07875061, 0.9968872, 2.978134, 0.7314841
1271610, 134878, truthful, baseline, 33.67271, 0.5413055, -37.94727, -0.0243988, -0.09104919, 0.9955444, 2.911697, 0.9271838, -30.62553, -0.9182434, -35.64784, -0.00340271, -0.07824707, 0.9969177, 2.968872, 0.7328538
1271618, 134879, truthful, baseline, 33.67296, 0.5413055, -37.94727, -0.02444458, -0.09104919, 0.9955444, 2.911697, 0.9392851, -30.6252, -0.9185791, -35.64784, -0.003326416, -0.07832336, 0.9969177, 2.968796, 0.7809501
1271635, 134881, truthful, baseline, 33.67378, 0.5379639, -37.93878, -0.02424622, -0.09089661, 0.9955597, 2.911942, 0.9495369, -30.62505, -0.9185791, -35.65021, -0.002227783, -0.07865906, 0.9968872, 2.957169, 0.7543361
1271643, 134882, truthful, baseline, 33.67508, 0.5379181, -37.93663, -0.02449036, -0.09103394, 0.9955444, 2.907578, 0.9495369, -30.62437, -0.9185791, -35.65021, -0.003570557, -0.0786438, 0.9968872, 2.956619, 0.7543361
1271651, 134883, truthful, baseline, 33.67532, 0.5362091, -37.93227, -0.02442932, -0.09094238, 0.9955444, 2.9077, 0.949717, -30.62384, -0.9185791, -35.65021, -0.002487183, -0.07868958, 0.9968872, 2.956512, 0.7643457
1271668, 134885, truthful, baseline, 33.67676, 0.5256653, -37.90459, -0.02377319, -0.0905304, 0.9956055, 2.896362, 0.9353678, -30.62361, -0.9161224, -35.65172, -0.002700806, -0.07929993, 0.9968414, 2.927872, 0.7522976
1271676, 134886, truthful, baseline, 33.67816, 0.5238037, -37.88611, -0.02258301, -0.09133911, 0.9955597, 2.896591, 0.9353678, -30.62244, -0.9161224, -35.65172, -0.004684448, -0.07922363, 0.9968414, 2.928177, 0.7522976
1271685, 134887, truthful, baseline, 33.72449, 0.538559, -37.97203, -0.0231781, -0.09259033, 0.9954224, 2.92215, 0.9468259, -30.57622, -0.7858582, -36.03584, -0.003799438, -0.08189392, 0.9966278, 2.910004, 0.7746561
1271701, 134889, truthful, baseline, 34.10715, 0.5605927, -38.16379, 0.04937744, -0.07717896, 0.9957886, 2.931351, 0.929373, -30.20058, -1.00444, -35.38882, 0.06222534, -0.07896423, 0.9949188, 2.938126, 0.7696671
1271710, 134890, truthful, baseline, 34.2823, 0.7181396, -38.77478, 0.06192017, -0.06413269, 0.9960175, 2.904587, 0.929373, -29.9903, -0.6812592, -36.26155, 0.07498169, -0.085495, 0.9934998, 2.970352, 0.7696671
1271718, 134891, truthful, baseline, 34.34235, 0.5843811, -38.42908, 0.05575562, -0.06845093, 0.9960938, 2.861099, 0.8791047, -29.93343, -0.8255615, -35.85933, 0.08280945, -0.0773468, 0.9935455, 2.911224, 0.6544837
1271735, 134893, truthful, baseline, 34.32956, 0.6071167, -38.49829, 0.06770325, -0.06637573, 0.9954834, 2.890045, 0.8798858, -29.94527, -0.8076477, -35.95029, 0.08990479, -0.078125, 0.9928741, 3.048828, 0.6672355
1271743, 134894, truthful, baseline, 34.33627, 0.575943, -38.40462, 0.06355286, -0.07366943, 0.9952393, 2.862579, 0.880622, -29.94092, -0.8165131, -35.93486, 0.08349609, -0.08087158, 0.9932098, 3.006027, 0.6687844
1271751, 134895, truthful, baseline, 34.33969, 0.5792999, -38.42374, 0.06602478, -0.07209778, 0.9951935, 2.755264, 0.8902224, -29.93861, -0.8223572, -35.9021, 0.08827209, -0.0809021, 0.9927979, 3.009293, 0.688767
1271768, 134897, truthful, baseline, 34.34116, 0.5497131, -38.3405, 0.06535339, -0.07037354, 0.9953766, 2.88501, 0.8816857, -29.93297, -0.7962494, -35.9843, 0.08418274, -0.08030701, 0.9931946, 2.954742, 0.7146715
1271776, 134898, truthful, baseline, 34.34151, 0.5423126, -38.31721, 0.06497192, -0.07151794, 0.9953156, 2.85289, 0.8816857, -29.93303, -0.7847137, -36.02162, 0.08444214, -0.08001709, 0.9931946, 3.001587, 0.7146715
