Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
241960, truthful, baseline, 2.955399, 2.716537
241976, truthful, baseline, 2.834503, 2.671341
241985, truthful, baseline, 2.85289, 2.747452
241993, truthful, baseline, 2.886932, 2.758057
242009, truthful, baseline, 2.869385, 2.745773
242018, truthful, baseline, 2.868134, 2.744583
242026, truthful, baseline, 2.864822, 2.739212
242043, truthful, baseline, 2.869064, 2.738525
242051, truthful, baseline, 2.870758, 2.733047
242059, truthful, baseline, 2.868774, 2.728806
242076, truthful, baseline, 2.868164, 2.72821
242084, truthful, baseline, 2.866257, 2.724014
242093, truthful, baseline, 2.867889, 2.722
242109, truthful, baseline, 2.874542, 2.719238
242118, truthful, baseline, 2.869461, 2.718735
242126, truthful, baseline, 2.868805, 2.716354
242143, truthful, baseline, 2.873489, 2.707733
242151, truthful, baseline, 2.781799, 2.71022
242159, truthful, baseline, 2.778366, 2.679642
242176, truthful, baseline, 2.667618, 2.64183
242184, truthful, baseline, 2.663528, 2.644897
242193, truthful, baseline, 2.66658, 2.64949
242209, truthful, baseline, 2.760056, 2.661636
242218, truthful, baseline, 2.644394, 2.69014
242226, truthful, baseline, 2.863647, 2.634903
242243, truthful, baseline, 2.701935, 2.830261
242251, truthful, baseline, 2.827682, 2.743668
242259, truthful, baseline, 2.769119, 2.755127
242276, truthful, baseline, 2.774551, 2.711182
242284, truthful, baseline, 2.829697, 2.726089
242293, truthful, baseline, 2.814667, 2.739487
242309, truthful, baseline, 2.790009, 2.7435
242318, truthful, baseline, 2.782333, 2.753708
242326, truthful, baseline, 2.790451, 2.754517
242343, truthful, baseline, 2.77504, 2.744461
242351, truthful, baseline, 2.767395, 2.735001
242360, truthful, baseline, 2.766983, 2.724808
242376, truthful, baseline, 2.714569, 2.678177
242385, truthful, baseline, 2.753159, 2.660568
242393, truthful, baseline, 2.681229, 2.650482
242410, truthful, baseline, 2.714828, 2.641647
242418, truthful, baseline, 2.738556, 2.540131
242426, truthful, baseline, 2.700989, 2.601913
242443, truthful, baseline, 2.583755, 2.621033
242451, truthful, baseline, 2.586838, 2.62587
242460, truthful, baseline, 2.589966, 2.630722
242476, truthful, baseline, 2.598083, 2.627701
242484, truthful, baseline, 2.602936, 2.628586
242493, truthful, baseline, 2.602722, 2.629852
242509, truthful, baseline, 2.598434, 2.622421
242518, truthful, baseline, 2.60112, 2.615875
242526, truthful, baseline, 2.601044, 2.613617
242543, truthful, baseline, 2.601944, 2.609497
242551, truthful, baseline, 2.565552, 2.597763
242559, truthful, baseline, 2.547806, 2.585709
242576, truthful, baseline, 2.537338, 2.566406
242584, truthful, baseline, 2.70369, 2.498001
242593, truthful, baseline, 2.652954, 2.583344
242609, truthful, baseline, 2.555237, 2.559662
242618, truthful, baseline, 2.521057, 2.624344
242626, truthful, baseline, 2.492599, 2.597061
242643, truthful, baseline, 2.559799, 2.610168
242651, truthful, baseline, 2.565826, 2.611954
242659, truthful, baseline, 2.572693, 2.610153
242676, truthful, baseline, 2.572998, 2.612534
242684, truthful, baseline, 2.580185, 2.613892
242693, truthful, baseline, 2.573166, 2.614899
242709, truthful, baseline, 2.573456, 2.627548
242718, truthful, baseline, 2.580093, 2.621368
242726, truthful, baseline, 2.573044, 2.615021
242743, truthful, baseline, 2.573059, 2.615799
242751, truthful, baseline, 2.566574, 2.614365
242759, truthful, baseline, 2.58107, 2.61528
242776, truthful, baseline, 2.608536, 2.612
242784, truthful, baseline, 2.609207, 2.610992
242793, truthful, baseline, 2.627991, 2.597488
242809, truthful, baseline, 2.635284, 2.596542
242818, truthful, baseline, 2.6353, 2.596588
242826, truthful, baseline, 2.641022, 2.596329
242843, truthful, baseline, 2.640854, 2.596451
242851, truthful, baseline, 2.641403, 2.596359
242859, truthful, baseline, 2.640274, 2.612457
242876, truthful, baseline, 2.652054, 2.61319
242884, truthful, baseline, 2.652115, 2.613083
242893, truthful, baseline, 2.651993, 2.624542
242909, truthful, baseline, 2.641113, 2.644623
242918, truthful, baseline, 2.693314, 2.709854
242926, truthful, baseline, 2.728745, 2.759277
242943, truthful, baseline, 2.751556, 2.685211
242951, truthful, baseline, 2.694946, 2.617493
242959, truthful, baseline, 2.750275, 2.628677
242976, truthful, baseline, 2.845062, 2.711456
242984, truthful, baseline, 2.804901, 2.639542
242993, truthful, baseline, 2.797806, 2.62439
243009, truthful, baseline, 2.776566, 2.669968
243018, truthful, baseline, 2.769241, 2.672409
243026, truthful, baseline, 2.745651, 2.707916
243043, truthful, baseline, 2.746948, 2.673508
243051, truthful, baseline, 2.783295, 2.66748
243059, truthful, baseline, 2.794601, 2.689072
243076, truthful, baseline, 2.793793, 2.69603
243084, truthful, baseline, 2.789276, 2.711609
243093, truthful, baseline, 2.79364, 2.709335
243109, truthful, baseline, 2.799103, 2.709503
243118, truthful, baseline, 2.803436, 2.712021
243126, truthful, baseline, 2.807907, 2.716705
243143, truthful, baseline, 2.815033, 2.716599
243151, truthful, baseline, 2.870682, 2.721313
243159, truthful, baseline, 2.924683, 2.730179
243176, truthful, baseline, 2.924942, 2.743561
243184, truthful, baseline, 2.942734, 2.744644
243193, truthful, baseline, 2.957626, 2.74472
243209, truthful, baseline, 2.958481, 2.76149
243218, truthful, baseline, 2.9599, 2.775574
243226, truthful, baseline, 2.961349, 2.78363
243243, truthful, baseline, 2.96106, 2.790787
243251, truthful, baseline, 2.960983, 2.807373
243259, truthful, baseline, 2.961502, 2.806854
243276, truthful, baseline, 3.01033, 2.924652
243284, truthful, baseline, 3.045792, 2.889282
243293, truthful, baseline, 3.055862, 2.899643
243309, truthful, baseline, 3.046799, 2.936157
243318, truthful, baseline, 3.060852, 2.969177
243326, truthful, baseline, 3.05307, 2.823593
243343, truthful, baseline, 3.071762, 2.897568
243351, truthful, baseline, 3.084198, 2.867798
243359, truthful, baseline, 3.085449, 2.897781
243376, truthful, baseline, 3.085342, 2.901978
243384, truthful, baseline, 3.083603, 2.901001
243393, truthful, baseline, 3.083069, 2.901749
243409, truthful, baseline, 3.079224, 2.901474
243418, truthful, baseline, 3.078003, 2.900482
243426, truthful, baseline, 3.071457, 2.901047
243443, truthful, baseline, 3.081741, 2.901245
243451, truthful, baseline, 3.093658, 2.86293
243459, truthful, baseline, 3.109207, 2.850296
243476, truthful, baseline, 2.935913, 2.944214
243484, truthful, baseline, 2.973816, 2.9608
243493, truthful, baseline, 3.065262, 2.735092
243509, truthful, baseline, 3.103256, 2.840485
243518, truthful, baseline, 3.057663, 2.880676
243526, truthful, baseline, 3.016754, 2.91185
243543, truthful, baseline, 3.126434, 2.910843
243551, truthful, baseline, 2.967255, 3.025238
243559, truthful, baseline, 2.994308, 2.976639
243576, truthful, baseline, 2.969482, 2.97522
243584, truthful, baseline, 2.989822, 2.951538
243593, truthful, baseline, 2.969574, 3.013046
243609, truthful, baseline, 3.008942, 3.010864
243618, truthful, baseline, 2.997574, 3.023193
243626, truthful, baseline, 3.003998, 3.03479
243643, truthful, baseline, 3.026581, 3.034683
243651, truthful, baseline, 3.01564, 3.072662
243659, truthful, baseline, 3.026566, 2.957077
243676, truthful, baseline, 3.079834, 3.03508
243684, truthful, baseline, 3.081696, 3.039841
243693, truthful, baseline, 3.083572, 3.044876
243709, truthful, baseline, 3.091766, 3.052505
243718, truthful, baseline, 3.093399, 3.058167
243726, truthful, baseline, 3.093658, 3.063782
243743, truthful, baseline, 3.113846, 3.066849
243751, truthful, baseline, 3.116226, 3.06514
243759, truthful, baseline, 3.116272, 3.066666
243776, truthful, baseline, 3.126892, 3.066483
243784, truthful, baseline, 3.126923, 3.073792
243793, truthful, baseline, 3.129883, 3.07608
243809, truthful, baseline, 3.138443, 3.082886
243818, truthful, baseline, 3.138107, 3.086502
243826, truthful, baseline, 3.137939, 3.087311
243843, truthful, baseline, 3.133026, 3.087082
243851, truthful, baseline, 3.133102, 3.087234
243859, truthful, baseline, 3.144028, 3.100067
243876, truthful, baseline, 3.151352, 3.100693
243884, truthful, baseline, 3.155106, 3.123062
243893, truthful, baseline, 3.151077, 3.123169
243909, truthful, baseline, 3.137817, 3.122574
243918, truthful, baseline, 3.134628, 3.116867
243926, truthful, baseline, 3.134308, 3.109924
243943, truthful, baseline, 3.131729, 3.101608
243951, truthful, baseline, 3.1315, 3.101776
243959, truthful, baseline, 3.148026, 3.109451
243976, truthful, baseline, 3.091949, 3.141647
243984, truthful, baseline, 2.995834, 3.100891
243993, truthful, baseline, 3.092697, 3.075974
244009, truthful, baseline, 2.974762, 3.095551
244017, truthful, baseline, 3.008362, 3.109695
244026, truthful, baseline, 3.063416, 3.182373
244042, truthful, baseline, 3.010071, 3.162613
244051, truthful, baseline, 3.103149, 3.133011
244059, truthful, baseline, 3.155487, 3.162033
244076, truthful, baseline, 3.072388, 3.133072
244084, truthful, baseline, 3.078568, 3.133499
244092, truthful, baseline, 3.065247, 3.133652
244109, truthful, baseline, 3.046722, 3.131073
244117, truthful, baseline, 3.041763, 3.127899
244126, truthful, baseline, 3.047195, 3.108582
244142, truthful, baseline, 3.06279, 3.098022
244151, truthful, baseline, 3.053665, 3.107437
244159, truthful, baseline, 3.057999, 3.107513
244176, truthful, baseline, 2.977066, 3.117996
244184, truthful, baseline, 3.070892, 3.067703
244192, truthful, baseline, 3.139816, 3.05658
244209, truthful, baseline, 3.003098, 3.094421
244217, truthful, baseline, 3.040527, 2.985107
244226, truthful, baseline, 3.07756, 3.055405
244242, truthful, baseline, 3.077332, 3.066666
244251, truthful, baseline, 3.070602, 3.036072
244259, truthful, baseline, 3.076096, 3.065659
244276, truthful, baseline, 3.075851, 3.108917
244284, truthful, baseline, 3.082596, 3.194519
244292, truthful, baseline, 3.089249, 3.133728
244309, truthful, baseline, 3.089188, 3.134384
244317, truthful, baseline, 3.08519, 3.145126
244326, truthful, baseline, 3.089401, 3.132904
244342, truthful, baseline, 3.096909, 3.132721
244351, truthful, baseline, 3.097321, 3.129578
244359, truthful, baseline, 3.103195, 3.132401
244376, truthful, baseline, 3.126205, 3.144028
244384, truthful, baseline, 3.126511, 3.146866
244392, truthful, baseline, 3.126541, 3.149765
244409, truthful, baseline, 3.126755, 3.149429
244417, truthful, baseline, 3.126358, 3.152679
244426, truthful, baseline, 3.083069, 3.146973
244442, truthful, baseline, 3.10672, 3.18364
244451, truthful, baseline, 3.164352, 3.126343
244459, truthful, baseline, 3.194, 3.125351
244476, truthful, baseline, 3.215607, 3.227188
244484, truthful, baseline, 3.212128, 3.200424
244492, truthful, baseline, 3.205811, 3.173645
244509, truthful, baseline, 3.187653, 3.146683
244517, truthful, baseline, 3.186218, 3.140198
244526, truthful, baseline, 3.184998, 3.145889
244542, truthful, baseline, 3.188309, 3.145493
244551, truthful, baseline, 3.191879, 3.14566
244559, truthful, baseline, 3.189285, 3.145844
244576, truthful, baseline, 3.186829, 3.146805
244584, truthful, baseline, 3.184708, 3.142609
244592, truthful, baseline, 3.182144, 3.146942
244609, truthful, baseline, 3.173782, 3.147141
244617, truthful, baseline, 3.168182, 3.147476
244626, truthful, baseline, 3.224472, 3.120483
244642, truthful, baseline, 3.094131, 3.252884
244651, truthful, baseline, 3.195023, 3.229919
244659, truthful, baseline, 3.081284, 3.233734
244676, truthful, baseline, 3.090424, 3.216827
244684, truthful, baseline, 3.054657, 3.209259
244692, truthful, baseline, 3.069244, 3.199051
244709, truthful, baseline, 3.090591, 3.187164
244717, truthful, baseline, 3.084244, 3.185898
244726, truthful, baseline, 3.077866, 3.167206
244742, truthful, baseline, 3.069351, 3.144119
244751, truthful, baseline, 3.073456, 3.140854
244759, truthful, baseline, 3.069656, 3.133652
244776, truthful, baseline, 3.069626, 3.117035
244784, truthful, baseline, 3.069595, 3.108109
244792, truthful, baseline, 3.069183, 3.108521
244809, truthful, baseline, 3.067444, 3.102539
244817, truthful, baseline, 3.004166, 3.127014
244826, truthful, baseline, 3.023972, 2.99649
244842, truthful, baseline, 3.06102, 3.02948
244851, truthful, baseline, 3.063965, 3.06459
244859, truthful, baseline, 2.98851, 3.032394
244876, truthful, baseline, 3.035233, 2.956726
244884, truthful, baseline, 3.010147, 2.974945
244892, truthful, baseline, 3.002518, 2.956665
244909, truthful, baseline, 2.986572, 2.957779
244917, truthful, baseline, 2.979385, 2.977188
244926, truthful, baseline, 2.986557, 2.963409
244942, truthful, baseline, 3.002777, 2.953094
244951, truthful, baseline, 3.017868, 2.957092
244959, truthful, baseline, 3.010208, 2.965164
244976, truthful, baseline, 3.010193, 2.962036
244984, truthful, baseline, 3.019714, 2.96698
244992, truthful, baseline, 3.010452, 2.967468
245009, truthful, baseline, 3.020065, 2.959579
245017, truthful, baseline, 3.019897, 2.961624
245026, truthful, baseline, 3.024429, 2.960358
245042, truthful, baseline, 3.032211, 2.960419
245051, truthful, baseline, 3.032181, 2.963593
245059, truthful, baseline, 3.032684, 2.961578
245076, truthful, baseline, 3.032593, 2.973953
245084, truthful, baseline, 3.054749, 2.974213
245092, truthful, baseline, 3.058289, 2.962891
245109, truthful, baseline, 3.027481, 3.030518
245117, truthful, baseline, 3.010422, 2.944595
245126, truthful, baseline, 3.083191, 3.033249
245142, truthful, baseline, 3.048386, 3.015976
245151, truthful, baseline, 3.21312, 3.042313
245159, truthful, baseline, 3.079544, 3.082626
245176, truthful, baseline, 3.078598, 3.065628
245184, truthful, baseline, 3.104324, 3.048615
245192, truthful, baseline, 3.078598, 3.052124
245209, truthful, baseline, 3.079224, 3.054321
245217, truthful, baseline, 3.07579, 3.056076
245226, truthful, baseline, 3.078873, 3.058014
245242, truthful, baseline, 3.078659, 3.058868
245251, truthful, baseline, 3.075546, 3.059952
245259, truthful, baseline, 3.07843, 3.06308
245276, truthful, baseline, 3.071732, 3.064346
245284, truthful, baseline, 3.071564, 3.062988
245292, truthful, baseline, 3.082153, 3.06311
245309, truthful, baseline, 3.068649, 3.063599
245317, truthful, baseline, 3.067261, 3.063354
245326, truthful, baseline, 3.066025, 3.06723
245342, truthful, baseline, 3.06514, 3.049377
245351, truthful, baseline, 2.958878, 3.039688
245359, truthful, baseline, 3.087479, 2.971954
245376, truthful, baseline, 3.080338, 2.962265
245384, truthful, baseline, 3.122543, 2.989624
245392, truthful, baseline, 3.080948, 2.962692
245409, truthful, baseline, 3.101379, 2.982651
245417, truthful, baseline, 3.101059, 2.992004
245426, truthful, baseline, 3.061401, 2.998901
245442, truthful, baseline, 3.067047, 2.99733
245451, truthful, baseline, 3.075912, 2.993057
245459, truthful, baseline, 3.054443, 2.988907
245476, truthful, baseline, 3.070755, 2.998566
245484, truthful, baseline, 3.066696, 2.993286
245492, truthful, baseline, 3.057922, 2.998734
245509, truthful, baseline, 3.067032, 2.999802
245517, truthful, baseline, 3.066132, 2.995789
245526, truthful, baseline, 3.051682, 3.002167
245542, truthful, baseline, 3.051682, 2.988419
245550, truthful, baseline, 3.05162, 2.985718
245559, truthful, baseline, 3.050888, 2.985504
245575, truthful, baseline, 3.048141, 2.988464
245584, truthful, baseline, 3.048172, 2.985382
245592, truthful, baseline, 3.047104, 2.975555
245609, truthful, baseline, 3.046783, 2.974487
245617, truthful, baseline, 3.047043, 2.972946
245625, truthful, baseline, 3.046967, 2.965988
245642, truthful, baseline, 3.042847, 2.964218
245650, truthful, baseline, 3.042938, 2.963028
245659, truthful, baseline, 3.042847, 2.963715
245675, truthful, baseline, 3.043274, 2.96489
245684, truthful, baseline, 3.043304, 2.964462
245692, truthful, baseline, 3.047211, 2.972076
245709, truthful, baseline, 3.054138, 2.966202
245717, truthful, baseline, 3.122513, 3.049194
245725, truthful, baseline, 3.016846, 2.990601
245742, truthful, baseline, 3.095718, 2.902908
245750, truthful, baseline, 3.117371, 3.033813
245759, truthful, baseline, 3.175461, 3.048096
245775, truthful, baseline, 3.144272, 3.02652
