Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
77495, lying, baseline, 3.866302, 3.862152
77504, lying, baseline, 3.905289, 3.696014
77520, lying, baseline, 3.876801, 3.800613
77529, lying, baseline, 3.84082, 3.749527
77537, lying, baseline, 3.870819, 3.71817
77554, lying, baseline, 3.955246, 3.702957
77562, lying, baseline, 3.885406, 3.714661
77570, lying, baseline, 3.952652, 3.628113
77587, lying, baseline, 3.993362, 3.815964
77595, lying, baseline, 4.020508, 3.84758
77604, lying, baseline, 4.131714, 3.779388
77620, lying, baseline, 4.138382, 3.796021
77629, lying, baseline, 4.045837, 3.759628
77637, lying, baseline, 4.003403, 3.740311
77654, lying, baseline, 3.969147, 3.621063
77662, lying, baseline, 3.922836, 3.628143
77670, lying, baseline, 3.889786, 3.56485
77687, lying, baseline, 3.938614, 3.764114
77695, lying, baseline, 3.912827, 3.82608
77704, lying, baseline, 3.939041, 3.776367
77720, lying, baseline, 3.924057, 3.721329
77729, lying, baseline, 3.959351, 3.724762
77737, lying, baseline, 3.96312, 3.708633
77754, lying, baseline, 4.023453, 3.760483
77762, lying, baseline, 3.901703, 3.73288
77770, lying, baseline, 4.012238, 3.734375
77787, lying, baseline, 3.837463, 3.784744
77795, lying, baseline, 3.803589, 3.682983
77803, lying, baseline, 3.839294, 3.919632
77820, lying, baseline, 3.950638, 3.8564
77828, lying, baseline, 3.911682, 3.862503
77837, lying, baseline, 3.825607, 3.708557
77853, lying, baseline, 3.778549, 3.555466
77862, lying, baseline, 3.797775, 3.595749
77870, lying, baseline, 3.88147, 3.700363
77887, lying, baseline, 3.848343, 3.779846
77895, lying, baseline, 3.934784, 3.656906
77903, lying, baseline, 4.007507, 3.603912
77920, lying, baseline, 3.936859, 3.561859
77928, lying, baseline, 3.790848, 3.619354
77937, lying, baseline, 3.785049, 3.568375
77953, lying, baseline, 3.753403, 3.622604
77962, lying, baseline, 3.75441, 3.598053
77970, lying, baseline, 3.754196, 3.631561
77987, lying, baseline, 3.787643, 3.622589
77995, lying, baseline, 3.789444, 3.440308
78003, lying, baseline, 3.803146, 3.484344
