Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
90276, truthful, baseline, 3.793915, 3.510483
90276, truthful, baseline, 3.793915, 3.510483
90284, truthful, baseline, 3.796417, 3.505966
90293, truthful, baseline, 3.797531, 3.510498
90309, truthful, baseline, 3.797668, 3.510635
90318, truthful, baseline, 3.795868, 3.506424
90326, truthful, baseline, 3.794098, 3.511063
90343, truthful, baseline, 3.797745, 3.510773
90351, truthful, baseline, 3.79776, 3.510773
90359, truthful, baseline, 3.797012, 3.510544
90376, truthful, baseline, 3.778442, 3.496826
90384, truthful, baseline, 3.763641, 3.496948
90393, truthful, baseline, 3.763489, 3.495789
90409, truthful, baseline, 3.751297, 3.492035
90418, truthful, baseline, 3.745941, 3.491745
90426, truthful, baseline, 3.746063, 3.491699
90442, truthful, baseline, 3.740799, 3.488525
90451, truthful, baseline, 3.740906, 3.489258
90459, truthful, baseline, 3.726135, 3.489044
90476, truthful, baseline, 3.74115, 3.487137
90484, truthful, baseline, 3.746567, 3.476624
90492, truthful, baseline, 3.741104, 3.476883
90509, truthful, baseline, 3.73587, 3.487183
90517, truthful, baseline, 3.729141, 3.494873
90526, truthful, baseline, 3.711349, 3.428192
90542, truthful, baseline, 3.661118, 3.327362
90551, truthful, baseline, 3.664124, 3.38887
90559, truthful, baseline, 3.654556, 3.385818
90567, truthful, baseline, 3.713486, 3.370239
90584, truthful, baseline, 3.58812, 3.430283
90592, truthful, baseline, 3.60173, 3.388901
90609, truthful, baseline, 3.59584, 3.391922
90617, truthful, baseline, 3.581879, 3.289673
90626, truthful, baseline, 3.595749, 3.378845
90642, truthful, baseline, 3.527313, 3.191101
90651, truthful, baseline, 3.507492, 3.326691
90659, truthful, baseline, 3.473495, 3.343628
90676, truthful, baseline, 3.547638, 3.302933
90684, truthful, baseline, 3.558289, 3.197006
90692, truthful, baseline, 3.530945, 3.263657
90709, truthful, baseline, 3.531296, 3.237579
90717, truthful, baseline, 3.504013, 3.196228
90726, truthful, baseline, 3.498703, 3.154831
90742, truthful, baseline, 3.470688, 3.155518
90751, truthful, baseline, 3.448853, 3.153717
90759, truthful, baseline, 3.45163, 3.152985
90776, truthful, baseline, 3.452194, 3.153
90784, truthful, baseline, 3.450027, 3.15448
90792, truthful, baseline, 3.436722, 3.153488
90809, truthful, baseline, 3.414963, 3.153473
90817, truthful, baseline, 3.39801, 3.153885
90834, truthful, baseline, 3.389984, 3.15361
90842, truthful, baseline, 3.389572, 3.151581
90851, truthful, baseline, 3.389618, 3.151993
90867, truthful, baseline, 3.389069, 3.13382
90876, truthful, baseline, 3.383698, 3.125992
90884, truthful, baseline, 3.383148, 3.112793
90901, truthful, baseline, 3.38028, 3.108139
90909, truthful, baseline, 3.380432, 3.107513
90917, truthful, baseline, 3.379898, 3.111649
90934, truthful, baseline, 3.378479, 3.089417
90942, truthful, baseline, 3.369064, 3.077911
90951, truthful, baseline, 3.367172, 3.089401
90967, truthful, baseline, 3.360764, 3.090042
90976, truthful, baseline, 3.340302, 3.090042
90984, truthful, baseline, 3.337509, 3.089539
91001, truthful, baseline, 3.336792, 3.090057
91009, truthful, baseline, 3.21373, 3.031052
91017, truthful, baseline, 3.227661, 3.031647
91034, truthful, baseline, 3.264633, 3.077744
91042, truthful, baseline, 3.27153, 3.158661
91051, truthful, baseline, 3.245148, 3.070435
91067, truthful, baseline, 3.20314, 3.083344
91076, truthful, baseline, 3.195984, 3.082794
91084, truthful, baseline, 3.193741, 3.083832
91101, truthful, baseline, 3.194016, 3.080551
91109, truthful, baseline, 3.196228, 3.078445
91117, truthful, baseline, 3.205719, 3.069229
91134, truthful, baseline, 3.193878, 3.069046
91142, truthful, baseline, 3.19165, 3.059677
91151, truthful, baseline, 3.166763, 3.053513
91167, truthful, baseline, 3.142792, 3.046829
91176, truthful, baseline, 3.1362, 3.046524
91184, truthful, baseline, 3.136444, 3.039017
91201, truthful, baseline, 3.119797, 3.024857
91209, truthful, baseline, 3.133179, 3.024643
91217, truthful, baseline, 3.146149, 2.902908
91234, truthful, baseline, 3.069885, 2.978775
91242, truthful, baseline, 3.033875, 3.005432
91251, truthful, baseline, 3.095184, 2.999741
91267, truthful, baseline, 3.066666, 2.96109
91276, truthful, baseline, 3.135345, 2.970627
91284, truthful, baseline, 3.102997, 2.95311
91301, truthful, baseline, 3.102921, 2.971542
91309, truthful, baseline, 3.089981, 2.997559
91317, truthful, baseline, 3.080444, 2.970352
91334, truthful, baseline, 3.061264, 2.970718
91342, truthful, baseline, 3.052109, 2.943375
91351, truthful, baseline, 3.05069, 2.952774
91367, truthful, baseline, 3.046921, 2.953323
91376, truthful, baseline, 3.049042, 2.952103
91384, truthful, baseline, 3.047485, 2.957489
91401, truthful, baseline, 3.050018, 2.960159
91409, truthful, baseline, 3.050201, 2.957458
91417, truthful, baseline, 3.049927, 2.964249
91434, truthful, baseline, 3.050385, 2.964539
91442, truthful, baseline, 3.050415, 2.967331
91451, truthful, baseline, 3.050812, 2.963913
91467, truthful, baseline, 3.09848, 3.02919
91476, truthful, baseline, 3.138885, 2.947739
91484, truthful, baseline, 3.049484, 3.058838
91501, truthful, baseline, 3.098709, 3.058304
91509, truthful, baseline, 3.095993, 3.049789
91526, truthful, baseline, 3.116989, 3.062195
91534, truthful, baseline, 3.105743, 2.979248
91542, truthful, baseline, 3.11644, 3.008698
91551, truthful, baseline, 3.10553, 2.979828
91567, truthful, baseline, 3.105103, 3.003296
91576, truthful, baseline, 3.094315, 3.02124
91584, truthful, baseline, 3.104828, 3.019974
91601, truthful, baseline, 3.12439, 3.020905
91609, truthful, baseline, 3.132797, 3.0168
91617, truthful, baseline, 3.124039, 3.021576
91634, truthful, baseline, 3.130722, 3.024261
91642, truthful, baseline, 3.132263, 3.04129
91651, truthful, baseline, 3.132217, 3.041611
91667, truthful, baseline, 3.137878, 3.025101
91676, truthful, baseline, 3.141968, 3.024811
91692, truthful, baseline, 3.143188, 3.022186
91701, truthful, baseline, 3.142838, 3.018692
91709, truthful, baseline, 3.149765, 3.019379
91717, truthful, baseline, 3.143143, 3.013931
91734, truthful, baseline, 3.129913, 2.931747
91742, truthful, baseline, 3.117035, 3.004272
91751, truthful, baseline, 3.110199, 2.986557
91767, truthful, baseline, 3.204926, 3.057526
91776, truthful, baseline, 3.145813, 3.033005
91784, truthful, baseline, 3.083527, 3.07515
91801, truthful, baseline, 3.114395, 3.03598
91809, truthful, baseline, 3.114197, 3.006912
91817, truthful, baseline, 3.114258, 3.035126
91834, truthful, baseline, 3.115112, 3.029129
91842, truthful, baseline, 3.119659, 3.009705
91851, truthful, baseline, 3.114746, 2.994583
91867, truthful, baseline, 3.115082, 3.029144
91876, truthful, baseline, 3.119171, 3.031891
91884, truthful, baseline, 3.114883, 3.034668
91901, truthful, baseline, 3.123245, 3.034515
91909, truthful, baseline, 3.123672, 3.034164
91917, truthful, baseline, 3.136353, 3.035049
91934, truthful, baseline, 3.153793, 3.037903
91942, truthful, baseline, 3.153412, 3.037659
91951, truthful, baseline, 3.153336, 3.039612
91967, truthful, baseline, 3.156677, 3.037811
91975, truthful, baseline, 3.157028, 3.037674
91984, truthful, baseline, 3.161453, 3.039978
92000, truthful, baseline, 3.156937, 3.037842
92009, truthful, baseline, 3.157257, 3.03772
92017, truthful, baseline, 3.157303, 3.037491
92034, truthful, baseline, 3.157104, 3.020752
92042, truthful, baseline, 3.155548, 3.020737
92050, truthful, baseline, 3.131744, 2.996613
92067, truthful, baseline, 3.246521, 3.07074
92075, truthful, baseline, 3.135818, 3.04097
92084, truthful, baseline, 3.177185, 3.087631
92100, truthful, baseline, 3.139175, 3.03714
92109, truthful, baseline, 3.143906, 3.024155
92117, truthful, baseline, 3.174576, 3.037262
92134, truthful, baseline, 3.205994, 3.05275
92142, truthful, baseline, 3.207352, 3.055496
92150, truthful, baseline, 3.206772, 3.052597
92167, truthful, baseline, 3.207184, 3.055237
92175, truthful, baseline, 3.206482, 3.055725
92184, truthful, baseline, 3.207306, 3.055603
92200, truthful, baseline, 3.220688, 3.055618
92209, truthful, baseline, 3.208298, 3.055725
92217, truthful, baseline, 3.244537, 3.069214
92234, truthful, baseline, 3.252747, 3.068787
92242, truthful, baseline, 3.253006, 3.055298
92250, truthful, baseline, 3.252655, 3.05545
92267, truthful, baseline, 3.251801, 3.061203
92275, truthful, baseline, 3.266098, 3.068542
92284, truthful, baseline, 3.266022, 3.06665
92300, truthful, baseline, 3.214951, 3.021515
92309, truthful, baseline, 3.161438, 2.985733
92317, truthful, baseline, 3.219269, 3.016998
92334, truthful, baseline, 3.267517, 2.970001
92342, truthful, baseline, 3.264191, 2.985001
92350, truthful, baseline, 3.213959, 2.998108
92367, truthful, baseline, 3.216827, 3.010208
92375, truthful, baseline, 3.224411, 3.018219
92384, truthful, baseline, 3.214325, 3.026123
92400, truthful, baseline, 3.214661, 3.010803
92409, truthful, baseline, 3.204636, 3.005432
