Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
332334, 79087, truthful, baseline, 33.57437, 2.075439, -34.1429, -0.05133057, -0.410614, 0.9103546, 2.70903, 0.5703599, -31.65427, -1.591232, -32.52817, 0.08015442, -0.4068909, 0.9099426, 3.080887, 0.8421374
332334, 79087, truthful, baseline, 33.57437, 2.075439, -34.1429, -0.05133057, -0.410614, 0.9103546, 2.70903, 0.5703599, -31.65427, -1.591232, -32.52817, 0.08015442, -0.4068909, 0.9099426, 3.080887, 0.8421374
332342, 79088, truthful, baseline, 33.57524, 2.075439, -34.1429, -0.05067444, -0.4105988, 0.9104004, 2.709137, 0.5757188, -31.65193, -1.591232, -32.52817, 0.08244324, -0.4062653, 0.9100189, 3.093536, 0.8295696
332350, 79089, truthful, baseline, 33.57599, 2.080627, -34.1429, -0.05021667, -0.411499, 0.9100189, 2.709229, 0.5757188, -31.65067, -1.591125, -32.52817, 0.08222961, -0.4053802, 0.9104309, 3.096664, 0.8295696
332367, 79091, truthful, baseline, 33.57933, 2.083862, -34.14087, -0.05065918, -0.4112244, 0.9101105, 2.712982, 0.5429202, -31.64529, -1.580368, -32.52872, 0.08169556, -0.4071808, 0.909668, 3.096558, 0.8288411
332375, 79092, truthful, baseline, 33.58154, 2.083862, -34.13979, -0.05093384, -0.4113007, 0.9100647, 2.713165, 0.5549095, -31.64233, -1.58017, -32.52885, 0.08197021, -0.4072113, 0.9096375, 3.09642, 0.8247284
332384, 79093, truthful, baseline, 33.58485, 2.083862, -34.13979, -0.05062866, -0.4112854, 0.9100952, 2.71315, 0.5549095, -31.64232, -1.58017, -32.52885, 0.08261108, -0.4069977, 0.909668, 3.103516, 0.8247284
332400, 79095, truthful, baseline, 33.58702, 2.083862, -34.13979, -0.05052185, -0.4104004, 0.9104919, 2.713165, 0.5507489, -31.64011, -1.58017, -32.52885, 0.08164978, -0.4069519, 0.9097748, 3.103424, 0.8429464
332409, 79096, truthful, baseline, 33.58774, 2.083862, -34.13979, -0.04971313, -0.4103851, 0.9105377, 2.722321, 0.5687165, -31.64006, -1.58017, -32.52885, 0.08166504, -0.4069519, 0.9097748, 3.106369, 0.8262699
332417, 79097, truthful, baseline, 33.58809, 2.083862, -34.13979, -0.04962158, -0.4104156, 0.9105377, 2.722412, 0.5687165, -31.63893, -1.58017, -32.52885, 0.08232117, -0.4069824, 0.9096985, 3.103363, 0.8262699
332434, 79099, truthful, baseline, 33.59601, 2.08255, -34.13979, -0.04794312, -0.4107666, 0.9104767, 2.712921, 0.5709966, -31.63684, -1.58017, -32.53175, 0.08203125, -0.408493, 0.9090576, 3.076248, 0.8333939
332442, 79100, truthful, baseline, 33.60156, 2.07576, -34.14148, -0.04902649, -0.4095154, 0.910965, 2.712738, 0.5918114, -31.63684, -1.593948, -32.53664, 0.08233643, -0.4063263, 0.9100037, 3.075638, 0.844584
332450, 79101, truthful, baseline, 33.60342, 2.071548, -34.14307, -0.04927063, -0.4091187, 0.9111328, 2.712845, 0.5918114, -31.63643, -1.604813, -32.54128, 0.08222961, -0.4046326, 0.9107666, 3.075363, 0.844584
