Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
291451, truthful, baseline, 3.092804, 3.66156
291451, truthful, baseline, 3.092804, 3.66156
291459, truthful, baseline, 3.093018, 3.662323
291476, truthful, baseline, 3.088959, 3.661865
291484, truthful, baseline, 3.089783, 3.651718
291492, truthful, baseline, 3.088715, 3.651794
291509, truthful, baseline, 3.088974, 3.651779
291517, truthful, baseline, 3.128815, 3.537979
291526, truthful, baseline, 3.078659, 3.584473
291542, truthful, baseline, 3.143448, 3.599701
291551, truthful, baseline, 3.116806, 3.603424
291559, truthful, baseline, 3.122818, 3.584595
291576, truthful, baseline, 3.129272, 3.584808
291584, truthful, baseline, 3.128952, 3.603699
291592, truthful, baseline, 3.133347, 3.590942
291609, truthful, baseline, 3.133087, 3.587616
291617, truthful, baseline, 3.128693, 3.57843
291626, truthful, baseline, 3.133163, 3.583755
291642, truthful, baseline, 3.142105, 3.592667
291651, truthful, baseline, 3.146973, 3.596664
291659, truthful, baseline, 3.15036, 3.598541
291676, truthful, baseline, 3.153763, 3.60025
291684, truthful, baseline, 3.169449, 3.600235
291692, truthful, baseline, 3.16925, 3.613983
291709, truthful, baseline, 3.186432, 3.613251
291717, truthful, baseline, 3.193405, 3.63208
291726, truthful, baseline, 3.193771, 3.631927
291742, truthful, baseline, 3.209488, 3.637161
291751, truthful, baseline, 3.209488, 3.640991
291759, truthful, baseline, 3.209473, 3.642227
291767, truthful, baseline, 3.219177, 3.649796
291784, truthful, baseline, 3.225845, 3.658615
291792, truthful, baseline, 3.232361, 3.66658
291809, truthful, baseline, 3.232361, 3.676178
291817, truthful, baseline, 3.24939, 3.677429
291826, truthful, baseline, 3.249466, 3.693802
291842, truthful, baseline, 3.254211, 3.705292
291851, truthful, baseline, 3.253876, 3.705826
291859, truthful, baseline, 3.254211, 3.713409
291876, truthful, baseline, 3.255676, 3.737778
291884, truthful, baseline, 3.255981, 3.720993
291901, truthful, baseline, 3.25563, 3.722717
291909, truthful, baseline, 3.257797, 3.723083
291917, truthful, baseline, 3.257416, 3.723419
291934, truthful, baseline, 3.257919, 3.721313
291942, truthful, baseline, 3.257141, 3.721695
291951, truthful, baseline, 3.255844, 3.719482
291967, truthful, baseline, 3.255722, 3.719208
291976, truthful, baseline, 3.255524, 3.719757
291984, truthful, baseline, 3.25177, 3.690414
292001, truthful, baseline, 3.238937, 3.679535
292009, truthful, baseline, 3.236511, 3.666458
292017, truthful, baseline, 3.236496, 3.662537
292034, truthful, baseline, 3.229568, 3.663467
292042, truthful, baseline, 3.228333, 3.662277
292051, truthful, baseline, 3.164719, 3.627869
292067, truthful, baseline, 3.114288, 3.664673
292076, truthful, baseline, 2.997589, 3.617538
292092, truthful, baseline, 3.184464, 3.625595
292101, truthful, baseline, 3.139481, 3.576187
292109, truthful, baseline, 3.102676, 3.567398
292117, truthful, baseline, 3.074814, 3.576202
292134, truthful, baseline, 3.14006, 3.558975
292142, truthful, baseline, 3.108078, 3.566025
292151, truthful, baseline, 3.100052, 3.556763
292167, truthful, baseline, 3.139771, 3.556702
292176, truthful, baseline, 3.144974, 3.564896
292184, truthful, baseline, 3.150284, 3.573166
292201, truthful, baseline, 3.15004, 3.572891
292209, truthful, baseline, 3.144897, 3.572571
292226, truthful, baseline, 3.135681, 3.578384
292234, truthful, baseline, 3.150177, 3.579315
292242, truthful, baseline, 3.150497, 3.579269
292251, truthful, baseline, 3.136642, 3.583878
292267, truthful, baseline, 3.112457, 3.592712
292276, truthful, baseline, 3.11261, 3.592941
292284, truthful, baseline, 3.112549, 3.620209
292301, truthful, baseline, 3.104401, 3.593704
292309, truthful, baseline, 3.101135, 3.598999
292317, truthful, baseline, 3.104279, 3.599121
292334, truthful, baseline, 3.098419, 3.600037
292342, truthful, baseline, 3.101593, 3.628113
292351, truthful, baseline, 3.10466, 3.619965
292367, truthful, baseline, 3.101807, 3.620041
292376, truthful, baseline, 3.086487, 3.620071
292384, truthful, baseline, 3.088623, 3.6203
292401, truthful, baseline, 3.104889, 3.618607
292409, truthful, baseline, 3.101761, 3.610596
292417, truthful, baseline, 3.101822, 3.610611
292434, truthful, baseline, 3.088226, 3.618607
292442, truthful, baseline, 3.086288, 3.619003
292451, truthful, baseline, 3.087967, 3.620697
292467, truthful, baseline, 3.088196, 3.637451
292476, truthful, baseline, 3.086441, 3.637756
292484, truthful, baseline, 3.08812, 3.638153
292501, truthful, baseline, 3.114227, 3.65126
292509, truthful, baseline, 3.115158, 3.651398
292517, truthful, baseline, 3.125031, 3.65567
292534, truthful, baseline, 3.125061, 3.65921
292542, truthful, baseline, 3.130905, 3.667969
292551, truthful, baseline, 3.135742, 3.672684
292567, truthful, baseline, 3.142654, 3.672638
292576, truthful, baseline, 3.135941, 3.672775
292584, truthful, baseline, 3.130508, 3.673737
292601, truthful, baseline, 3.130386, 3.67366
292609, truthful, baseline, 3.122345, 3.676773
292617, truthful, baseline, 3.122086, 3.67662
292634, truthful, baseline, 3.118484, 3.676376
292642, truthful, baseline, 3.106537, 3.683273
292651, truthful, baseline, 3.106583, 3.68306
292667, truthful, baseline, 3.118881, 3.69725
292676, truthful, baseline, 3.116562, 3.697632
292684, truthful, baseline, 3.119141, 3.697601
292701, truthful, baseline, 3.118896, 3.697495
292709, truthful, baseline, 3.122711, 3.697189
292717, truthful, baseline, 3.130844, 3.697052
292734, truthful, baseline, 3.147614, 3.696716
292742, truthful, baseline, 3.166702, 3.714111
292751, truthful, baseline, 3.220764, 3.759186
292767, truthful, baseline, 3.137711, 3.168762
292776, truthful, baseline, 2.991653, 2.712311
292792, truthful, baseline, 2.327179, -1
292801, truthful, baseline, 3.445114, -1
292809, truthful, baseline, 3.484375, -1
292825, truthful, baseline, -1, -1
292834, truthful, baseline, -1, -1
292842, truthful, baseline, -1, -1
292859, truthful, baseline, -1, -1
292867, truthful, baseline, -1, -1
292875, truthful, baseline, -1, -1
292892, truthful, baseline, -1, -1
292900, truthful, baseline, -1, -1
292909, truthful, baseline, -1, -1
292917, truthful, baseline, -1, -1
292934, truthful, baseline, -1, -1
292942, truthful, baseline, -1, -1
292950, truthful, baseline, -1, -1
292967, truthful, baseline, -1, -1
292975, truthful, baseline, -1, -1
292984, truthful, baseline, 3.337845, -1
293000, truthful, baseline, 3.460648, -1
293009, truthful, baseline, 3.431625, -1
293017, truthful, baseline, 3.364578, 3.616898
293034, truthful, baseline, 3.333649, 3.586212
293042, truthful, baseline, 3.238678, 3.484711
293050, truthful, baseline, 3.213867, 3.49231
293067, truthful, baseline, 3.316986, 3.58046
293075, truthful, baseline, 3.295853, 3.52597
293084, truthful, baseline, 3.334335, 3.418488
293100, truthful, baseline, 3.366867, 3.439316
293109, truthful, baseline, 3.215439, 3.478882
293117, truthful, baseline, 3.227814, 3.426376
293134, truthful, baseline, 3.27446, 3.434952
293142, truthful, baseline, 3.225174, 3.451965
293150, truthful, baseline, 3.225571, 3.458282
293167, truthful, baseline, 3.231735, 3.424866
293175, truthful, baseline, 3.237259, 3.376709
293184, truthful, baseline, 3.259659, 3.513474
293200, truthful, baseline, 3.28566, 3.509674
293209, truthful, baseline, 3.282562, 3.529465
293217, truthful, baseline, 3.273514, 3.501572
293234, truthful, baseline, 3.285904, 3.415558
293242, truthful, baseline, 3.289841, 3.520645
293250, truthful, baseline, 3.292496, 3.510315
293267, truthful, baseline, 3.294769, 3.460495
293275, truthful, baseline, 3.304474, 3.45282
293284, truthful, baseline, 3.31572, 3.361481
293300, truthful, baseline, 3.38269, 3.478302
293309, truthful, baseline, 3.280014, 3.456924
293317, truthful, baseline, 3.274918, 3.44722
293334, truthful, baseline, 3.292908, 3.374161
293342, truthful, baseline, 3.321594, 3.432709
293350, truthful, baseline, 3.294128, 3.416779
293367, truthful, baseline, 3.332275, 3.44426
293375, truthful, baseline, 3.240173, 3.321289
293384, truthful, baseline, 3.2397, 3.33783
293400, truthful, baseline, 3.239594, 3.318665
293409, truthful, baseline, 3.240799, 3.34111
293417, truthful, baseline, 3.249374, 3.362473
293434, truthful, baseline, 3.240143, 3.361664
293442, truthful, baseline, 3.239883, 3.360382
293450, truthful, baseline, 3.247849, 3.358215
293467, truthful, baseline, 3.227432, 3.359451
293475, truthful, baseline, 3.192307, 3.359024
293484, truthful, baseline, 3.128082, 3.358032
293500, truthful, baseline, 3.190735, 3.356583
293509, truthful, baseline, 3.165009, 3.352249
293517, truthful, baseline, 3.120773, 3.3479
293534, truthful, baseline, 3.148468, 3.347092
293542, truthful, baseline, 3.064041, 3.243332
293550, truthful, baseline, 3.115082, 3.250168
293567, truthful, baseline, 3.02121, 3.325226
293575, truthful, baseline, 3.188721, 3.212952
293584, truthful, baseline, 3.074783, 3.141525
293600, truthful, baseline, 3.104019, 3.265152
293609, truthful, baseline, 3.119125, 3.226898
293617, truthful, baseline, 3.150558, 3.171005
293634, truthful, baseline, 3.115524, 3.205078
293642, truthful, baseline, 3.095596, 3.211563
293650, truthful, baseline, 3.089691, 3.231216
293667, truthful, baseline, 3.088211, 3.232483
293675, truthful, baseline, 3.092621, 3.226288
293684, truthful, baseline, 3.111816, 3.218414
293700, truthful, baseline, 3.090546, 3.207642
293709, truthful, baseline, 3.094467, 3.196136
293717, truthful, baseline, 3.076599, 3.207138
293734, truthful, baseline, 3.091461, 3.210205
293742, truthful, baseline, 3.090973, 3.209442
293750, truthful, baseline, 3.090881, 3.208054
293767, truthful, baseline, 3.078369, 3.208099
293775, truthful, baseline, 3.078247, 3.207825
293784, truthful, baseline, 3.077682, 3.135422
293800, truthful, baseline, 3.0672, 3.190521
293809, truthful, baseline, 3.06131, 3.177216
293817, truthful, baseline, 3.054993, 3.162918
293834, truthful, baseline, 3.053909, 3.163055
293842, truthful, baseline, 3.048798, 3.177261
293850, truthful, baseline, 3.040833, 3.196854
293867, truthful, baseline, 3.036469, 3.222656
293875, truthful, baseline, 3.034042, 3.216156
293884, truthful, baseline, 3.027634, 3.22229
293900, truthful, baseline, 2.934616, 3.222214
293909, truthful, baseline, 2.935059, 3.18483
293917, truthful, baseline, 2.947861, 3.225372
293934, truthful, baseline, 2.967163, 3.193558
293942, truthful, baseline, 2.961807, 3.150879
293950, truthful, baseline, 2.952942, 3.161484
293967, truthful, baseline, 2.965775, 3.108429
293975, truthful, baseline, 2.964264, 3.134827
293984, truthful, baseline, 2.966339, 3.15271
294000, truthful, baseline, 2.967163, 3.127029
294009, truthful, baseline, 2.969803, 3.116592
294017, truthful, baseline, 2.974258, 3.125305
294034, truthful, baseline, 2.979279, 3.10498
294042, truthful, baseline, 2.981079, 3.123627
294050, truthful, baseline, 2.981613, 3.038834
294067, truthful, baseline, 3.038849, 3.062927
294075, truthful, baseline, 2.995743, 3.20079
294084, truthful, baseline, 2.876038, 3.289673
294100, truthful, baseline, 2.905655, 3.142105
294109, truthful, baseline, 2.97287, 3.186417
294117, truthful, baseline, 2.929352, 3.203857
294134, truthful, baseline, 2.954483, 3.251526
294142, truthful, baseline, 2.907059, 3.25531
294150, truthful, baseline, 2.918869, 3.222137
294167, truthful, baseline, 2.865723, 3.172501
294175, truthful, baseline, 3.027496, 3.217514
294183, truthful, baseline, 3.021118, 3.177719
294200, truthful, baseline, 3.007614, 3.190857
294208, truthful, baseline, 3.014755, 3.201416
294217, truthful, baseline, 3.007614, 3.171753
294233, truthful, baseline, 2.997162, 3.166809
294242, truthful, baseline, 2.989044, 3.274567
294250, truthful, baseline, 2.962433, 3.168381
294267, truthful, baseline, 2.981628, 3.203979
294275, truthful, baseline, 2.914749, 3.092209
294283, truthful, baseline, 2.921707, 3.185547
294300, truthful, baseline, 3.016342, 3.169815
294308, truthful, baseline, 3.08432, 3.227905
294317, truthful, baseline, 3.032684, 3.348892
294333, truthful, baseline, 3.079483, 3.4245
294342, truthful, baseline, 2.91629, 3.360306
294350, truthful, baseline, 3.027252, 3.266388
294367, truthful, baseline, 3.044647, 3.371857
294375, truthful, baseline, 3.099686, 3.456253
294383, truthful, baseline, 3.130051, 3.503525
294400, truthful, baseline, 3.055573, 3.435516
