Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
427226, 202998, truthful, baseline, 32.52988, 7.001129, -31.68462, -0.03071594, -0.2723694, 0.9616852, 2.787445, 0.9789204, -33.72549, 8.519058, -31.48798, -0.0027771, -0.2219391, 0.9750519, 3.091248, 0.923871
427235, 202999, truthful, baseline, 32.53104, 7.000717, -31.68393, -0.03059387, -0.2727356, 0.9615936, 2.78746, 0.9789204, -33.72549, 8.519058, -31.48824, -0.002822876, -0.2215729, 0.9751282, 3.09761, 0.923871
427251, 203001, truthful, baseline, 32.53206, 7.000641, -31.68182, -0.03044128, -0.2741241, 0.9611969, 2.746399, 1, -33.72539, 8.519058, -31.48862, -0.003479004, -0.2193451, 0.9756317, 3.107727, 1
427260, 203002, truthful, baseline, 32.53229, 7.000641, -31.68073, -0.03077698, -0.2745361, 0.9610748, 2.744537, 0.998855, -33.72539, 8.519058, -31.48862, -0.003570557, -0.218399, 0.9758453, 3.090683, 0.9498723
427268, 203003, truthful, baseline, 32.53229, 7.000641, -31.68001, -0.0304718, -0.2745667, 0.9610748, 2.746841, 0.998855, -33.72601, 8.519058, -31.48862, -0.002685547, -0.2177124, 0.9759979, 3.1073, 0.9498723
427276, 203004, truthful, baseline, 32.53229, 7.000641, -31.67966, -0.03079224, -0.2747192, 0.9610138, 2.746918, 0.9914691, -33.72661, 8.519058, -31.48824, -0.002609253, -0.217392, 0.9760742, 3.107605, 0.9302984
427293, 203006, truthful, baseline, 32.53229, 7.0009, -31.67889, -0.03158569, -0.274231, 0.9611359, 2.746735, 0.9990654, -33.72675, 8.522583, -31.48665, -0.002578735, -0.2199249, 0.9755096, 3.108002, 0.9175707
427301, 203007, truthful, baseline, 32.53206, 7.001129, -31.67767, -0.03166199, -0.2743073, 0.9611053, 2.74678, 0.9990654, -33.72704, 8.526184, -31.48665, -0.002532959, -0.2194672, 0.9756012, 3.107819, 0.9175707
427310, 203008, truthful, baseline, 32.53206, 7.001129, -31.67703, -0.03164673, -0.2747345, 0.9609833, 2.744385, 0.9817702, -33.72704, 8.528091, -31.48665, -0.002929688, -0.2197266, 0.9755554, 3.106934, 0.9149141
427326, 203010, truthful, baseline, 32.53145, 7.00885, -31.6745, -0.03155518, -0.2759857, 0.9606323, 2.7444, 0.963338, -33.72704, 8.533432, -31.48387, -0.003341675, -0.2177887, 0.9759827, 3.107178, 0.9261915
427335, 203011, truthful, baseline, 32.52971, 7.011642, -31.67349, -0.03128052, -0.2764587, 0.9605103, 2.744537, 0.963338, -33.72678, 8.535706, -31.48332, -0.003204346, -0.2181396, 0.9759064, 3.121078, 0.9261915
427351, 203013, truthful, baseline, 32.52829, 7.017181, -31.66971, -0.03106689, -0.2774048, 0.9602356, 2.744705, 1, -33.72662, 8.539124, -31.48271, -0.002822876, -0.2186432, 0.9757996, 3.138275, 1
427360, 203014, truthful, baseline, 32.52765, 7.019272, -31.66945, -0.03157043, -0.2785034, 0.9598999, 2.744629, 0.9847699, -33.72652, 8.539276, -31.48271, -0.002929688, -0.2186737, 0.9757843, 3.121307, 0.948485
427368, 203015, truthful, baseline, 32.52748, 7.019653, -31.66806, -0.03155518, -0.2786255, 0.9598694, 2.744415, 0.9847699, -33.72675, 8.541473, -31.48271, -0.002944946, -0.2189636, 0.9757233, 3.1091, 0.948485
427376, 203016, truthful, baseline, 32.52737, 7.020203, -31.66667, -0.03091431, -0.278717, 0.9598694, 2.744675, 0.9733245, -33.72678, 8.541473, -31.48271, -0.002944946, -0.2189789, 0.9757233, 3.108948, 0.9591953
