Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1220068, 31211, truthful, baseline, 32.16133, 4.07341, -31.42599, -0.05419922, -0.2073669, 0.9767456, 3.583694, 0.8537749, -30.87878, 6.681946, -28.42628, -0.04849243, -0.2059479, 0.977356, 4.482346, 0.9187
1220076, 31212, truthful, baseline, 32.16557, 4.076599, -31.43074, -0.05973816, -0.2081146, 0.9762726, 3.562714, 0.8537749, -30.87878, 6.681946, -28.42661, -0.04832458, -0.205658, 0.977417, 4.482651, 0.9187
1220093, 31214, truthful, baseline, 32.17184, 4.084656, -31.41428, -0.06263733, -0.2093811, 0.9758148, 3.514618, 0.8789707, -30.87878, 6.681946, -28.42883, -0.04849243, -0.2050018, 0.9775543, 4.485413, 0.9056185
1220101, 31215, truthful, baseline, 32.17302, 4.100739, -31.43781, -0.06112671, -0.2125702, 0.9752197, 3.64386, 0.8429135, -30.87878, 6.681946, -28.42914, -0.04850769, -0.204895, 0.9775696, 4.488541, 0.9090205
1220109, 31216, truthful, baseline, 32.17447, 4.120743, -31.4838, -0.06138611, -0.208725, 0.9760437, 3.533829, 0.8429135, -30.87671, 6.681946, -28.42918, -0.04997253, -0.2048492, 0.9775085, 4.482986, 0.9090205
1220126, 31218, truthful, baseline, 32.19127, 4.176331, -31.67604, -0.05892944, -0.2049103, 0.9769897, 3.562485, 0.8656977, -30.85724, 6.660736, -28.44763, -0.04776001, -0.2006378, 0.9784851, 4.48999, 0.9069811
1220134, 31219, truthful, baseline, 32.23773, 4.173523, -31.68997, -0.04994202, -0.207901, 0.9768677, 3.580246, 0.856768, -30.79863, 6.661133, -28.44304, -0.04115295, -0.2024384, 0.9784241, 4.417404, 0.8805082
1220143, 31220, truthful, baseline, 32.45367, 4.261139, -32.09892, -0.009048462, -0.1945038, 0.9808502, 3.566147, 0.856768, -30.60551, 6.809952, -28.94122, -0.007659912, -0.2110138, 0.9774475, 4.438416, 0.8805082
1220159, 31222, truthful, baseline, 32.85638, 4.207062, -31.70506, 0.06288147, -0.1746979, 0.982605, 3.618164, 0.8281251, -30.20274, 7.129333, -30.05479, 0.07765198, -0.1963043, 0.9774475, 4.45694, 0.8440951
1220168, 31223, truthful, baseline, 32.94333, 4.231995, -31.72061, 0.07775879, -0.1677399, 0.9827576, 3.636429, 0.7316697, -30.07262, 7.128616, -29.91531, 0.09291077, -0.1798706, 0.9792786, 4.459732, 0.871814
1220176, 31224, truthful, baseline, 32.94342, 4.236771, -31.73581, 0.07058716, -0.166275, 0.9835358, 3.488144, 0.7316697, -30.09578, 7.098145, -29.8716, 0.09049988, -0.1834869, 0.9788361, 4.427139, 0.871814
1220193, 31226, truthful, baseline, 32.9384, 4.249008, -31.74655, 0.06555176, -0.1706696, 0.983139, 3.549988, 0.6877199, -30.09843, 7.209213, -30.41344, 0.08674622, -0.1873016, 0.9784546, 4.442352, 0.8118097
1220201, 31227, truthful, baseline, 32.93849, 4.254532, -31.76906, 0.0647583, -0.1678467, 0.9836731, 3.507629, 0.6658794, -30.13496, 7.180527, -30.44818, 0.088974, -0.1876068, 0.9781952, 4.437988, 0.8349684
1220209, 31228, truthful, baseline, 32.9366, 4.251083, -31.77585, 0.06661987, -0.1655731, 0.9839325, 3.524582, 0.6658794, -30.13841, 7.160812, -30.44101, 0.0874176, -0.1852264, 0.9787903, 4.37352, 0.8349684
1220226, 31230, truthful, baseline, 32.94489, 4.222153, -31.77425, 0.06710815, -0.1674347, 0.9835815, 3.600815, 0.6847146, -30.10538, 7.317047, -31.13025, 0.08251953, -0.1974335, 0.9768219, 4.391678, 0.8019454
1220234, 31231, truthful, baseline, 32.94885, 4.206055, -31.76866, 0.06652832, -0.1701965, 0.9831543, 3.607132, 0.6888195, -30.0985, 7.34343, -31.29196, 0.08036804, -0.1936493, 0.9777679, 4.36554, 0.8372399
1220243, 31232, truthful, baseline, 32.95148, 4.197723, -31.76939, 0.07183838, -0.1674957, 0.9832458, 3.586823, 0.6888195, -30.09921, 7.314911, -31.23595, 0.07650757, -0.1969299, 0.977417, 4.325333, 0.8372399
1220259, 31234, truthful, baseline, 32.95374, 4.196793, -31.77275, 0.07122803, -0.1670685, 0.9833527, 3.620392, 0.6970477, -30.09877, 7.305954, -31.24915, 0.07827759, -0.1965942, 0.9773407, 4.286423, 0.8322459
1220268, 31235, truthful, baseline, 32.95625, 4.194199, -31.77397, 0.07038879, -0.1672211, 0.9833984, 3.603516, 0.7331454, -30.10222, 7.290298, -31.20415, 0.07737732, -0.1943512, 0.9778595, 4.272934, 0.8573588
1220276, 31236, truthful, baseline, 32.95879, 4.191605, -31.77518, 0.06956482, -0.166153, 0.9836273, 3.586533, 0.7331454, -30.0977, 7.31192, -31.28333, 0.08000183, -0.1986847, 0.9767761, 4.271973, 0.8573588
