Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1342966, 45962, lying, baseline, 32.38142, 5.539474, -32.53224, 0.01420593, -0.1413269, 0.9898529, 3.007568, 1, -30.87465, 8.291016, -29.93456, 0.03587341, -0.1725159, 0.9843445, 3.66478, 1
1342966, 45962, lying, baseline, 32.38142, 5.539474, -32.53224, 0.01420593, -0.1413269, 0.9898529, 3.007568, 1, -30.87465, 8.291016, -29.93456, 0.03587341, -0.1725159, 0.9843445, 3.66478, 1
1342974, 45963, lying, baseline, 32.38365, 5.547958, -32.56789, 0.01412964, -0.1413727, 0.9898529, 3.013321, 1, -30.82091, 7.991577, -28.60713, 0.0256958, -0.1715546, 0.9848328, 3.719009, 1
1342983, 45964, lying, baseline, 32.3855, 5.55365, -32.57199, 0.01394653, -0.1421204, 0.9897461, 3.022614, 1, -30.82021, 7.990494, -28.59216, 0.02557373, -0.1708679, 0.9849548, 3.732437, 1
1342991, 45965, lying, baseline, 32.3855, 5.55368, -32.576, 0.01399231, -0.1414642, 0.9898376, 3.012802, 1, -30.82021, 7.988297, -28.58665, 0.02514648, -0.1689606, 0.9852905, 3.770432, 1
1343008, 45967, lying, baseline, 32.3855, 5.577332, -32.63145, 0.01473999, -0.1433105, 0.989563, 3.021179, 1, -30.82021, 7.986893, -28.5793, 0.02481079, -0.1680145, 0.9854584, 3.787033, 1
1343016, 45968, lying, baseline, 32.3855, 5.579819, -32.64621, 0.01460266, -0.1431885, 0.9895782, 3.020905, 1, -30.82021, 7.986893, -28.57378, 0.0247345, -0.1671753, 0.985611, 3.799484, 1
1343024, 45969, lying, baseline, 32.3855, 5.582489, -32.64645, 0.01451111, -0.1436157, 0.9895172, 3.03923, 1, -30.82021, 7.984589, -28.55289, 0.02464294, -0.1670532, 0.9856262, 3.807709, 1
1343041, 45971, lying, baseline, 32.3855, 5.582489, -32.64645, 0.01448059, -0.1435089, 0.9895325, 3.043137, 1, -30.82091, 7.95903, -28.38972, 0.02453613, -0.1680908, 0.9854584, 3.825272, 1
1343049, 45972, lying, baseline, 32.38326, 5.582489, -32.64645, 0.01416016, -0.1435699, 0.9895325, 3.05864, 1, -30.82318, 7.950668, -28.35635, 0.02429199, -0.1677399, 0.9855194, 3.85321, 1
