Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
2910673, truthful, baseline, 3.732758, 3.893951
2910681, truthful, baseline, 3.819321, 3.838943
2910698, truthful, baseline, 3.788269, 3.79364
2910706, truthful, baseline, 3.4617, 3.863342
2910723, truthful, baseline, 4.267654, -1
2910731, truthful, baseline, -1, -1
2910739, truthful, baseline, -1, -1
2910756, truthful, baseline, -1, -1
2910764, truthful, baseline, -1, -1
2910773, truthful, baseline, 3.83696, -1
2910789, truthful, baseline, -1, -1
2910798, truthful, baseline, -1, -1
2910806, truthful, baseline, -1, -1
2910823, truthful, baseline, -1, -1
2910831, truthful, baseline, 3.542877, 3.654007
2910839, truthful, baseline, 3.601303, 3.654861
2910856, truthful, baseline, 3.707718, 3.729172
2910864, truthful, baseline, 3.621643, 3.676941
2910873, truthful, baseline, 3.726227, 3.698563
2910889, truthful, baseline, 3.464371, 3.743881
2910898, truthful, baseline, 3.740051, 3.730988
2910906, truthful, baseline, 3.614471, 3.717209
2910922, truthful, baseline, 3.565231, 3.763702
2910931, truthful, baseline, 3.583542, 3.791519
2910939, truthful, baseline, 3.599762, 3.766113
2910947, truthful, baseline, 3.640579, 3.809402
2910964, truthful, baseline, 3.656738, 3.843048
2910972, truthful, baseline, 3.676224, 3.765732
2910989, truthful, baseline, 3.790421, 3.810135
2910997, truthful, baseline, 3.719543, 3.829971
2911006, truthful, baseline, 3.734634, 3.90509
2911022, truthful, baseline, 3.812164, 3.983353
2911031, truthful, baseline, 3.813461, 3.913544
2911039, truthful, baseline, 3.762054, 3.963669
2911056, truthful, baseline, 3.794846, 4.033691
2911064, truthful, baseline, 3.876129, 4.033646
2911072, truthful, baseline, 3.882996, 4.052261
2911089, truthful, baseline, 3.930252, 4.047577
2911097, truthful, baseline, 3.887741, 4.051041
2911106, truthful, baseline, 3.942245, 4.094055
2911122, truthful, baseline, 3.738068, 4.021042
2911131, truthful, baseline, 3.865768, 4.02771
2911139, truthful, baseline, 3.853333, 4.06366
2911147, truthful, baseline, 3.919601, 4.056015
2911164, truthful, baseline, 3.781097, 4.179962
2911172, truthful, baseline, 3.687943, 4.067535
2911181, truthful, baseline, 3.776855, 4.103531
2911197, truthful, baseline, 3.777145, 4.052841
2911206, truthful, baseline, 3.867096, 4.076065
2911214, truthful, baseline, 3.819702, 4.099274
2911231, truthful, baseline, 3.868011, 4.073532
2911239, truthful, baseline, 3.796753, 4.061142
