Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
3037645, truthful, baseline, 2.508987, 2.58931
3037645, truthful, baseline, 2.508987, 2.58931
3037653, truthful, baseline, 2.513824, 2.606232
3037662, truthful, baseline, 2.518677, 2.625122
3037678, truthful, baseline, 2.519073, 2.622879
3037687, truthful, baseline, 2.515717, 2.625549
3037695, truthful, baseline, 2.519501, 2.629242
3037712, truthful, baseline, 2.521744, 2.629837
3037720, truthful, baseline, 2.52594, 2.625916
3037728, truthful, baseline, 2.529877, 2.622726
3037745, truthful, baseline, 2.54068, 2.623428
3037753, truthful, baseline, 2.549469, 2.629822
3037770, truthful, baseline, 2.550598, 2.635468
3037778, truthful, baseline, 2.549927, 2.615341
3037787, truthful, baseline, 2.550262, 2.606628
3037795, truthful, baseline, 2.550018, 2.59903
3037812, truthful, baseline, 2.549713, 2.63591
3037820, truthful, baseline, 2.549652, 2.632706
3037828, truthful, baseline, 2.549194, 2.636169
3037845, truthful, baseline, 2.549286, 2.636154
3037853, truthful, baseline, 2.549561, 2.636719
3037862, truthful, baseline, 2.552322, 2.637527
3037878, truthful, baseline, 2.560242, 2.642136
3037887, truthful, baseline, 2.560638, 2.654022
3037895, truthful, baseline, 2.565414, 2.665497
3037912, truthful, baseline, 2.585052, 2.666412
3037920, truthful, baseline, 2.602295, 2.666016
3037928, truthful, baseline, 2.602295, 2.665863
3037945, truthful, baseline, 2.617157, 2.685165
3037953, truthful, baseline, 2.618561, 2.720978
3037962, truthful, baseline, 2.627869, 2.730392
3037978, truthful, baseline, 2.635849, 2.752029
3037987, truthful, baseline, 2.639572, 2.758514
3038003, truthful, baseline, 2.713165, 2.78775
3038012, truthful, baseline, 2.717377, 2.802719
3038020, truthful, baseline, 2.745224, 2.80748
3038037, truthful, baseline, 2.777863, 2.830032
3038045, truthful, baseline, 2.77774, 2.836349
3038053, truthful, baseline, 2.797958, 2.843079
3038070, truthful, baseline, 2.823685, 2.848358
3038078, truthful, baseline, 2.823547, 2.867279
3038087, truthful, baseline, 2.824631, 2.872025
3038103, truthful, baseline, 2.822174, 2.897293
3038112, truthful, baseline, 2.823792, 2.896576
3038128, truthful, baseline, 2.834396, 2.919876
3038137, truthful, baseline, 2.842804, 2.9198
3038145, truthful, baseline, 2.854935, 2.934906
3038162, truthful, baseline, 2.843948, 2.935135
3038170, truthful, baseline, 2.843704, 2.928726
3038178, truthful, baseline, 2.84375, 2.928741
3038195, truthful, baseline, 2.839279, 2.934937
3038203, truthful, baseline, 2.839218, 2.935501
3038212, truthful, baseline, 2.834991, 2.955276
3038228, truthful, baseline, 2.834961, 2.953705
3038237, truthful, baseline, 2.827606, 2.955643
3038245, truthful, baseline, 2.827698, 2.955612
3038262, truthful, baseline, 2.827637, 2.953552
3038270, truthful, baseline, 2.827576, 2.953659
3038278, truthful, baseline, 2.834488, 2.954102
3038295, truthful, baseline, 2.838531, 2.981522
3038303, truthful, baseline, 2.847092, 2.983185
3038312, truthful, baseline, 2.854568, 2.986923
3038328, truthful, baseline, 2.866669, 2.991623
3038337, truthful, baseline, 2.875427, 2.99382
3038345, truthful, baseline, 2.885651, 3.017242
3038362, truthful, baseline, 2.893906, 3.095718
3038370, truthful, baseline, 2.898178, 3.097198
3038378, truthful, baseline, 2.906067, 3.121902
3038395, truthful, baseline, 2.937927, 3.15123
3038403, truthful, baseline, 2.950012, 3.15773
3038412, truthful, baseline, 2.963974, 3.17041
3038428, truthful, baseline, 2.984589, 3.178055
3038437, truthful, baseline, 2.991959, 3.189178
3038445, truthful, baseline, 3.01268, 3.190216
3038462, truthful, baseline, 3.048843, 3.226563
3038470, truthful, baseline, 3.049377, 3.226303
3038478, truthful, baseline, 3.048615, 3.228531
3038495, truthful, baseline, 3.076019, 3.257645
3038503, truthful, baseline, 3.089539, 3.267853
3038511, truthful, baseline, 3.091049, 3.27449
3038528, truthful, baseline, 3.10347, 3.304825
3038536, truthful, baseline, 3.10675, 3.320679
3038545, truthful, baseline, 3.127518, 3.320724
3038561, truthful, baseline, 3.130127, 3.336823
3038570, truthful, baseline, 3.132172, 3.338608
3038578, truthful, baseline, 3.148163, 3.363663
3038595, truthful, baseline, 3.148117, 3.365082
3038603, truthful, baseline, 3.148178, 3.36499
3038611, truthful, baseline, 3.148773, 3.363358
3038628, truthful, baseline, 3.149399, 3.371063
3038636, truthful, baseline, 3.1595, 3.394684
3038645, truthful, baseline, 3.16713, 3.394943
3038661, truthful, baseline, 3.169266, 3.399933
3038670, truthful, baseline, 3.169968, 3.411957
3038678, truthful, baseline, 3.163574, 3.424438
3038695, truthful, baseline, 3.163208, 3.424255
3038703, truthful, baseline, 3.163025, 3.44664
3038711, truthful, baseline, 3.16452, 3.446747
3038728, truthful, baseline, 3.169632, 3.461578
3038736, truthful, baseline, 3.171265, 3.478485
3038745, truthful, baseline, 3.172577, 3.461578
3038761, truthful, baseline, 3.174957, 3.498871
3038770, truthful, baseline, 3.17424, 3.500946
3038778, truthful, baseline, 3.19754, 3.503403
3038795, truthful, baseline, 3.1987, 3.506592
3038803, truthful, baseline, 3.207108, 3.506622
3038811, truthful, baseline, 3.227219, 3.506577
3038828, truthful, baseline, 3.229782, 3.507523
3038836, truthful, baseline, 3.231201, 3.520782
3038845, truthful, baseline, 3.230347, 3.507217
3038861, truthful, baseline, 3.23143, 3.508011
3038870, truthful, baseline, 3.221024, 3.508102
3038878, truthful, baseline, 3.231293, 3.518677
3038895, truthful, baseline, 3.241821, 3.510345
3038903, truthful, baseline, 3.254852, 3.50325
3038911, truthful, baseline, 3.255325, 3.503174
