Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
2814002, truthful, baseline, 3.357773, 3.434967
2814010, truthful, baseline, 3.391602, 3.436905
2814019, truthful, baseline, 3.403442, 3.439346
2814027, truthful, baseline, 3.414917, 3.440186
2814044, truthful, baseline, 3.415375, 3.462189
2814052, truthful, baseline, 3.417267, 3.469528
2814060, truthful, baseline, 3.421249, 3.496887
2814077, truthful, baseline, 3.426605, 3.499176
2814085, truthful, baseline, 3.42012, 3.504532
2814094, truthful, baseline, 3.423157, 3.504929
2814110, truthful, baseline, 3.424896, 3.504791
2814119, truthful, baseline, 3.371994, 3.503494
2814127, truthful, baseline, 3.384048, 3.503372
2814144, truthful, baseline, 3.359146, 3.498245
2814152, truthful, baseline, 3.367371, 3.503693
2814160, truthful, baseline, 3.359589, 3.504669
2814177, truthful, baseline, 3.355576, 3.498047
2814185, truthful, baseline, 3.337875, 3.480438
2814194, truthful, baseline, 3.320847, 3.480682
2814210, truthful, baseline, 3.32164, 3.475739
2814219, truthful, baseline, 3.308563, 3.474792
2814227, truthful, baseline, 3.177872, 3.383713
2814244, truthful, baseline, 3.170288, 3.436035
2814252, truthful, baseline, 3.123489, 3.448593
2814260, truthful, baseline, 3.11084, 3.52037
2814277, truthful, baseline, 3.125275, 3.477875
2814285, truthful, baseline, 3.130035, 3.437378
2814294, truthful, baseline, 3.123444, 3.461166
2814310, truthful, baseline, 3.069672, 3.442337
2814319, truthful, baseline, 3.249847, 3.371155
2814327, truthful, baseline, -1, 3.391998
2814344, truthful, baseline, -1, -1
2814352, truthful, baseline, -1, -1
2814369, truthful, baseline, -1, -1
2814377, truthful, baseline, -1, -1
2814385, truthful, baseline, -1, -1
2814402, truthful, baseline, -1, -1
2814410, truthful, baseline, -1, -1
2814419, truthful, baseline, -1, -1
2814435, truthful, baseline, -1, -1
2814444, truthful, baseline, -1, -1
2814452, truthful, baseline, -1, -1
2814469, truthful, baseline, -1, -1
2814477, truthful, baseline, -1, -1
2814485, truthful, baseline, -1, -1
2814502, truthful, baseline, -1, -1
2814510, truthful, baseline, -1, -1
2814518, truthful, baseline, -1, -1
2814535, truthful, baseline, -1, -1
2814543, truthful, baseline, -1, -1
2814552, truthful, baseline, -1, -1
2814568, truthful, baseline, -1, -1
2814577, truthful, baseline, -1, -1
2814585, truthful, baseline, -1, -1
2814602, truthful, baseline, -1, -1
2814610, truthful, baseline, -1, -1
2814618, truthful, baseline, -1, -1
2814635, truthful, baseline, -1, -1
2814643, truthful, baseline, -1, -1
2814652, truthful, baseline, -1, -1
2814668, truthful, baseline, -1, -1
2814677, truthful, baseline, -1, -1
2814685, truthful, baseline, -1, -1
2814702, truthful, baseline, -1, -1
2814710, truthful, baseline, -1, -1
2814718, truthful, baseline, -1, -1
2814727, truthful, baseline, -1, -1
2814743, truthful, baseline, -1, -1
2814752, truthful, baseline, -1, -1
2814760, truthful, baseline, -1, -1
2814777, truthful, baseline, -1, -1
2814785, truthful, baseline, -1, -1
2814793, truthful, baseline, -1, -1
2814810, truthful, baseline, -1, -1
2814818, truthful, baseline, -1, -1
2814827, truthful, baseline, -1, -1
2814843, truthful, baseline, 3.68042, 3.774918
2814852, truthful, baseline, 3.746765, 3.901337
2814860, truthful, baseline, 3.599548, 4.03389
2814877, truthful, baseline, 3.595413, 3.920624
2814885, truthful, baseline, 3.830872, 4.038223
2814893, truthful, baseline, 3.754242, 4.065933
2814910, truthful, baseline, 3.729233, 4.022278
2814918, truthful, baseline, 3.730621, 3.981842
2814927, truthful, baseline, 3.731735, 4.000854
2814943, truthful, baseline, 3.810562, 3.971863
2814952, truthful, baseline, 3.7332, 3.983368
2814960, truthful, baseline, 3.673325, 4.021194
2814977, truthful, baseline, 3.819153, 3.959595
2814985, truthful, baseline, 3.813477, 3.98526
2814993, truthful, baseline, 3.733887, 3.998718
2815010, truthful, baseline, 3.685593, 3.997864
2815018, truthful, baseline, 3.645828, 4.010925
2815027, truthful, baseline, 3.723267, 3.997986
