Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
2840905, 181755, truthful, baseline, 28.44939, -3.090958, -27.31053, -0.1411591, -0.08912659, 0.9859619, 3.747101, 1, -31.52444, -5.127991, -27.51495, -0.1329346, -0.08493042, 0.9874725, 4.002731, 1
2840905, 181755, truthful, baseline, 28.44939, -3.090958, -27.31053, -0.1411591, -0.08912659, 0.9859619, 3.747101, 1, -31.52444, -5.127991, -27.51495, -0.1329346, -0.08493042, 0.9874725, 4.002731, 1
2840913, 181756, truthful, baseline, 28.44974, -3.092438, -27.30333, -0.1435547, -0.08976746, 0.9855499, 3.7612, 1, -31.52565, -5.127869, -27.51279, -0.1341705, -0.08352661, 0.9874268, 4.002945, 1
2840930, 181758, truthful, baseline, 28.45132, -3.110291, -27.25273, -0.143631, -0.08912659, 0.9855957, 3.772934, 1, -31.5257, -5.127869, -27.51172, -0.1341553, -0.08357239, 0.9874268, 4.003082, 1
2840938, 181759, truthful, baseline, 28.45009, -3.093933, -27.29613, -0.1438599, -0.09046936, 0.9854431, 3.770905, 1, -31.52571, -5.127991, -27.51154, -0.1342163, -0.08453369, 0.9873352, 3.986984, 1
2840946, 181760, truthful, baseline, 28.44974, -3.092438, -27.30333, -0.1428833, -0.0904541, 0.9855957, 3.759033, 1, -31.53169, -5.135941, -27.46207, -0.1329346, -0.09205627, 0.9868317, 3.916687, 1
2840963, 181762, truthful, baseline, 28.43982, -3.057434, -27.42513, -0.1398926, -0.09031677, 0.9860229, 3.751282, 1, -31.53191, -5.142136, -27.43291, -0.1311951, -0.08439636, 0.9877472, 3.833267, 1
2840971, 181763, truthful, baseline, 28.43025, -3.023926, -27.53972, -0.1378326, -0.09007263, 0.9863434, 3.754044, 1, -31.53276, -5.144638, -27.42404, -0.1279755, -0.08540344, 0.9880829, 3.887695, 1
2840980, 181764, truthful, baseline, 28.42999, -3.005463, -27.57896, -0.1374664, -0.09086609, 0.9863281, 3.745468, 1, -31.53311, -5.142487, -27.42871, -0.1320801, -0.08584595, 0.9875031, 3.941422, 1
2840996, 181766, truthful, baseline, 28.42467, -2.923782, -27.81506, -0.1348419, -0.09384155, 0.9864044, 3.723862, 1, -31.53368, -5.142197, -27.42232, -0.1327667, -0.08680725, 0.9873352, 4.009201, 1
2841005, 181767, truthful, baseline, 28.41962, -2.86058, -28.01192, -0.1326294, -0.09460449, 0.9866333, 3.723373, 1, -31.53384, -5.140335, -27.42059, -0.1360474, -0.08680725, 0.9868774, 4.024582, 1
2841013, 181768, truthful, baseline, 28.41652, -2.726898, -28.29482, -0.1334991, -0.1022339, 0.9857483, 3.722916, 1, -31.53386, -5.139496, -27.41948, -0.1368561, -0.08586121, 0.9868622, 4.027206, 1
2841030, 181770, truthful, baseline, 28.41211, -2.744003, -28.23392, -0.1367035, -0.09587097, 0.9859467, 3.699387, 1, -31.53468, -5.13829, -27.41762, -0.1351166, -0.0877533, 0.9869232, 4.009674, 1
2841038, 181771, truthful, baseline, 28.41278, -2.761353, -28.18694, -0.1336975, -0.09880066, 0.9860687, 3.676651, 1, -31.53546, -5.137924, -27.41837, -0.1358337, -0.08772278, 0.9868317, 3.995285, 1
2841046, 181772, truthful, baseline, 28.41344, -2.778717, -28.13995, -0.1306915, -0.1016541, 0.9861908, 3.654175, 1, -31.53552, -5.135757, -27.41762, -0.1366577, -0.08836365, 0.9866638, 3.986649, 1
2841063, 181774, truthful, baseline, 28.41344, -2.793304, -28.11166, -0.1308899, -0.1008911, 0.9862366, 3.655411, 1, -31.5356, -5.133362, -27.41948, -0.1367188, -0.08885193, 0.9866028, 3.958969, 1
2841071, 181775, truthful, baseline, 28.41327, -2.786011, -28.12581, -0.1317444, -0.1028442, 0.9859314, 3.652634, 1, -31.53563, -5.133148, -27.42059, -0.135849, -0.08869934, 0.9867401, 3.977646, 1
2841080, 181776, truthful, baseline, 28.46281, -3.440018, -26.18953, -0.153717, -0.08132935, 0.9847565, 3.799438, 1, -31.52859, -5.104691, -27.43652, -0.1209564, -0.08326721, 0.989151, 3.990128, 1
2841096, 181778, truthful, baseline, 28.62547, -2.682266, -27.12119, -0.09498596, 0.01919556, 0.995285, 3.708008, 1, -31.10938, -4.84021, -26.76447, -0.09799194, 0.03329468, 0.9946136, 3.851334, 1
2841105, 181779, truthful, baseline, 28.77522, -2.451859, -27.16435, -0.07313538, 0.06056213, 0.9954681, 3.690109, 1, -30.95641, -3.911789, -28.66072, -0.04277039, 0.03608704, 0.9984283, 3.802612, 1
2841113, 181780, truthful, baseline, 28.84897, -2.182175, -27.58768, -0.04104614, 0.05888367, 0.997406, 3.699844, 1, -30.81111, -3.702301, -28.85245, -0.02296448, 0.04490662, 0.9987183, 3.756775, 1
2841129, 181782, truthful, baseline, 28.8895, -2.056671, -27.95352, -0.03913879, 0.0446167, 0.99823, 3.633163, 1, -30.81575, -3.861389, -28.37724, -0.03053284, 0.05522156, 0.9980011, 3.857376, 1
2841138, 181783, truthful, baseline, 28.88991, -2.35704, -27.22141, -0.03605652, 0.06710815, 0.9970856, 3.635071, 1, -30.83759, -3.983948, -28.13631, -0.03096008, 0.07318115, 0.9968262, 3.879761, 1
2841146, 181784, truthful, baseline, 28.90712, -2.358475, -27.21475, -0.03752136, 0.06365967, 0.9972534, 3.660126, 1, -30.83916, -4.00972, -28.11229, -0.03074646, 0.07177734, 0.996933, 3.886719, 1
2841163, 181786, truthful, baseline, 28.92097, -2.311859, -27.40672, -0.03543091, 0.0602417, 0.9975433, 3.649033, 1, -30.87613, -3.892105, -28.39795, -0.02398682, 0.05961609, 0.9979248, 3.760178, 1
2841171, 181787, truthful, baseline, 28.92506, -2.325912, -27.35875, -0.03994751, 0.05961609, 0.9974213, 3.590775, 1, -30.88684, -3.99292, -28.14709, -0.03636169, 0.07264709, 0.9966888, 3.774231, 1
2841179, 181788, truthful, baseline, 28.92915, -2.339981, -27.31076, -0.03683472, 0.05915833, 0.9975586, 3.558655, 1, -30.89322, -3.963882, -28.2247, -0.03089905, 0.07131958, 0.9969635, 3.823898, 1
2841188, 181789, truthful, baseline, 28.93098, -2.37825, -27.20415, -0.03761292, 0.06098938, 0.9974213, 3.567215, 1, -30.90707, -3.811264, -28.63913, -0.01394653, 0.05953979, 0.9981232, 3.857819, 1
2841204, 181791, truthful, baseline, 28.93391, -2.428162, -27.06497, -0.03694153, 0.06318665, 0.9973145, 3.572296, 1, -30.91232, -3.878418, -28.4547, -0.02345276, 0.06480408, 0.9976196, 3.800644, 1
