Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
3037645, 205369, truthful, baseline, 28.76978, -2.283447, -26.71014, -0.08425903, 0.06565857, 0.9942627, 2.508987, 1, -31.25252, -3.963638, -27.58134, -0.08155823, 0.08943176, 0.9926453, 2.58931, 1
3037645, 205369, truthful, baseline, 28.76978, -2.283447, -26.71014, -0.08425903, 0.06565857, 0.9942627, 2.508987, 1, -31.25252, -3.963638, -27.58134, -0.08155823, 0.08943176, 0.9926453, 2.58931, 1
3037653, 205370, truthful, baseline, 28.77095, -2.28566, -26.7101, -0.08381653, 0.06825256, 0.9941254, 2.513824, 1, -31.25414, -3.962509, -27.57983, -0.08364868, 0.08747864, 0.9926453, 2.606232, 1
3037662, 205371, truthful, baseline, 28.77211, -2.287872, -26.71004, -0.08338928, 0.07089233, 0.993988, 2.518677, 1, -31.25577, -3.961365, -27.57832, -0.08572388, 0.0894165, 0.9922943, 2.625122, 1
3037678, 205373, truthful, baseline, 28.77391, -2.293579, -26.67764, -0.08190918, 0.07015991, 0.9941559, 2.519073, 1, -31.25929, -3.961365, -27.57788, -0.08007813, 0.08526611, 0.9931335, 2.622879, 1
3037687, 205374, truthful, baseline, 28.77515, -2.295166, -26.67162, -0.08152771, 0.07019043, 0.9941864, 2.515717, 1, -31.26135, -3.961166, -27.57741, -0.07955933, 0.08387756, 0.9932861, 2.625549, 1
3037695, 205375, truthful, baseline, 28.77638, -2.296753, -26.66557, -0.08119202, 0.07029724, 0.9942017, 2.519501, 1, -31.26343, -3.961075, -27.57693, -0.07904053, 0.08352661, 0.9933624, 2.629242, 1
3037712, 205377, truthful, baseline, 28.77907, -2.304367, -26.63998, -0.08041382, 0.07217407, 0.9941406, 2.521744, 1, -31.2659, -3.96106, -27.57457, -0.07855225, 0.084198, 0.9933319, 2.629837, 1
3037720, 205378, truthful, baseline, 28.78058, -2.306, -26.63284, -0.08027649, 0.07266235, 0.9941101, 2.52594, 1, -31.26628, -3.961014, -27.5724, -0.07861328, 0.08360291, 0.9933777, 2.625916, 1
3037728, 205379, truthful, baseline, 28.78207, -2.307617, -26.6257, -0.08113098, 0.07263184, 0.9940491, 2.529877, 1, -31.26666, -3.960983, -27.57022, -0.07865906, 0.08378601, 0.9933624, 2.622726, 1
3037745, 205381, truthful, baseline, 28.78271, -2.311981, -26.61122, -0.08009338, 0.07331848, 0.9940796, 2.54068, 1, -31.26817, -3.960861, -27.57091, -0.07981873, 0.08470154, 0.9931946, 2.623428, 1
3037753, 205382, truthful, baseline, 28.78352, -2.313141, -26.59904, -0.07962036, 0.07292175, 0.9941406, 2.549469, 1, -31.2692, -3.960709, -27.57086, -0.08035278, 0.0839386, 0.9932098, 2.629822, 1
3037770, 205384, truthful, baseline, 28.78465, -2.313141, -26.59904, -0.07948303, 0.07391357, 0.9940796, 2.550598, 1, -31.27516, -3.944351, -27.57959, -0.08456421, 0.0854187, 0.9927368, 2.635468, 1
3037778, 205385, truthful, baseline, 28.78789, -2.313141, -26.59904, -0.08000183, 0.07389832, 0.9940491, 2.549927, 1, -31.27542, -3.944946, -27.57874, -0.08459473, 0.08366394, 0.9928894, 2.615341, 1
3037787, 205386, truthful, baseline, 28.78804, -2.313141, -26.59904, -0.08004761, 0.07402039, 0.9940338, 2.550262, 1, -31.2746, -3.945084, -27.57805, -0.08261108, 0.0831604, 0.993103, 2.606628, 1
3037795, 205387, truthful, baseline, 28.79118, -2.313141, -26.59904, -0.08049011, 0.07389832, 0.9940033, 2.550018, 1, -31.27522, -3.944946, -27.57874, -0.08247375, 0.08340454, 0.9930878, 2.59903, 1
3037812, 205389, truthful, baseline, 28.79558, -2.307678, -26.59904, -0.08126831, 0.0728302, 0.9940186, 2.549713, 1, -31.27805, -3.944916, -27.57536, -0.07749939, 0.08164978, 0.9936371, 2.63591, 1
3037820, 205390, truthful, baseline, 28.79607, -2.307678, -26.58772, -0.08108521, 0.07188416, 0.9941101, 2.549652, 1, -31.27916, -3.944199, -27.57608, -0.07989502, 0.08218384, 0.9934082, 2.632706, 1
3037828, 205391, truthful, baseline, 28.79762, -2.307678, -26.58772, -0.08139038, 0.0713501, 0.9941101, 2.549194, 1, -31.28027, -3.943481, -27.57678, -0.08224487, 0.08164978, 0.9932556, 2.636169, 1
3037845, 205393, truthful, baseline, 28.80089, -2.30809, -26.58218, -0.08204651, 0.0710907, 0.9940796, 2.549286, 1, -31.28252, -3.943237, -27.57796, -0.08224487, 0.08166504, 0.9932556, 2.636154, 1
3037853, 205394, truthful, baseline, 28.80151, -2.30809, -26.56029, -0.08195496, 0.07041931, 0.9941406, 2.549561, 1, -31.28256, -3.943359, -27.57848, -0.08320618, 0.08045959, 0.9932709, 2.636719, 1
3037862, 205395, truthful, baseline, 28.80151, -2.30809, -26.56029, -0.08230591, 0.07133484, 0.9940491, 2.552322, 1, -31.28259, -3.943481, -27.57841, -0.08285522, 0.07914734, 0.9934082, 2.637527, 1
3037878, 205397, truthful, baseline, 28.80151, -2.30809, -26.54979, -0.08255005, 0.07183838, 0.993988, 2.560242, 1, -31.28468, -3.944916, -27.57841, -0.08372498, 0.07850647, 0.9933777, 2.642136, 1
3037887, 205398, truthful, baseline, 28.80151, -2.311188, -26.54921, -0.08088684, 0.07237244, 0.9940796, 2.560638, 1, -31.28488, -3.945068, -27.57851, -0.08299255, 0.07913208, 0.9933929, 2.654022, 1
3037895, 205399, truthful, baseline, 28.80151, -2.315216, -26.54005, -0.08096313, 0.07167053, 0.9941254, 2.565414, 1, -31.28506, -3.945206, -27.5786, -0.08355713, 0.0788269, 0.9933777, 2.665497, 1
3037912, 205401, truthful, baseline, 28.80151, -2.320847, -26.52348, -0.08287048, 0.07202148, 0.9939423, 2.585052, 1, -31.28714, -3.946518, -27.57841, -0.08227539, 0.07800293, 0.9935455, 2.666412, 1
3037920, 205402, truthful, baseline, 28.80023, -2.322128, -26.51933, -0.08329773, 0.07217407, 0.9938965, 2.602295, 1, -31.2877, -3.946533, -27.57819, -0.08259583, 0.07696533, 0.9935913, 2.666016, 1
3037928, 205403, truthful, baseline, 28.7999, -2.322128, -26.51898, -0.08323669, 0.07217407, 0.9938965, 2.602295, 1, -31.28825, -3.946564, -27.57796, -0.08291626, 0.07594299, 0.9936523, 2.665863, 1
3037945, 205405, truthful, baseline, 28.79745, -2.325378, -26.50888, -0.08338928, 0.07250977, 0.993866, 2.617157, 1, -31.29036, -3.947449, -27.57796, -0.08259583, 0.07501221, 0.9937439, 2.685165, 1
3037953, 205406, truthful, baseline, 28.79715, -2.333038, -26.50632, -0.08335876, 0.07511902, 0.9936676, 2.618561, 1, -31.29074, -3.947479, -27.57767, -0.08236694, 0.07458496, 0.9938049, 2.720978, 1
3037962, 205407, truthful, baseline, 28.79715, -2.333176, -26.48854, -0.08372498, 0.07420349, 0.9937134, 2.627869, 1, -31.29144, -3.947479, -27.57764, -0.08218384, 0.07434082, 0.9938354, 2.730392, 1
3037978, 205409, truthful, baseline, 28.79715, -2.335129, -26.48344, -0.08621216, 0.0743866, 0.9934845, 2.635849, 1, -31.29155, -3.948303, -27.57722, -0.08253479, 0.07220459, 0.9939575, 2.752029, 1
3037987, 205410, truthful, baseline, 28.79715, -2.335129, -26.48344, -0.08624268, 0.07441711, 0.9934845, 2.639572, 1, -31.29163, -3.94838, -27.57631, -0.08372498, 0.072052, 0.993866, 2.758514, 1
3038003, 205412, truthful, baseline, 28.79745, -2.336563, -26.48265, -0.08709717, 0.07548523, 0.9933319, 2.713165, 1, -31.29266, -3.949097, -27.57541, -0.08338928, 0.06970215, 0.9940643, 2.78775, 1
3038012, 205413, truthful, baseline, 28.79807, -2.336563, -26.48265, -0.08724976, 0.07554626, 0.9933014, 2.717377, 1, -31.29356, -3.949463, -27.57521, -0.0838623, 0.06997681, 0.9940033, 2.802719, 1
3038020, 205414, truthful, baseline, 28.79817, -2.335129, -26.48344, -0.08764648, 0.07553101, 0.9932709, 2.745224, 1, -31.2943, -3.949524, -27.5748, -0.08369446, 0.06950378, 0.9940491, 2.80748, 1
3038037, 205416, truthful, baseline, 28.80124, -2.333878, -26.48468, -0.08834839, 0.07673645, 0.9931183, 2.777863, 1, -31.29459, -3.949463, -27.5748, -0.08609009, 0.06846619, 0.993927, 2.830032, 1
3038045, 205417, truthful, baseline, 28.80571, -2.333176, -26.48483, -0.08921814, 0.07661438, 0.9930573, 2.77774, 1, -31.29494, -3.949097, -27.5748, -0.08624268, 0.06838989, 0.9939117, 2.836349, 1
3038053, 205418, truthful, baseline, 28.80721, -2.332504, -26.48894, -0.08964539, 0.07714844, 0.9929657, 2.797958, 1, -31.29575, -3.949463, -27.5748, -0.08648682, 0.06816101, 0.9939117, 2.843079, 1
