Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
2201310, 121394, truthful, baseline, 34.83246, -4.16275, -21.42488, -0.02534485, 0.1372681, 0.9902039, 3.317856, 0.8911741, -32.54889, -0.4488525, -20.28966, 0.01931763, 0.1226044, 0.9922638, 3.376907, 0.9354299
2201318, 121395, truthful, baseline, 34.83246, -4.163757, -21.42488, -0.02513123, 0.1365051, 0.9903107, 3.314316, 0.8911741, -32.54855, -0.4501038, -20.28757, 0.01916504, 0.1218109, 0.9923553, 3.314514, 0.9354299
2201326, 121396, truthful, baseline, 34.83246, -4.173279, -21.42488, -0.02508545, 0.1364441, 0.9903259, 3.306702, 0.8921421, -32.54721, -0.4539337, -20.28333, 0.02001953, 0.1222229, 0.9922943, 3.30632, 0.9300246
2201343, 121398, truthful, baseline, 34.83246, -4.190643, -21.42488, -0.02406311, 0.1385498, 0.9900513, 3.271301, 0.895048, -32.54291, -0.460022, -20.28062, 0.02183533, 0.1214294, 0.9923553, 3.288528, 0.9492385
2201351, 121399, truthful, baseline, 34.83246, -4.195618, -21.42488, -0.02403259, 0.1393738, 0.9899445, 3.268387, 0.895048, -32.53888, -0.4608154, -20.27924, 0.02154541, 0.1214752, 0.9923553, 3.282242, 0.9492385
2201360, 121400, truthful, baseline, 34.83246, -4.198563, -21.42415, -0.02389526, 0.1398468, 0.9898834, 3.264404, 0.8871291, -32.53563, -0.462265, -20.27623, 0.02256775, 0.1210175, 0.9923859, 3.269958, 0.9666639
2201376, 121402, truthful, baseline, 34.78758, -4.202209, -21.38644, -0.01580811, 0.1382294, 0.9902649, 3.232849, 0.9020458, -32.53552, -0.4625854, -20.27078, 0.02508545, 0.1204071, 0.9924011, 3.232712, 0.967478
2201385, 121403, truthful, baseline, 34.78758, -4.202393, -21.37921, -0.01565552, 0.1377716, 0.9903259, 3.232773, 0.9020458, -32.53517, -0.4645538, -20.26918, 0.0267334, 0.1204071, 0.9923553, 3.213776, 0.967478
2201393, 121404, truthful, baseline, 34.7868, -4.203232, -21.37575, -0.01556396, 0.1369324, 0.990448, 3.216599, 0.9080834, -32.53265, -0.4679413, -20.26544, 0.02619934, 0.1207275, 0.9923248, 3.192154, 0.9575694
2201409, 121406, truthful, baseline, 34.78523, -4.203735, -21.37238, -0.01353455, 0.1349945, 0.9907532, 3.182449, 0.9143147, -32.53125, -0.4709015, -20.26094, 0.02687073, 0.1206207, 0.9923248, 3.177322, 0.9713201
2201418, 121407, truthful, baseline, 34.78368, -4.204056, -21.37132, -0.01356506, 0.1348572, 0.9907684, 3.168198, 0.9143147, -32.52705, -0.4730377, -20.25859, 0.02668762, 0.120636, 0.9923248, 3.153152, 0.9713201
2201426, 121408, truthful, baseline, 34.78346, -4.209061, -21.37067, -0.01341248, 0.1329956, 0.9910126, 3.147858, 0.9181536, -32.52705, -0.4749603, -20.25706, 0.02667236, 0.1209106, 0.9922943, 3.150085, 0.9778464
2201443, 121410, truthful, baseline, 34.78185, -4.21405, -21.36931, -0.0135498, 0.1326294, 0.9910583, 3.14241, 0.9087333, -32.52705, -0.477417, -20.25276, 0.0272522, 0.1196747, 0.9924316, 3.096008, 0.9731483
