Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
2228854, 124700, truthful, baseline, 34.59213, -5.100128, -19.24867, -0.03236389, 0.1017609, 0.994278, 3.298431, 1, -32.62791, -0.9720001, -18.89375, 0.002502441, 0.09901428, 0.9950714, 3.237488, 1
2228862, 124701, truthful, baseline, 34.59032, -5.100754, -19.2455, -0.03205872, 0.1017151, 0.9942932, 3.298477, 1, -32.62791, -0.9742126, -18.89375, 0.002487183, 0.0993042, 0.9950409, 3.234497, 1
2228870, 124702, truthful, baseline, 34.58878, -5.101135, -19.2446, -0.0324707, 0.1017609, 0.9942627, 3.298538, 1, -32.62791, -0.9745636, -18.89345, 0.002487183, 0.09934998, 0.9950409, 3.233551, 1
2228887, 124704, truthful, baseline, 34.58736, -5.101532, -19.2417, -0.03266907, 0.1016846, 0.994278, 3.298569, 1, -32.62791, -0.9770355, -18.88925, 0.002059937, 0.09912109, 0.9950714, 3.233154, 1
2228895, 124705, truthful, baseline, 34.58736, -5.101532, -19.2417, -0.03309631, 0.1016846, 0.9942627, 3.298569, 1, -32.62791, -0.9779968, -18.88908, 0.002075195, 0.09977722, 0.9949951, 3.234848, 1
2228904, 124706, truthful, baseline, 34.58736, -5.101532, -19.2417, -0.03318787, 0.1016693, 0.9942627, 3.298569, 1, -32.6282, -0.9785309, -18.88834, 0.001434326, 0.09983826, 0.9949951, 3.233841, 1
2228920, 124708, truthful, baseline, 34.58736, -5.101135, -19.2417, -0.03369141, 0.1024323, 0.9941559, 3.299042, 1, -32.62863, -0.9808655, -18.88518, 0.0001373291, 0.09938049, 0.9950409, 3.233597, 1
2228929, 124709, truthful, baseline, 34.58736, -5.100754, -19.2417, -0.03448486, 0.1026611, 0.9941101, 3.299438, 1, -32.62914, -0.9830017, -18.88486, 0.0001831055, 0.0997467, 0.9950104, 3.233765, 1
2228937, 124710, truthful, baseline, 34.58736, -5.100128, -19.2417, -0.03448486, 0.1025696, 0.9941254, 3.299377, 1, -32.62949, -0.983017, -18.88475, 0.0002593994, 0.09977722, 0.9949951, 3.238205, 1
2228954, 124712, truthful, baseline, 34.63222, -5.059174, -19.24846, -0.0418396, 0.09788513, 0.9943085, 3.27243, 1, -32.63055, -0.983017, -18.88445, 0.0003204346, 0.09977722, 0.9949951, 3.242126, 1
